Accession_ID,log2FoldChange
A8DYE2,1.91858175444273
Q5R7J7,-0.0564372940099184
P10144,-1.3236758307491
Q07343,-0.718413277582411
Q9VFL5,-1.64966298268865
Q6P3X8,-0.588008109126711
Q04446,-0.573400057953674
Q09147,1.36681869069856
Q0MQB3,-0.968863508728048
Q14568,-1.54234281648641
A9ZSY3,-3.10977635298495
Q5JWF2,0.774966954095423
P17041,0.424456382017569
P17041,0.424456382017569
P17041,0.424456382017569
P17041,0.424456382017569
Q9D305,0.853396173496505
Q60HE2,0.424456815120814
Q9VLS1,-3.07958135682098
Q3TCH7,0.424456382017569
Q66H56,NA
Q5R886,-2.62449706353285
O02668,0.42445404655549
Q5RBR3,-0.649518705263504
Q5VST9,-6.26961792716161
Q5VST9,-6.26961792716161
Q5VST9,-6.26961792716161
Q5VST9,-6.26961792716161
Q95Q62,-0.719186314975675
Q64400,1.47661067436905
Q64400,1.47661067436905
Q19311,0.424454046555491
Q9VWB0,2.84708505923876
Q9VWB0,2.84708505923876
Q5R7Q3,-0.777523542656792
Q27597,-1.13656388098287
A2BDA5,-2.10358572917895
P41341,0.761311119715104
O94806,-0.122086430319619
E9PSL7,-0.537649762151765
P82927,-0.177126156932138
P97694,0.733560031499541
Q86WA9,-1.07065205293063
Q1NZ26,-0.725069539341939
Q9ZHC7,-4.55809101924889
Q9R0J8,-5.89005232707202
Q8TF45,NA
Q8TF45,NA
Q8TF45,NA
Q8TF45,NA
Q8TF45,NA
Q8TF45,NA
Q8TF45,NA
Q8TF45,NA
Q8TF45,NA
Q8TF45,NA
Q8TF45,NA
Q8TF45,NA
Q8TF45,NA
Q5ZKW0,-0.53506706746622
P13796,-0.23095597728568
P41894,2.25755111807395
Q95SX7,0.850459261211163
Q9JLC8,-4.55150671855795
Q26534,-1.18601459243804
Q5I0C3,-3.99602263213119
Q9SVM4,-23.3083393623342
Q4V832,-6.43409373956993
B2RVL6,-1.53918220681465
Q4V8V2,-0.103281196515347
P50570,-0.577691018210289
Q2QLB5,-2.0626747376002
Q8NFZ0,-3.10868045846359
Q01973,-1.44643379143481
Q05913,-2.43222540770579
Q90669,-0.980409911747353
P23258,-0.326713031115833
A4IHB9,-0.743390000841116
P57721,-1.45438234393917
Q5R8X4,-0.407002764671628
Q99707,0.905347722582978
Q63416,-3.49987113927003
Q6AX44,NA
Q92193,NA
F4HYJ7,NA
A2VDN6,-0.921244030917909
Q16X92,2.03949339185803
Q8SQZ7,-22.4660592185215
P35684,4.2036013905013
P31836,0.967490177685152
P0AC87,-3.71294691591738
Q28CY2,-0.463034495793128
Q9HBH1,1.33643082260753
Q07538,NA
P36993,-0.990849640963625
Q8N1E6,-1.17961902760713
P17025,NA
P17025,NA
P17025,NA
P17025,NA
P17025,NA
P17025,NA
P17025,NA
P17025,NA
P17025,NA
P17025,NA
P17025,NA
P17025,NA
P17025,NA
P17025,NA
Q5CZA5,1.25812440716739
Q5CZA5,1.25812440716739
Q5CZA5,1.25812440716739
Q5CZA5,1.25812440716739
Q5CZA5,1.25812440716739
Q5CZA5,1.25812440716739
Q5CZA5,1.25812440716739
Q5CZA5,1.25812440716739
Q5CZA5,1.25812440716739
Q5CZA5,1.25812440716739
Q5CZA5,1.25812440716739
O08679,-2.76156900714494
O08679,-2.76156900714494
Q93113,-4.33818967222012
Q10352,-4.13090877824091
Q62868,-1.15459480925831
Q5E9V4,-2.72707288438962
O93309,-1.18876485771128
Q9VP22,NA
Q91ZR2,-1.30981151594705
Q9NR19,-0.0564372940099191
Q0ILZ4,NA
Q9CZV5,-0.0274220229306032
Q5R585,0.42445404655549
Q9BZI7,-0.64033915035776
Q5FYA8,-1.65124936605585
P18074,NA
P15327,-2.07383959352405
Q6NXH8,2.39675804384305
Q6NXH8,2.39675804384305
Q5R4H6,0.315530340933702
P47825,-1.32187521811847
O93308,-1.82646977092177
P53634,-0.363712138242138
Q9V4Z9,-0.453049477080933
Q24K02,-1.71220942011985
Q9H2D1,0.159148281399541
Q9H2D1,0.159148281399541
Q9FM01,1.72615235098289
Q7KVS9,3.98145114950768
Q9I7U4,NA
Q9I7U4,NA
Q9I7U4,NA
Q9I7U4,NA
Q4V862,-1.23866390648905
Q5R7H0,NA
P26039,-0.0938808906828094
Q54N38,NA
P19178,-0.29693435237326
Q09575,0.42445404655549
P21329,2.66809010918571
Q9H5J0,-1.4972431914866
Q0WMV8,-1.36762489181221
P47193,-1.18966997822691
A4IFA3,1.5296337721911
A4IFA3,1.5296337721911
P15848,-0.071480453434351
Q92058,-2.31662336184804
P40818,0.928796130319601
Q0KHT7,-1.76291866103193
P08575,-0.489546754623262
P08575,-0.489546754623262
Q6P823,NA
P0C8E4,0.905347722582979
O43396,0.168602039698207
O43396,0.168602039698207
O75694,3.54524350022761
A6H779,-0.0899944583575654
A6H779,-0.0899944583575654
A6H779,-0.0899944583575654
P56252,-0.0141318844298765
Q9WUK4,-0.668937021866377
P31155,0.905347722582978
O93400,0.00764032145223379
P41564,0.175315483014912
Q08114,2.87365148615605
Q6P8E9,-1.0172941185339
Q8TAQ5,0.424454046555491
Q8TAQ5,0.424454046555491
Q8TAQ5,0.424454046555491
Q8TAQ5,0.424454046555491
Q8TAQ5,0.424454046555491
Q8TAQ5,0.424454046555491
Q8TAQ5,0.424454046555491
Q8TAQ5,0.424454046555491
Q8TAQ5,0.424454046555491
Q8TAQ5,0.424454046555491
Q8TAQ5,0.424454046555491
Q8TAQ5,0.424454046555491
Q8TAQ5,0.424454046555491
Q8TAQ5,0.424454046555491
Q8TAQ5,0.424454046555491
Q8TAQ5,0.424454046555491
Q5R5J1,-3.85619871589686
Q00765,-0.522104189363567
P26885,-0.67738242138705
Q9P035,-1.27301776161503
Q9NHE5,0.742602352183034
P10982,-0.585239636702567
Q3SZ63,-26.1290541496578
Q8SSA6,-27.3438019436509
Q95SX7,-5.02964450499577
Q95SX7,-5.02964450499577
Q8SRR2,-7.14631157884339
Q8SRR2,-7.14631157884339
Q9H2K2,-0.523005105073024
Q9H2K2,-0.523005105073024
Q9H2K2,-0.523005105073024
Q9H2K2,-0.523005105073024
Q9H2K2,-0.523005105073024
Q9H2K2,-0.523005105073024
Q99LW6,1.32757628910455
P17014,-0.443921011516419
P17014,-0.443921011516419
P17014,-0.443921011516419
P17014,-0.443921011516419
P17014,-0.443921011516419
P17014,-0.443921011516419
P17014,-0.443921011516419
P17014,-0.443921011516419
P17014,-0.443921011516419
P17014,-0.443921011516419
P17014,-0.443921011516419
P17014,-0.443921011516419
P17014,-0.443921011516419
P17014,-0.443921011516419
P17019,-1.79434127461665
P17019,-1.79434127461665
P17019,-1.79434127461665
P17019,-1.79434127461665
P17019,-1.79434127461665
P17019,-1.79434127461665
P17019,-1.79434127461665
P17019,-1.79434127461665
P17019,-1.79434127461665
P17019,-1.79434127461665
P17019,-1.79434127461665
P17019,-1.79434127461665
P17019,-1.79434127461665
P17019,-1.79434127461665
P17019,-1.79434127461665
P17019,-1.79434127461665
P17019,-1.79434127461665
P17019,-1.79434127461665
P17019,-1.79434127461665
P17019,-1.79434127461665
P17019,-1.79434127461665
P17019,-1.79434127461665
P17019,-1.79434127461665
Q5R8Q7,-2.09342004863638
Q08ER8,-1.05935945892398
Q08ER8,-1.05935945892398
Q08ER8,-1.05935945892398
Q08ER8,-1.05935945892398
Q08ER8,-1.05935945892398
Q08ER8,-1.05935945892398
Q08ER8,-1.05935945892398
Q08ER8,-1.05935945892398
Q08ER8,-1.05935945892398
Q08ER8,-1.05935945892398
Q08ER8,-1.05935945892398
Q08ER8,-1.05935945892398
Q08ER8,-1.05935945892398
Q08ER8,-1.05935945892398
Q08ER8,-1.05935945892398
Q08ER8,-1.05935945892398
Q08ER8,-1.05935945892398
Q08ER8,-1.05935945892398
Q08ER8,-1.05935945892398
Q08ER8,-1.05935945892398
Q08ER8,-1.05935945892398
E7F1C4,3.93256058408711
Q94571,2.6695657098412
P17141,0.746550984169329
P17141,0.746550984169329
P17141,0.746550984169329
P17141,0.746550984169329
P17141,0.746550984169329
P17141,0.746550984169329
P17141,0.746550984169329
P17141,0.746550984169329
P17141,0.746550984169329
P17141,0.746550984169329
P17141,0.746550984169329
Q8SS72,-28.7305964393926
P21328,-1.77326050226087
Q80ZI6,-4.61725981444628
Q7ZUB2,-1.05020305711552
Q7K4B6,-0.0251677707193202
Q9W0T5,-1.18919043679938
Q9CQW7,-0.745174516264003
Q2EI20,0.479950394982017
Q2EI20,0.479950394982017
Q2EI20,0.479950394982017
Q2EI20,0.479950394982017
Q28Y69,-0.555887763417346
P17078,-2.07117169695713
B2RRL2,-4.23819628388361
B2RRL2,-4.23819628388361
O15127,-1.28984957108381
Q8BMB0,0.424454046555491
Q0VCQ4,2.27456750788222
Q9UL36,0.473681248613101
Q5SZD4,3.18506710838086
Q9UQP3,1.08998448366105
Q8BHG1,-1.69810112400052
Q5ZL26,-1.47807638235184
Q6P7P5,1.31634249197813
Q58DU5,-1.63863302804296
Q6NWF4,1.96353060462808
Q9BSJ2,-1.85252641462413
Q9Y6R4,1.46400693800733
Q8IYP9,7.07739195462546
Q5CZA5,-0.57846618242082
Q5CZA5,-0.57846618242082
Q5CZA5,-0.57846618242082
Q5CZA5,-0.57846618242082
Q5CZA5,-0.57846618242082
Q5CZA5,-0.57846618242082
Q5CZA5,-0.57846618242082
Q5CZA5,-0.57846618242082
Q5CZA5,-0.57846618242082
Q5CZA5,-0.57846618242082
Q5CZA5,-0.57846618242082
Q5CZA5,-0.57846618242082
Q5CZA5,-0.57846618242082
Q5CZA5,-0.57846618242082
P51400,-0.0899794471974348
P51400,-0.0899794471974348
Q8BH26,-0.985505045026202
P0C7I8,1.45730364521239
F6R2G2,0.368118910015821
O75717,0.0719953315610361
O75717,0.0719953315610361
Q09575,0.797807945082485
Q24180,2.5349161937915
P09874,0.833641490950938
Q9VUM0,-1.59876451545835
Q2EI20,-1.15327810786781
Q2EI20,-1.15327810786781
Q5TUF1,-0.113553162959218
Q9BXB4,-2.3906970504464
C6A1I4,-24.680295127595
P52583,-0.829830739305713
A2AJ76,2.40383311132816
Q6NZM9,0.541879726279131
Q6NZM9,0.541879726279131
A1E295,-1.23385451535357
Q04202,-2.55999305162677
P02640,1.96353060462808
Q29IK4,-0.652045139324267
P42285,NA
Q5ZMV2,-2.81789354144335
Q9BY31,-0.865656069550486
Q9BY31,-0.865656069550486
Q9BY31,-0.865656069550486
Q9BY31,-0.865656069550486
Q9BY31,-0.865656069550486
Q9BY31,-0.865656069550486
Q9BY31,-0.865656069550486
Q9BY31,-0.865656069550486
Q9BY31,-0.865656069550486
Q9BY31,-0.865656069550486
Q9BY31,-0.865656069550486
Q9BY31,-0.865656069550486
Q9BY31,-0.865656069550486
Q9BY31,-0.865656069550486
Q9BY31,-0.865656069550486
Q9BY31,-0.865656069550486
P92204,-0.868088753591743
Q5CZA5,-1.40388021664482
Q5CZA5,-1.40388021664482
Q5CZA5,-1.40388021664482
Q5CZA5,-1.40388021664482
Q5CZA5,-1.40388021664482
Q5CZA5,-1.40388021664482
Q5CZA5,-1.40388021664482
Q5CZA5,-1.40388021664482
Q5CZA5,-1.40388021664482
Q5CZA5,-1.40388021664482
Q5CZA5,-1.40388021664482
Q5CZA5,-1.40388021664482
Q5R5S6,-0.387319245959897
Q5R5S6,-0.387319245959897
Q5R5S6,-0.387319245959897
Q5R5S6,-0.387319245959897
Q5R5S6,-0.387319245959897
Q5R5S6,-0.387319245959897
Q5R5S6,-0.387319245959897
Q5R5S6,-0.387319245959897
Q5R5S6,-0.387319245959897
Q5R5S6,-0.387319245959897
Q5R5S6,-0.387319245959897
Q5R5S6,-0.387319245959897
Q9Y115,2.63267289765521
A8J4S9,-1.662509986169
Q8VCT9,3.11223563757923
O75897,-3.52362364495982
P06872,0.905347722582978
Q9QX66,-0.129662101856258
Q865F1,6.5006499682954
Q9GT24,1.9090089608268
Q9ERR2,0.221652303769359
Q9ERR2,0.221652303769359
P45382,-4.1528322756007
Q5R5Y2,0.8738681010722
Q6ZMW2,-1.07925156491718
Q6ZMW2,-1.07925156491718
Q6ZMW2,-1.07925156491718
Q6ZMW2,-1.07925156491718
Q6ZMW2,-1.07925156491718
Q6ZMW2,-1.07925156491718
Q6ZMW2,-1.07925156491718
Q6ZMW2,-1.07925156491718
Q6ZMW2,-1.07925156491718
Q6ZMW2,-1.07925156491718
Q6ZMW2,-1.07925156491718
Q6ZMW2,-1.07925156491718
Q6ZMW2,-1.07925156491718
Q6ZMW2,-1.07925156491718
Q6ZMW2,-1.07925156491718
Q6ZMW2,-1.07925156491718
Q6ZMW2,-1.07925156491718
Q9Y115,3.87127875979244
Q9XTQ6,0.905347722582978
A0A0R4IES7,2.86651975396151
Q78PG9,0.687976580678015
Q7PCJ9,-1.74663118700094
Q13490,-0.537330970037407
Q13490,-0.537330970037407
Q13490,-0.537330970037407
Q5QJE6,3.45143241883438
Q59ST6,NA
A4Z945,NA
P08397,-1.7040262215452
Q89AS1,NA
O70348,0.391536505703574
O08999,NA
O08999,NA
O08999,NA
O08999,NA
O08999,NA
O08999,NA
O08999,NA
O08999,NA
O08999,NA
O08999,NA
O08999,NA
P0C6R3,1.70042256387917
Q1RMR2,-0.316554909409012
Q9GRW0,1.71595558526439
Q63615,-1.17043528983268
Q61493,0.660678258792167
Q96EB1,-0.58187125655832
P21329,3.0151602739401
Q04202,-1.01194798425738
Q78PG9,6.56376837485418
P0DKX0,-0.536542404046402
P0DKX0,-0.536542404046402
P0DKX0,-0.536542404046402
P0DKX0,-0.536542404046402
P0DKX0,-0.536542404046402
