"Accession_ID","Entry.name","Protein.names","Gene.names","Organism","Length"
"Q86WI1","PKHL1_HUMAN","Fibrocystin-L (Polycystic kidney and hepatic disease 1-like protein 1) (PKHD1-like protein 1)","PKHD1L1","Homo sapiens (Human)",4243
"O70370","CATS_MOUSE","Cathepsin S (EC 3.4.22.27)","Ctss Cats","Mus musculus (Mouse)",340
"P53634","CATC_HUMAN","Dipeptidyl peptidase 1 (EC 3.4.14.1) (Cathepsin C) (Cathepsin J) (Dipeptidyl peptidase I) (DPP-I) (DPPI) (Dipeptidyl transferase) [Cleaved into: Dipeptidyl peptidase 1 exclusion domain chain (Dipeptidyl peptidase I exclusion domain chain); Dipeptidyl peptidase 1 heavy chain (Dipeptidyl peptidase I heavy chain); Dipeptidyl peptidase 1 light chain (Dipeptidyl peptidase I light chain)]","CTSC CPPI","Homo sapiens (Human)",463
"P07711","CATL1_HUMAN","Procathepsin L (EC 3.4.22.15) (Cathepsin L1) (Major excreted protein) (MEP) [Cleaved into: Cathepsin L; Cathepsin L heavy chain; Cathepsin L light chain]","CTSL CTSL1","Homo sapiens (Human)",333
"P12544","GRAA_HUMAN","Granzyme A (EC 3.4.21.78) (CTL tryptase) (Cytotoxic T-lymphocyte proteinase 1) (Fragmentin-1) (Granzyme-1) (Hanukkah factor) (H factor) (HF)","GZMA CTLA3 HFSP","Homo sapiens (Human)",262
"P07154","CATL1_RAT","Procathepsin L (EC 3.4.22.15) (Cathepsin L1) (Cyclic protein 2) (CP-2) (Major excreted protein) (MEP) [Cleaved into: Cathepsin L; Cathepsin L heavy chain; Cathepsin L light chain]","Ctsl Ctsl1","Rattus norvegicus (Rat)",334
"Q94527","NFKB1_DROME","Nuclear factor NF-kappa-B p110 subunit (Rel-p110) (Relish protein) [Cleaved into: Nuclear factor NF-kappa-B p68 subunit (Rel-p68); Nuclear factor NF-kappa-B p49 subunit (Rel-p49)]","Rel CG11992","Drosophila melanogaster (Fruit fly)",971
"Q9Y255","PRLD1_HUMAN","PRELI domain-containing protein 1, mitochondrial (25 kDa protein of relevant evolutionary and lymphoid interest) (Px19-like protein)","PRELID1 PRELI CGI-106 SBBI12","Homo sapiens (Human)",219
"O18793","CCR2_MACMU","C-C chemokine receptor type 2 (C-C CKR-2) (CC-CKR-2) (CCR-2) (CCR2) (Monocyte chemoattractant protein 1 receptor) (MCP-1-R) (CD antigen CD192)","CCR2 CMKBR2","Macaca mulatta (Rhesus macaque)",360
"O70479","BACD2_MOUSE","BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2 (BTB/POZ domain-containing protein TNFAIP1) (Tumor necrosis factor, alpha-induced protein 1, endothelial)","Tnfaip1 Edp1","Mus musculus (Mouse)",316
"P17676","CEBPB_HUMAN","CCAAT/enhancer-binding protein beta (C/EBP beta) (Liver activator protein) (LAP) (Liver-enriched inhibitory protein) (LIP) (Nuclear factor NF-IL6) (Transcription factor 5) (TCF-5)","CEBPB TCF5 PP9092","Homo sapiens (Human)",345
"Q95029","CATL_DROME","Cathepsin L (EC 3.4.22.15) (Cysteine proteinase 1) [Cleaved into: Cathepsin L heavy chain; Cathepsin L light chain]","Cp1 fs(2)50Ca CG6692","Drosophila melanogaster (Fruit fly)",371
"O61443","MK38B_DROME","Mitogen-activated protein kinase p38b (MAP kinase p38b) (MAPK p38b) (EC 2.7.11.24)","p38b CG7393","Drosophila melanogaster (Fruit fly)",365
"Q9JJ00","PLS1_MOUSE","Phospholipid scramblase 1 (PL scramblase 1) (Ca(2+)-dependent phospholipid scramblase 1) (Mg(2+)-dependent nuclease) (EC 3.1.-.-) (Transplantability-associated protein 1) (NOR1) (TRA1)","Plscr1 Tra1b Tras1","Mus musculus (Mouse)",328
"Q14164","IKKE_HUMAN","Inhibitor of nuclear factor kappa-B kinase subunit epsilon (I-kappa-B kinase epsilon) (IKK-E) (IKK-epsilon) (IkBKE) (EC 2.7.11.10) (Inducible I kappa-B kinase) (IKK-i)","IKBKE IKKE IKKI KIAA0151","Homo sapiens (Human)",716
"Q6IMZ0","NFIL3_RAT","Nuclear factor interleukin-3-regulated protein (E4 promoter-binding protein 4)","Nfil3","Rattus norvegicus (Rat)",462
"Q13231","CHIT1_HUMAN","Chitotriosidase-1 (EC 3.2.1.14) (Chitinase-1)","CHIT1","Homo sapiens (Human)",466
"Q91XA9","CHIA_MOUSE","Acidic mammalian chitinase (AMCase) (EC 3.2.1.14) (YNL)","Chia Chia1","Mus musculus (Mouse)",473
"P84025","SMAD3_RAT","Mothers against decapentaplegic homolog 3 (MAD homolog 3) (Mad3) (Mothers against DPP homolog 3) (SMAD family member 3) (SMAD 3) (Smad3)","Smad3 Madh3","Rattus norvegicus (Rat)",425
"Q28IK8","MARH8_XENTR","E3 ubiquitin-protein ligase MARCHF8 (EC 2.3.2.27) (Membrane-associated RING finger protein 8) (Membrane-associated RING-CH protein VIII) (MARCH-VIII) (RING-type E3 ubiquitin transferase MARCHF8)","marchf8 march8 TNeu072c23.1","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",264
"P84023","SMAD3_CHICK","Mothers against decapentaplegic homolog 3 (MAD homolog 3) (Mad3) (Mothers against DPP homolog 3) (SMAD family member 3) (SMAD 3) (Smad3)","SMAD3 MADH3","Gallus gallus (Chicken)",426
