"Accession_ID"	"species"
"P50284"	"TNR3_MOUSE"
"P01602"	"KV105_HUMAN"
"P30379"	"1B01_GORGO"
"P07996"	"TSP1_HUMAN"
"P01896"	"HA1Z_MOUSE"
"P22413"	"ENPP1_HUMAN"
"O95977"	"S1PR4_HUMAN"
"P16209"	"1A01_PANTR"
"P16210"	"1A02_PANTR"
"Q12770"	"SCAP_HUMAN"
"P48960"	"CD97_HUMAN"
"P04439"	"HLAA_HUMAN"
"P32456"	"GBP2_HUMAN"
"P43403"	"ZAP70_HUMAN"
"P02686"	"MBP_HUMAN"
"P25119"	"TNR1B_MOUSE"
"P51679"	"CCR4_HUMAN"
"P53634"	"CATC_HUMAN"
"Q13231"	"CHIT1_HUMAN"
"Q16649"	"NFIL3_HUMAN"
"P42768"	"WASP_HUMAN"
"P24001"	"IL32_HUMAN"
"Q5T0T0"	"MARH8_HUMAN"
"Q9R1E6"	"ENPP2_MOUSE"
"Q8IWV1"	"LAX1_HUMAN"
"Q01628"	"IFM3_HUMAN"
"Q94527"	"NFKB1_DROME"
"P13751"	"1B02_PANTR"
"P30686"	"1C01_PANTR"
"P01911"	"DRB_HUMAN"
"Q9NPH3"	"IL1AP_HUMAN"
"O70370"	"CATS_MOUSE"
"P14483"	"HB2A_MOUSE"
"P13750"	"1B01_PANTR"
"Q91XB0"	"TREX1_MOUSE"
"Q08D88"	"NFIL3_BOVIN"
"P36402"	"TCF7_HUMAN"
"Q91XA9"	"CHIA_MOUSE"
"Q99558"	"M3K14_HUMAN"
"P01824"	"HV439_HUMAN"
"P01764"	"HV323_HUMAN"
"P17861"	"XBP1_HUMAN"
"O14931"	"NCTR3_HUMAN"
"P50238"	"CRIP1_HUMAN"
"P84023"	"SMAD3_CHICK"
"Q95460"	"HMR1_HUMAN"
"P01717"	"LV325_HUMAN"
"Q14164"	"IKKE_HUMAN"
"Q6V1X1"	"DPP8_HUMAN"
"P08267"	"FRIH_CHICK"
"P14921"	"ETS1_HUMAN"
"P10321"	"HLAC_HUMAN"
"Q13478"	"IL18R_HUMAN"
"P53567"	"CEBPG_HUMAN"
"P01920"	"DQB1_HUMAN"
"O95256"	"I18RA_HUMAN"
"Q6ZN66"	"GBP6_HUMAN"
"Q8BMT4"	"LRC33_MOUSE"
"P56439"	"CCR5_GORGO"
"Q8IYM9"	"TRI22_HUMAN"
"P07711"	"CATL1_HUMAN"
"P01889"	"HLAB_HUMAN"
"Q9R0Q8"	"CLC4E_MOUSE"
"Q6UWB1"	"I27RA_HUMAN"
"P06331"	"HV434_HUMAN"
"O08843"	"LST1_MOUSE"
"P22670"	"RFX1_HUMAN"
"P01893"	"HLAH_HUMAN"
"P30387"	"1C04_GORGO"
"O75888"	"TNF13_HUMAN"
"Q96BF3"	"TMIG2_HUMAN"
"P01876"	"IGHA1_HUMAN"
"P06312"	"KV401_HUMAN"
"P01901"	"HA1B_MOUSE"
"P01900"	"HA12_MOUSE"
"P33681"	"CD80_HUMAN"
"Q99081"	"HTF4_HUMAN"
"P01631"	"KV2A7_MOUSE"
"P16871"	"IL7RA_HUMAN"
"P01817"	"HV205_HUMAN"
"P23611"	"IRF8_MOUSE"
"P16150"	"LEUK_HUMAN"
"A0A0A6YYK7"	"TVA19_HUMAN"
"Q8MIP0"	"FRIH_HORSE"
"Q9Z126"	"PLF4_MOUSE"
"P01850"	"TRBC1_HUMAN"
"O60449"	"LY75_HUMAN"
"Q0VD59"	"MARH8_BOVIN"
"Q8N423"	"LIRB2_HUMAN"
"P01909"	"DQA1_HUMAN"
"P61771"	"B2MG_GORGO"
"P41273"	"TNFL9_HUMAN"
"P40933"	"IL15_HUMAN"
"P04435"	"TVB79_HUMAN"
"P27870"	"VAV_MOUSE"
"P12544"	"GRAA_HUMAN"
"P00491"	"PNPH_HUMAN"
"Q7TNY1"	"BACD2_RAT"
"P06909"	"CFAH_MOUSE"
"Q92854"	"SEM4D_HUMAN"
"P09912"	"IFI6_HUMAN"
"Q13094"	"LCP2_HUMAN"
"Q02556"	"IRF8_HUMAN"
"P84022"	"SMAD3_HUMAN"
"O35601"	"FYB1_MOUSE"
"P34972"	"CNR2_HUMAN"
"Q07021"	"C1QBP_HUMAN"
"P50591"	"TNF10_HUMAN"
"Q92626"	"PXDN_HUMAN"
"P50453"	"SPB9_HUMAN"
"Q9TV48"	"CCR5_CERAS"
"O14862"	"AIM2_HUMAN"
"P01743"	"HV146_HUMAN"
"P51677"	"CCR3_HUMAN"
"O76096"	"CYTF_HUMAN"
"P30375"	"1A01_GORGO"
"P15330"	"DORS_DROME"
"Q07325"	"CXCL9_HUMAN"
"P15018"	"LIF_HUMAN"
"P09528"	"FRIH_MOUSE"
"P41274"	"TNFL9_MOUSE"
"A0JD36"	"TRDV2_HUMAN"
"P46531"	"NOTC1_HUMAN"
"O95976"	"IGSF6_HUMAN"
"P15498"	"VAV_HUMAN"
"P01584"	"IL1B_HUMAN"
"P31785"	"IL2RG_HUMAN"
"P06802"	"ENPP1_MOUSE"
"Q15399"	"TLR1_HUMAN"
"P15538"	"C11B1_HUMAN"
"Q14005"	"IL16_HUMAN"
"Q12851"	"M4K2_HUMAN"
"P97430"	"SLPI_MOUSE"
"P09564"	"CD7_HUMAN"
"P30377"	"1A03_GORGO"
"O00626"	"CCL22_HUMAN"
"Q62293"	"TGTP1_MOUSE"
"Q86WI1"	"PKHL1_HUMAN"
"Q9Y487"	"VPP2_HUMAN"
"P04945"	"KV6AB_MOUSE"
"Q06643"	"TNFC_HUMAN"
"P41155"	"TNFC_MOUSE"
