"Transcript_ID"	"Accession_ID"
"TRINITY_DN4_c0_g1_i16"	"Q05746"
"TRINITY_DN4_c0_g1_i3"	"Q05746"
"TRINITY_DN4_c0_g1_i6"	"Q05746"
"TRINITY_DN4_c0_g1_i8"	"Q05746"
"TRINITY_DN1139_c0_g1_i1"	"Q05746"
"TRINITY_DN1139_c0_g1_i2"	"Q05746"
"TRINITY_DN853_c0_g2_i1"	"Q05746"
"TRINITY_DN2702_c0_g1_i1"	"Q05746"
"TRINITY_DN2767_c0_g1_i1"	"Q05746"
"TRINITY_DN223_c0_g2_i1"	"Q05746"
"TRINITY_DN297_c0_g2_i1"	"Q05746"
"TRINITY_DN1982_c1_g1_i1"	"Q05746"
"TRINITY_DN1794_c0_g1_i1"	"Q05746"
"TRINITY_DN359_c0_g1_i1"	"Q05746"
"TRINITY_DN1078_c0_g1_i1"	"Q9LZQ9"
"TRINITY_DN1641_c0_g1_i1"	"Q0WQQ1"
"TRINITY_DN2766_c0_g1_i1"	"Q54BM8"
"TRINITY_DN2202_c0_g1_i1"	"Q54BM8"
"TRINITY_DN257_c0_g1_i1"	"Q10NQ9"
"TRINITY_DN257_c0_g1_i3"	"Q10NQ9"
"TRINITY_DN257_c0_g1_i2"	"Q10NQ9"
"TRINITY_DN281_c0_g1_i2"	"Q10NQ9"
"TRINITY_DN281_c0_g1_i1"	"Q10NQ9"
"TRINITY_DN4243_c0_g1_i1"	"P0CS08"
"TRINITY_DN2643_c0_g1_i1"	"Q6ZRS2"
"TRINITY_DN303_c0_g1_i1"	"Q6ZRS2"
"TRINITY_DN208_c0_g1_i1"	"Q9SHL7"
"TRINITY_DN346_c0_g1_i2"	"Q7MNR0"
"TRINITY_DN1593_c0_g1_i1"	"A1C5V3"
"TRINITY_DN30_c0_g1_i6"	"P35684"
"TRINITY_DN30_c0_g1_i7"	"P35684"
"TRINITY_DN30_c0_g1_i3"	"P35684"
"TRINITY_DN30_c0_g1_i2"	"P35684"
"TRINITY_DN30_c0_g1_i5"	"P35684"
"TRINITY_DN30_c0_g1_i8"	"P35684"
"TRINITY_DN336_c0_g1_i1"	"P35684"
"TRINITY_DN2145_c0_g1_i1"	"Q0DJA0"
"TRINITY_DN4433_c0_g1_i1"	"Q0DJA0"
"TRINITY_DN1306_c0_g1_i2"	"P28734"
"TRINITY_DN1306_c0_g1_i1"	"P28734"
"TRINITY_DN1777_c0_g1_i1"	"Q09305"
"TRINITY_DN1777_c0_g2_i1"	"Q09305"
"TRINITY_DN4095_c0_g1_i1"	"Q54SN4"
"TRINITY_DN645_c0_g1_i1"	"Q54SN4"
"TRINITY_DN1820_c0_g1_i1"	"Q7PWB1"
"TRINITY_DN3531_c0_g1_i1"	"P80387"
"TRINITY_DN1783_c0_g2_i1"	"Q8IVF4"
"TRINITY_DN2102_c0_g2_i1"	"Q8IVF4"
"TRINITY_DN1807_c0_g1_i1"	"Q8IVF4"
"TRINITY_DN286_c0_g1_i2"	"Q3MHL7"
"TRINITY_DN286_c0_g1_i3"	"Q3MHL7"
"TRINITY_DN286_c0_g1_i1"	"Q3MHL7"
"TRINITY_DN4658_c0_g1_i1"	"P42325"
"TRINITY_DN842_c0_g2_i1"	"Q64395"
"TRINITY_DN2184_c0_g1_i1"	"Q9T042"
"TRINITY_DN166_c0_g2_i3"	"P26182"
"TRINITY_DN166_c0_g2_i2"	"P26182"
"TRINITY_DN166_c0_g1_i7"	"P26182"
"TRINITY_DN166_c0_g1_i10"	"P26182"
"TRINITY_DN166_c0_g1_i1"	"P26182"
"TRINITY_DN166_c0_g1_i9"	"P26182"
"TRINITY_DN166_c0_g1_i2"	"P26182"
"TRINITY_DN166_c0_g1_i3"	"P26182"
"TRINITY_DN166_c0_g1_i4"	"P26182"
"TRINITY_DN16_c0_g1_i3"	"P90519"
"TRINITY_DN16_c0_g1_i5"	"P90519"
"TRINITY_DN16_c0_g1_i6"	"P90519"
"TRINITY_DN16_c0_g1_i2"	"P90519"
"TRINITY_DN16_c0_g1_i7"	"P90519"
"TRINITY_DN3238_c0_g1_i1"	"Q84ME1"
"TRINITY_DN3080_c0_g1_i1"	"O43930"
"TRINITY_DN1236_c0_g1_i1"	"Q54N38"
"TRINITY_DN1736_c0_g1_i1"	"Q10N20"
"TRINITY_DN1854_c0_g1_i1"	"Q10N20"
"TRINITY_DN3163_c0_g1_i1"	"O76083"
"TRINITY_DN2306_c0_g1_i1"	"O76083"
"TRINITY_DN1553_c0_g1_i1"	"O76083"
"TRINITY_DN3738_c0_g1_i1"	"Q9LWN0"
"TRINITY_DN3126_c0_g1_i2"	"Q9UIL1"
"TRINITY_DN2333_c0_g1_i2"	"Q8BJL0"
"TRINITY_DN2333_c0_g1_i1"	"Q8BJL0"
"TRINITY_DN796_c0_g1_i1"	"O04376"
"TRINITY_DN3448_c0_g1_i1"	"Q23917"
"TRINITY_DN1553_c0_g2_i1"	"Q23917"
"TRINITY_DN4906_c0_g1_i1"	"Q23917"
"TRINITY_DN2332_c0_g1_i1"	"O35231"
"TRINITY_DN577_c0_g1_i1"	"P46782"
