name	term	lev	seq	value
"anatomical structure development"	GO:0048856	2	Q6PI78	2.86913147312527
"anatomical structure development"	GO:0048856	2	P62944	2.8498945847793
"anatomical structure development"	GO:0048856	2	Q8CGY6	1.53276719837365
"anatomical structure development"	GO:0048856	2	Q8JZK9	1.32115803380208
"anatomical structure development"	GO:0048856	2	Q96EP5	0.978810591297984
"anatomical structure development"	GO:0048856	2	Q4G0P3	3.01780125952779
"anatomical structure development"	GO:0048856	2	O14594	3.74567080093702
"anatomical structure development"	GO:0048856	2	Q6PHI9	1.94676726764876
"anatomical structure development"	GO:0048856	2	Q61371	4.28283168747528
"anatomical structure development"	GO:0048856	2	Q8BKE9	0.511136606606249
"anatomical structure development"	GO:0048856	2	B3DHU2	0.528460754796976
"anatomical structure development"	GO:0048856	2	O35643	-1.40806174056992
"anatomical structure development"	GO:0048856	2	Q7ZVC2	-0.682384920094629
"anatomical structure development"	GO:0048856	2	O35130	0.381053590902131
"anatomical structure development"	GO:0048856	2	Q13099	3.00478737034926
"anatomical structure development"	GO:0048856	2	Q04656	2.17833530661323
"anatomical structure development"	GO:0048856	2	Q9HCD6	1.32698521009745
"anatomical structure development"	GO:0048856	2	Q4VAE3	-2.35981516769596
"anatomical structure development"	GO:0048856	2	Q95JX4	-0.241970666694646
"anatomical structure development"	GO:0048856	2	Q92890	0.38364018929694
"anatomical structure development"	GO:0048856	2	Q9VNV3	3.1479461428465
"anatomical structure development"	GO:0048856	2	Q45VK7	3.37468301726298
"anatomical structure development"	GO:0048856	2	Q9EQG6	3.76838412711932
"anatomical structure development"	GO:0048856	2	Q5XGI5	0.712848246909911
"anatomical structure development"	GO:0048856	2	Q8CFW7	3.46613994827904
"anatomical structure development"	GO:0048856	2	Q6NYH1	2.52717978364241
"anatomical structure development"	GO:0048856	2	Q8T0S6	4.12848797949117
"morphogenesis of an epithelium"	GO:0001947;GO:0003143;GO:0048598;GO:0060562;GO:0002009;GO:0035239;GO:0048729	3	Q90XC2	1.36660063512477
"morphogenesis of an epithelium"	GO:0001947;GO:0003143;GO:0048598;GO:0060562;GO:0002009;GO:0035239;GO:0048729	3	Q4G0X9	3.27052077632296
"morphogenesis of an epithelium"	GO:0001947;GO:0003143;GO:0048598;GO:0060562;GO:0002009;GO:0035239;GO:0048729	3	Q9UFE4	2.55646975595434
"morphogenesis of an epithelium"	GO:0001947;GO:0003143;GO:0048598;GO:0060562;GO:0002009;GO:0035239;GO:0048729	3	Q8BI79	2.72503560310111
"morphogenesis of an epithelium"	GO:0001947;GO:0003143;GO:0048598;GO:0060562;GO:0002009;GO:0035239;GO:0048729	3	O35245	4.12550709160679
"regulation of response to stimulus"	GO:0048583	2	Q16644	1.33442355479895
"regulation of response to stimulus"	GO:0048583	2	Q6A4L0	1.07345312058016
"regulation of response to stimulus"	GO:0048583	2	Q9ZR37	1.47730875874966
"regulation of response to stimulus"	GO:0048583	2	Q3UIR3	1.67519109947654
"regulation of response to stimulus"	GO:0048583	2	Q99572	-0.352431144313966
"regulation of response to stimulus"	GO:0048583	2	P05987	0.201313324181029
