name	term	lev	seq	value
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	B9DHQ0	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	P0DPH7	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	Q28IX8	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	A5A6J1	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	P28752	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	Q6AYZ1	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	P33627	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	Q3ZCJ7	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	Q32KN8	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	Q6VAF9	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	Q2XVP4	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	Q9ZRB7	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	P02550	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	P68369	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	P11139	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	P14640	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	Q6P9V9	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	Q9BQE3	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	Q6PEY2	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	P05213	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	Q6VAG0	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	P81947	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	P54632	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	Q02245	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	P06603	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	Q5XJ10	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	Q5R1W4	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	P68373	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	P05214	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	Q68FR8	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	P68370	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	P06604	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	P06605	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	B9DGT7	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	Q53M52	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	Q2HJ86	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	P0DPH8	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	P68363	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	P22275	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	Q6VAG1	0
"microtubule cytoskeleton organization"	GO:0000226;GO:0007010;GO:0007017	3	P29511	0
"nucleic acid phosphodiester bond hydrolysis"	GO:0000447;GO:0000479;GO:0000478;GO:0000469;GO:0090502;GO:0090501;GO:0090305	5	Q75BL6	0
"nucleic acid phosphodiester bond hydrolysis"	GO:0000447;GO:0000479;GO:0000478;GO:0000469;GO:0090502;GO:0090501;GO:0090305	5	Q54BN4	0
"nucleic acid phosphodiester bond hydrolysis"	GO:0000447;GO:0000479;GO:0000478;GO:0000469;GO:0090502;GO:0090501;GO:0090305	5	P35687	0
"nucleic acid phosphodiester bond hydrolysis"	GO:0000447;GO:0000479;GO:0000478;GO:0000469;GO:0090502;GO:0090501;GO:0090305	5	P0CX56	0
"nucleic acid phosphodiester bond hydrolysis"	GO:0000447;GO:0000479;GO:0000478;GO:0000469;GO:0090502;GO:0090501;GO:0090305	5	P0CX55	0
"nucleic acid phosphodiester bond hydrolysis"	GO:0000447;GO:0000479;GO:0000478;GO:0000469;GO:0090502;GO:0090501;GO:0090305	5	Q4WI01	0
