name	term	lev	seq	value
"microtubule-based transport"	GO:0003351;GO:0006858;GO:0099111	2	O95995	-5.18712391333874
"microtubule-based transport"	GO:0003351;GO:0006858;GO:0099111	2	Q7M6Z5	1.15546910957452
"microtubule-based transport"	GO:0003351;GO:0006858;GO:0099111	2	Q28HX4	3.31565674566993
"microtubule-based transport"	GO:0003351;GO:0006858;GO:0099111	2	Q60779	0.960292730726278
"microtubule-based transport"	GO:0003351;GO:0006858;GO:0099111	2	Q8BPA8	-0.913545224889632
"microtubule-based transport"	GO:0003351;GO:0006858;GO:0099111	2	P56597	-4.39643601040826
"microtubule-based transport"	GO:0003351;GO:0006858;GO:0099111	2	Q9QXL7	3.23404789058306
"microtubule-based transport"	GO:0003351;GO:0006858;GO:0099111	2	Q9JLI7	-4.85029829983771
"microtubule-based transport"	GO:0003351;GO:0006858;GO:0099111	2	Q8TDH9	0.0527575119351157
"regulation of humoral immune response"	GO:0002920	2	Q9VZX1	1.20316835394069
"regulation of humoral immune response"	GO:0002920	2	Q9VMU8	0.201222067335267
"regulation of humoral immune response"	GO:0002920	2	P06734	-1.63623270945764
"regulation of humoral immune response"	GO:0002920	2	Q64411	-6.10053819935074
"regulation of humoral immune response"	GO:0002920	2	Q8IQ27	-1.67605286135904
"regulation of humoral immune response"	GO:0002920	2	Q9VB68	-0.273847262857337
"regulation of humoral immune response"	GO:0002920	2	Q05652	0.291136596826329
"regulation of humoral immune response"	GO:0002920	2	P20693	-3.75994724753629
"regulation of humoral immune response"	GO:0002920	2	P05155	6.01552465664313
"regulation of humoral immune response"	GO:0002920	2	Q03023	7.31305967581516
"regulation of humoral immune response"	GO:0002920	2	Q03017	-0.00276150733766226
"regulation of humoral immune response"	GO:0002920	2	P97290	-1.80568815891553
"fatty acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:0006636;GO:0046456;GO:0006633	7	Q8NCG7	4.74628966082167
"fatty acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:0006636;GO:0046456;GO:0006633	7	Q8WNM1	1.01452709822303
"fatty acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:0006636;GO:0046456;GO:0006633	7	Q91WC9	1.44449943267402
"fatty acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:0006636;GO:0046456;GO:0006633	7	Q16647	-0.913545224889632
"fatty acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:0006636;GO:0046456;GO:0006633	7	Q8TBF2	1.01452709822303
"fatty acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:0006636;GO:0046456;GO:0006633	7	P0C1S9	-2.94228402871636
"fatty acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:0006636;GO:0046456;GO:0006633	7	Q3ZBF7	0.57020836625672
"fatty acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:0006636;GO:0046456;GO:0006633	7	P34884	1.0242784592341
"fatty acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:0006636;GO:0046456;GO:0006633	7	P80508	-6.05922489614929
"fatty acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:0006636;GO:0046456;GO:0006633	7	P05980	-2.64523077204409
"fatty acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:0006636;GO:0046456;GO:0006633	7	Q9NP80	-0.913545224889632
"fatty acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:0006636;GO:0046456;GO:0006633	7	Q9JM51	1.93444628259459
"fatty acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:0006636;GO:0046456;GO:0006633	7	Q05769	1.01452709822303
"fatty acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:0006636;GO:0046456;GO:0006633	7	P14174	0.336361583610837
"fatty acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:0006636;GO:0046456;GO:0006633	7	P22437	3.61752862681656
"fatty acid biosynthetic process"	GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:0006636;GO:0046456;GO:0006633	7	P24557	0.0456914931390841
