name	term	lev	seq	value
"organelle localization"	GO:0051656;GO:0051640	3	P63171	0
"organelle localization"	GO:0051656;GO:0051640	3	Q24117	0
"organelle localization"	GO:0051656;GO:0051640	3	Q9W590	0
"organelle localization"	GO:0051656;GO:0051640	3	Q08DS5	0
"organelle localization"	GO:0051656;GO:0051640	3	B7PS00	0
"organelle localization"	GO:0051656;GO:0051640	3	Q8BMC4	0
"organelle localization"	GO:0051656;GO:0051640	3	Q8UVJ6	0
"organelle localization"	GO:0051656;GO:0051640	3	Q03206	0
"organelle localization"	GO:0051656;GO:0051640	3	Q9Z336	0
"spliceosomal snRNP assembly"	GO:0000387	2	Q9Y333	0
"spliceosomal snRNP assembly"	GO:0000387	2	Q9VLV5	0
"spliceosomal snRNP assembly"	GO:0000387	2	Q9VV74	0
"spliceosomal snRNP assembly"	GO:0000387	2	Q7ZUG0	0
"spliceosomal snRNP assembly"	GO:0000387	2	O14744	0
"spliceosomal snRNP assembly"	GO:0000387	2	Q8BHE1	0
"spliceosomal snRNP assembly"	GO:0000387	2	A7YW45	0
"spliceosomal snRNP assembly"	GO:0000387	2	Q24297	0
"immune system process"	GO:0002376	1	Q13177	0
"immune system process"	GO:0002376	1	Q9WTS8	0
"immune system process"	GO:0002376	1	O70165	0
"immune system process"	GO:0002376	1	Q96FW1	0
"immune system process"	GO:0002376	1	Q99KQ4	0
"immune system process"	GO:0002376	1	O00329	0
"immune system process"	GO:0002376	1	Q15485	0
"immune system process"	GO:0002376	1	Q9VFC2	0
"mitochondrion organization"	GO:0007005	3	Q6PCS6	0
"mitochondrion organization"	GO:0007005	3	Q6NWH5	0
"mitochondrion organization"	GO:0007005	3	P29845	0
"mitochondrion organization"	GO:0007005	3	Q2HJ97	0
"mitochondrion organization"	GO:0007005	3	Q8CFY5	0
"mitochondrion organization"	GO:0007005	3	Q7ZV90	0
"cell cycle process"	GO:0022402;GO:1903047	2	P63171	0
"cell cycle process"	GO:0022402;GO:1903047	2	Q24117	0
"cell cycle process"	GO:0022402;GO:1903047	2	P45594	0
"cell cycle process"	GO:0022402;GO:1903047	2	Q99323	0
"cell cycle process"	GO:0022402;GO:1903047	2	P10987	0
"cell cycle process"	GO:0022402;GO:1903047	2	Q6GQG3	0
"cell cycle process"	GO:0022402;GO:1903047	2	P25843	0
"cell cycle process"	GO:0022402;GO:1903047	2	O01971	0
"cell cycle process"	GO:0022402;GO:1903047	2	Q15286	0
"cell cycle process"	GO:0022402;GO:1903047	2	P55035	0
"cell cycle process"	GO:0022402;GO:1903047	2	O62698	0
"cell cycle process"	GO:0022402;GO:1903047	2	P0DM41	0
"cell cycle process"	GO:0022402;GO:1903047	2	Q13616	0
"cell cycle process"	GO:0022402;GO:1903047	2	Q12955	0
"cell cycle process"	GO:0022402;GO:1903047	2	P40423	0
"cell cycle process"	GO:0022402;GO:1903047	2	P30153	0
"cell cycle process"	GO:0022402;GO:1903047	2	O15297	0
"cell cycle process"	GO:0022402;GO:1903047	2	P48612	0
"cell cycle process"	GO:0022402;GO:1903047	2	Q6J1J1	0
"cell cycle process"	GO:0022402;GO:1903047	2	Q96SN8	0
