name	term	lev	seq	value
"regulation of primary metabolic process"	GO:0031323;GO:0051171;GO:0080090	4	Q9LV28	0
"regulation of primary metabolic process"	GO:0031323;GO:0051171;GO:0080090	4	P62987	0
"regulation of primary metabolic process"	GO:0031323;GO:0051171;GO:0080090	4	P62830	0
"regulation of primary metabolic process"	GO:0031323;GO:0051171;GO:0080090	4	P62831	0
"regulation of primary metabolic process"	GO:0031323;GO:0051171;GO:0080090	4	O18640	0
"regulation of primary metabolic process"	GO:0031323;GO:0051171;GO:0080090	4	O24456	0
"regulation of primary metabolic process"	GO:0031323;GO:0051171;GO:0080090	4	Q9CR16	0
"regulation of primary metabolic process"	GO:0031323;GO:0051171;GO:0080090	4	P49027	0
"regulation of primary metabolic process"	GO:0031323;GO:0051171;GO:0080090	4	Q6DGG0	0
"regulation of primary metabolic process"	GO:0031323;GO:0051171;GO:0080090	4	Q39836	0
"regulation of primary metabolic process"	GO:0031323;GO:0051171;GO:0080090	4	Q3T057	0
"regulation of primary metabolic process"	GO:0031323;GO:0051171;GO:0080090	4	P62832	0
"regulation of primary metabolic process"	GO:0031323;GO:0051171;GO:0080090	4	P25304	0.625431958309315
"regulation of primary metabolic process"	GO:0031323;GO:0051171;GO:0080090	4	P0CG47	0
"regulation of primary metabolic process"	GO:0031323;GO:0051171;GO:0080090	4	Q01369	0
"regulation of primary metabolic process"	GO:0031323;GO:0051171;GO:0080090	4	Q08752	0
"regulation of primary metabolic process"	GO:0031323;GO:0051171;GO:0080090	4	P63165	0
"regulation of primary metabolic process"	GO:0031323;GO:0051171;GO:0080090	4	P49026	0
"regulation of primary metabolic process"	GO:0031323;GO:0051171;GO:0080090	4	P60710	0
"regulation of primary metabolic process"	GO:0031323;GO:0051171;GO:0080090	4	P62829	0
"regulation of primary metabolic process"	GO:0031323;GO:0051171;GO:0080090	4	P26882	0
"regulation of primary metabolic process"	GO:0031323;GO:0051171;GO:0080090	4	Q9C4Z6	0
"regulation of primary metabolic process"	GO:0031323;GO:0051171;GO:0080090	4	P60711	0
"regulation of primary metabolic process"	GO:0031323;GO:0051171;GO:0080090	4	P60709	0
"mitotic cell cycle phase transition"	GO:0044772;GO:0044770	2	Q4R4K6	0
"mitotic cell cycle phase transition"	GO:0044772;GO:0044770	2	P62753	0
"mitotic cell cycle phase transition"	GO:0044772;GO:0044770	2	P62754	0
"mitotic cell cycle phase transition"	GO:0044772;GO:0044770	2	Q71U36	0
"mitotic cell cycle phase transition"	GO:0044772;GO:0044770	2	P62258	0
"mitotic cell cycle phase transition"	GO:0044772;GO:0044770	2	P63018	0
"cellular protein modification process"	GO:0000413;GO:0018208;GO:0018193;GO:0006464;GO:0036211;GO:0043412	5	P73789	0
"cellular protein modification process"	GO:0000413;GO:0018208;GO:0018193;GO:0006464;GO:0036211;GO:0043412	5	Q9P3X9	0
"cellular protein modification process"	GO:0000413;GO:0018208;GO:0018193;GO:0006464;GO:0036211;GO:0043412	5	Q5ACI8	0
"cellular protein modification process"	GO:0000413;GO:0018208;GO:0018193;GO:0006464;GO:0036211;GO:0043412	5	Q4WIF3	0
"cellular protein modification process"	GO:0000413;GO:0018208;GO:0018193;GO:0006464;GO:0036211;GO:0043412	5	Q13427	0
"cellular protein modification process"	GO:0000413;GO:0018208;GO:0018193;GO:0006464;GO:0036211;GO:0043412	5	Q9LY75	0
"cellular protein modification process"	GO:0000413;GO:0018208;GO:0018193;GO:0006464;GO:0036211;GO:0043412	5	Q5B4E7	0
"cellular protein modification process"	GO:0000413;GO:0018208;GO:0018193;GO:0006464;GO:0036211;GO:0043412	5	O55035	0
"cellular protein modification process"	GO:0000413;GO:0018208;GO:0018193;GO:0006464;GO:0036211;GO:0043412	5	A2AR02	0
"cellular protein modification process"	GO:0000413;GO:0018208;GO:0018193;GO:0006464;GO:0036211;GO:0043412	5	Q8LGF7	0
"anatomical structure homeostasis"	GO:0060249;GO:0042592;GO:0065008	2	Q6S8J3	0
"anatomical structure homeostasis"	GO:0060249;GO:0042592;GO:0065008	2	P0CG39	0
"anatomical structure homeostasis"	GO:0060249;GO:0042592;GO:0065008	2	A5A3E0	0
"anatomical structure homeostasis"	GO:0060249;GO:0042592;GO:0065008	2	Q61696	0
"anatomical structure homeostasis"	GO:0060249;GO:0042592;GO:0065008	2	P0CG38	0
"anatomical structure homeostasis"	GO:0060249;GO:0042592;GO:0065008	2	P0DMW0	0
"positive regulation of protein phosphorylation"	GO:0001934;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0031325;GO:0051247;GO:0009893;GO:0048522;GO:0010604;GO:0051173;GO:0048518;GO:0010562	4	Q9LV28	0
"positive regulation of protein phosphorylation"	GO:0001934;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0031325;GO:0051247;GO:0009893;GO:0048522;GO:0010604;GO:0051173;GO:0048518;GO:0010562	4	O24456	0
"positive regulation of protein phosphorylation"	GO:0001934;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0031325;GO:0051247;GO:0009893;GO:0048522;GO:0010604;GO:0051173;GO:0048518;GO:0010562	4	P49027	0
"positive regulation of protein phosphorylation"	GO:0001934;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0031325;GO:0051247;GO:0009893;GO:0048522;GO:0010604;GO:0051173;GO:0048518;GO:0010562	4	Q39836	0
"positive regulation of protein phosphorylation"	GO:0001934;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0031325;GO:0051247;GO:0009893;GO:0048522;GO:0010604;GO:0051173;GO:0048518;GO:0010562	4	Q01369	0
"positive regulation of protein phosphorylation"	GO:0001934;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0031325;GO:0051247;GO:0009893;GO:0048522;GO:0010604;GO:0051173;GO:0048518;GO:0010562	4	P49026	0
"positive regulation of protein phosphorylation"	GO:0001934;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0031325;GO:0051247;GO:0009893;GO:0048522;GO:0010604;GO:0051173;GO:0048518;GO:0010562	4	Q9C4Z6	0
"negative regulation of biological process"	GO:0010629;GO:0010468;GO:0010605;GO:0009892;GO:0048519	4	Q9EPH8	0
"negative regulation of biological process"	GO:0010629;GO:0010468;GO:0010605;GO:0009892;GO:0048519	4	P46781	0
"negative regulation of biological process"	GO:0010629;GO:0010468;GO:0010605;GO:0009892;GO:0048519	4	P18621	0
"negative regulation of biological process"	GO:0010629;GO:0010468;GO:0010605;GO:0009892;GO:0048519	4	P62987	0
"negative regulation of biological process"	GO:0010629;GO:0010468;GO:0010605;GO:0009892;GO:0048519	4	P11940	0
"negative regulation of biological process"	GO:0010629;GO:0010468;GO:0010605;GO:0009892;GO:0048519	4	P62241	0
"negative regulation of biological process"	GO:0010629;GO:0010468;GO:0010605;GO:0009892;GO:0048519	4	P62830	0
"negative regulation of biological process"	GO:0010629;GO:0010468;GO:0010605;GO:0009892;GO:0048519	4	P62831	0
