name	term	lev	seq	value
"cell septum assembly"	GO:0000917;GO:0090529;GO:0032506	3	O67679	-0.550202063008566
"cell septum assembly"	GO:0000917;GO:0090529;GO:0032506	3	Q2GAU7	1.39225252955763
"cell septum assembly"	GO:0000917;GO:0090529;GO:0032506	3	Q89BP9	1.35435309242049
"regulation of cellular process"	GO:0050794	3	Q6DE08	0.274204911250308
"regulation of cellular process"	GO:0050794	3	Q0JGS5	2.65953921181967
"regulation of cellular process"	GO:0050794	3	A0A1L8HCK2	1.14337411117019
"regulation of cellular process"	GO:0050794	3	Q6ZQ08	1.84001651818262
"regulation of cellular process"	GO:0050794	3	P49756	-2.3822828867071
"regulation of cellular process"	GO:0050794	3	Q99956	-1.25071808387328
"regulation of cellular process"	GO:0050794	3	Q0DA50	1.79482945835426
"regulation of cellular process"	GO:0050794	3	Q498K9	0.709594006304093
"regulation of cellular process"	GO:0050794	3	Q6DGG0	1.15667074674025
"regulation of cellular process"	GO:0050794	3	Q63184	0.970506428219512
"regulation of cellular process"	GO:0050794	3	Q13614	2.04308000392698
"regulation of cellular process"	GO:0050794	3	Q2TA16	0.708019683648484
"regulation of cellular process"	GO:0050794	3	Q05120	0.293759842223782
"regulation of cellular process"	GO:0050794	3	O94400	0.288382057180437
"regulation of cellular process"	GO:0050794	3	P28072	-0.248613612815752
"regulation of cellular process"	GO:0050794	3	Q18409	2.72712229418388
"regulation of cellular process"	GO:0050794	3	Q39238	0.900568364429803
"regulation of cellular process"	GO:0050794	3	Q9C4Z6	3.15495925362322
"regulation of cellular process"	GO:0050794	3	Q75JN1	1.95170461893969
"regulation of cellular process"	GO:0050794	3	O00233	1.71409990479939
"regulation of cellular process"	GO:0050794	3	Q24491	-2.30407396961713
"regulation of cellular process"	GO:0050794	3	Q9UII4	2.70228632945909
"regulation of cellular process"	GO:0050794	3	Q7KQM6	0.444747500387344
"regulation of cellular process"	GO:0050794	3	A0A0L0P6P7	2.48269391359616
"regulation of cellular process"	GO:0050794	3	Q27497	2.19989641340056
"regulation of cellular process"	GO:0050794	3	Q9SEE9	-0.559641725490446
"regulation of cellular process"	GO:0050794	3	Q5SGD2	3.15670391972157
"regulation of cellular process"	GO:0050794	3	Q8W4M7	3.09291628351874
"regulation of cellular process"	GO:0050794	3	Q5FWM8	0.351686013366855
"regulation of cellular process"	GO:0050794	3	A7YWC4	1.34636104531518
"regulation of cellular process"	GO:0050794	3	P40138	1.06051640691512
"regulation of cellular process"	GO:0050794	3	Q4PC17	1.60237595561041
"regulation of cellular process"	GO:0050794	3	P46892	0.453823993792699
"regulation of cellular process"	GO:0050794	3	O65001	2.20431905053489
"regulation of cellular process"	GO:0050794	3	Q6A098	0.960400431140554
