name	term	lev	seq	value
"post-embryonic development"	GO:0009791	2	Q21086	0
"post-embryonic development"	GO:0009791	2	P46561	0
"post-embryonic development"	GO:0009791	2	Q9VVH9	0.815232083239466
"post-embryonic development"	GO:0009791	2	O01479	0
"post-embryonic development"	GO:0009791	2	Q9N2M8	0
"regulation of cell cycle"	GO:0051726	4	Q9VFR0	0
"regulation of cell cycle"	GO:0051726	4	P92177	0
"regulation of cell cycle"	GO:0051726	4	Q8K158	0
"regulation of cell cycle"	GO:0051726	4	O61661	0
"regulation of cell cycle"	GO:0051726	4	Q5ZJH7	0
"establishment of localization"	GO:0051641;GO:0051649;GO:0051234;GO:0051179	2	Q17QC5	0
"establishment of localization"	GO:0051641;GO:0051649;GO:0051234;GO:0051179	2	B7PS00	0
"establishment of localization"	GO:0051641;GO:0051649;GO:0051234;GO:0051179	2	Q08DS5	0
"establishment of localization"	GO:0051641;GO:0051649;GO:0051234;GO:0051179	2	Q5ZMP6	0
"establishment of localization"	GO:0051641;GO:0051649;GO:0051234;GO:0051179	2	Q6UWH6	0
"establishment of localization"	GO:0051641;GO:0051649;GO:0051234;GO:0051179	2	Q03206	0
"establishment of localization"	GO:0051641;GO:0051649;GO:0051234;GO:0051179	2	Q8BMC4	0
"establishment of localization"	GO:0051641;GO:0051649;GO:0051234;GO:0051179	2	Q24117	0
"establishment of localization"	GO:0051641;GO:0051649;GO:0051234;GO:0051179	2	Q9VZ23	0
"establishment of localization"	GO:0051641;GO:0051649;GO:0051234;GO:0051179	2	Q9Z336	0
"establishment of localization"	GO:0051641;GO:0051649;GO:0051234;GO:0051179	2	Q3T054	0
"establishment of localization"	GO:0051641;GO:0051649;GO:0051234;GO:0051179	2	Q290M9	0
"establishment of localization"	GO:0051641;GO:0051649;GO:0051234;GO:0051179	2	Q8IQC1	0
"establishment of localization"	GO:0051641;GO:0051649;GO:0051234;GO:0051179	2	Q3ZMH1	0
"maturation of LSU-rRNA"	GO:0000470	9	P32100	0
"maturation of LSU-rRNA"	GO:0000470	9	P32429	0
"maturation of LSU-rRNA"	GO:0000470	9	O01802	0
"maturation of LSU-rRNA"	GO:0000470	9	Q6ZWV7	0
"maturation of LSU-rRNA"	GO:0000470	9	P46223	0
"multicellular organism development"	GO:0007275	2	Q21086	0
"multicellular organism development"	GO:0007275	2	Q99873	0
"multicellular organism development"	GO:0007275	2	P46561	0
"multicellular organism development"	GO:0007275	2	P20042	0
"multicellular organism development"	GO:0007275	2	Q9VVH9	0.815232083239466
"multicellular organism development"	GO:0007275	2	P01942	0.265920444639644
"multicellular organism development"	GO:0007275	2	O76080	0
"multicellular organism development"	GO:0007275	2	O01479	0
"multicellular organism development"	GO:0007275	2	Q9QZ03	0
"multicellular organism development"	GO:0007275	2	Q9N2M8	0
"multicellular organism development"	GO:0007275	2	Q20591	0
"multicellular organism development"	GO:0007275	2	Q9R0Q3	0
"RNA splicing, via transesterification reactions"	GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380	3	Q9V3B6	0
"RNA splicing, via transesterification reactions"	GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380	3	O97018	0
"RNA splicing, via transesterification reactions"	GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380	3	P62312	0
"RNA splicing, via transesterification reactions"	GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380	3	Q9UK45	0
"RNA splicing, via transesterification reactions"	GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380	3	Q9D554	0
"RNA splicing, via transesterification reactions"	GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380	3	Q7RTV0	0
"RNA splicing, via transesterification reactions"	GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380	3	Q32PE9	0
"RNA splicing, via transesterification reactions"	GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380	3	P52434	0
"RNA splicing, via transesterification reactions"	GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380	3	O60506	0
"RNA splicing, via transesterification reactions"	GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380	3	Q05856	0
"RNA splicing, via transesterification reactions"	GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380	3	Q9VHS8	0
"RNA splicing, via transesterification reactions"	GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380	3	P57784	0
"RNA splicing, via transesterification reactions"	GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380	3	Q3T0Z3	0
"RNA splicing, via transesterification reactions"	GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380	3	Q8BTI8	0
"RNA splicing, via transesterification reactions"	GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380	3	Q5RKQ0	0
"RNA splicing, via transesterification reactions"	GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380	3	O60508	0
"RNA splicing, via transesterification reactions"	GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380	3	Q2PFW9	0
