name	term	lev	seq	value
"small molecule catabolic process"	GO:0044282	2	Q9TV69	5.00427537888912
"small molecule catabolic process"	GO:0044282	2	Q9HUI9	2.55765953848074
"small molecule catabolic process"	GO:0044282	2	Q93PS7	3.36438277531323
"small molecule catabolic process"	GO:0044282	2	Q1GV29	0.0460698977054308
"small molecule catabolic process"	GO:0044282	2	Q8PET9	-0.691672143291094
"small molecule catabolic process"	GO:0044282	2	Q0KFM5	1.27002425782682
"small molecule catabolic process"	GO:0044282	2	O35386	-0.356874817526062
"small molecule catabolic process"	GO:0044282	2	O62515	-0.296118667520754
"small molecule catabolic process"	GO:0044282	2	B0T8I8	-1.00107851325582
"small molecule catabolic process"	GO:0044282	2	Q08IC0	2.0572357452387
"small molecule catabolic process"	GO:0044282	2	Q9A7W2	2.42659865595974
"small molecule catabolic process"	GO:0044282	2	Q6G8H7	1.61136611417221
"small molecule catabolic process"	GO:0044282	2	O14975	0.64959344195858
"small molecule catabolic process"	GO:0044282	2	Q8VPF1	2.16493250645837
"small molecule catabolic process"	GO:0044282	2	P54528	2.82961287699881
"small molecule catabolic process"	GO:0044282	2	Q1JUQ0	5.10313745487086
"small molecule catabolic process"	GO:0044282	2	Q2G9T9	3.61163062083503
"small molecule catabolic process"	GO:0044282	2	P51648	1.61136611417221
"small molecule catabolic process"	GO:0044282	2	B2UIZ4	2.62653079868356
"small molecule catabolic process"	GO:0044282	2	Q9KWL3	3.49887783373249
"small molecule catabolic process"	GO:0044282	2	Q6DF30	-5.74989018281474
"small molecule catabolic process"	GO:0044282	2	Q988B7	3.51926295252164
"small molecule catabolic process"	GO:0044282	2	A1JSK7	5.5180020862111
"small molecule catabolic process"	GO:0044282	2	P37079	1.61136611417221
"small molecule catabolic process"	GO:0044282	2	G9F1Y9	4.10373327825652
"small molecule catabolic process"	GO:0044282	2	O87170	-2.25687373097853
"small molecule catabolic process"	GO:0044282	2	B4RGF5	4.84023079307513
"small molecule catabolic process"	GO:0044282	2	Q9UJM8	1.96163266145557
"small molecule catabolic process"	GO:0044282	2	P57093	7.15712744327245
"small molecule catabolic process"	GO:0044282	2	Q48RC3	1.37278358288305
"small molecule catabolic process"	GO:0044282	2	P11444	4.68830799622454
"small molecule catabolic process"	GO:0044282	2	Q9I492	5.09254863728312
"small molecule catabolic process"	GO:0044282	2	Q1JUP5	2.54971680747468
"small molecule catabolic process"	GO:0044282	2	B6V6V6	1.95642738860696
