name	term	lev	seq	value
"regulation of cell population proliferation"	GO:0042127;GO:0008284	2	P37040	0.785007526310967
"regulation of cell population proliferation"	GO:0042127;GO:0008284	2	P16435	0.842571540236905
"regulation of cell population proliferation"	GO:0042127;GO:0008284	2	Q8VHQ3	0.89675582606071
"regulation of cell population proliferation"	GO:0042127;GO:0008284	2	Q5RCB7	0.0619568340172974
"regulation of cell population proliferation"	GO:0042127;GO:0008284	2	Q6R327	0.696450653729247
"regulation of cell population proliferation"	GO:0042127;GO:0008284	2	Q96T49	0.970408444467926
"regulation of cell population proliferation"	GO:0042127;GO:0008284	2	Q8C8M1	0.793725979957716
"regulation of cell population proliferation"	GO:0042127;GO:0008284	2	Q24740	0.535707453756376
"programmed cell death"	GO:0006915;GO:0012501;GO:0008219	3	Q5RC35	0.814769625336467
"programmed cell death"	GO:0006915;GO:0012501;GO:0008219	3	Q8C120	0.399374527529128
"programmed cell death"	GO:0006915;GO:0012501;GO:0008219	3	Q6P3P1	0.52593835156233
"programmed cell death"	GO:0006915;GO:0012501;GO:0008219	3	Q4R504	0.96505750659671
"programmed cell death"	GO:0006915;GO:0012501;GO:0008219	3	Q8TEJ3	0.785007526310967
"programmed cell death"	GO:0006915;GO:0012501;GO:0008219	3	A4QNE6	0.842571540236905
"programmed cell death"	GO:0006915;GO:0012501;GO:0008219	3	Q3T7C9	0.357908513461971
"programmed cell death"	GO:0006915;GO:0012501;GO:0008219	3	Q5R7B1	0.87795655111482
"programmed cell death"	GO:0006915;GO:0012501;GO:0008219	3	Q5ZKJ0	0.776259169195479
"programmed cell death"	GO:0006915;GO:0012501;GO:0008219	3	Q6DHU1	0.785007526310967
"programmed cell death"	GO:0006915;GO:0012501;GO:0008219	3	Q8BXA5	0.970408444467926
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	E1BLZ4	0.472986275437016
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	P20350	0.846922617809671
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	Q62261	0.842571540236905
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	Q62868	0.970408444467926
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	P45594	0.721882683866981
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	P54359	0.69451466549901
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	P53501	0.000493005620348363
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	O95235	0.809962872812489
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	Q80U87	0.0690986216376455
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	P23528	0.672019126990263
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	Q6DKK2	0.384908402539185
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	P62747	0.609243491100684
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	O00909	0.638031413549594
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	P40423	0.446762069737694
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	Q99323	0.371613789082692
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	P09851	0.00266009575703073
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	P02572	0.33227918260776
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	P40818	0.682979502162079
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	O01971	0.897292720028001
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	Q12955	0.0589134050919555
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	Q5ZK92	0.658244378696003
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	Q61315	0.583204679644916
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	P48608	0.916504472038309
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	P27133	0.482385697777906
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	B2RYN7	0.617347954022985
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	P48148	0.304758085502607
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	Q91ZR2	0.653582759062304
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	Q14141	0.488223090775097
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	P40797	0.238572860068669
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	M3TYT0	0.373054631334171
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	P50904	0.680201893649971
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	A8WVU9	0.656830071362724
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	O70511	0.145157125191667
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	Q9H8V3	0.842571540236905
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	P25843	0.33668920756945
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	A1Z7T0	0.658244378696003
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	O55131	0.385814283203709
"cytoskeleton-dependent cytokinesis"	GO:0000281;GO:0061640;GO:0000910	4	P84185	0.559985409588624
"cellular response to stress"	GO:0006974;GO:0033554;GO:0051716	2	P29496	0.025924759045734
"cellular response to stress"	GO:0006974;GO:0033554;GO:0051716	2	Q2VPA6	0.771513438456789
"cellular response to stress"	GO:0006974;GO:0033554;GO:0051716	2	Q9JIL9	0.764157687240213
