name	term	lev	seq	value
"pathogenesis"	GO:0009405	2	Q50LG2	0.0961752494594445
"pathogenesis"	GO:0009405	2	Q5ZXH9	0.412741006972235
"pathogenesis"	GO:0009405	2	Q7MX71	0.2131758999682
"pathogenesis"	GO:0009405	2	A0A144KPJ6	0.606826465211312
"pathogenesis"	GO:0009405	2	Q6Q886	0.446133240331787
"pathogenesis"	GO:0009405	2	A0A384JQF5	0.519386579234956
"pathogenesis"	GO:0009405	2	A6SSW9	0.16004086727892
"pathogenesis"	GO:0009405	2	Q9P2C4	0.0905376185645434
"pathogenesis"	GO:0009405	2	Q8YDZ1	0.991616608415486
"pathogenesis"	GO:0009405	2	Q4UK99	0.71468613029941
"cellular amino acid biosynthetic process"	GO:0008652	3	Q2GAI1	0.704557441094831
"cellular amino acid biosynthetic process"	GO:0008652	3	Q44004	0.958335382177409
"cellular amino acid biosynthetic process"	GO:0008652	3	Q2G9L9	0.180687263946914
"cellular amino acid biosynthetic process"	GO:0008652	3	P30526	0.798561566150744
"cellular amino acid biosynthetic process"	GO:0008652	3	Q9RH05	0.358838833857701
"cellular amino acid biosynthetic process"	GO:0008652	3	P26922	0.878367407357213
"cellular amino acid biosynthetic process"	GO:0008652	3	Q8NS80	0.760209590640802
"cellular amino acid biosynthetic process"	GO:0008652	3	C4XLR8	0.425297811989501
"cellular amino acid biosynthetic process"	GO:0008652	3	Q6A8L5	0.904579678004925
"cellular amino acid biosynthetic process"	GO:0008652	3	A5VBA0	0.318248317718282
"cellular amino acid biosynthetic process"	GO:0008652	3	A1R5S0	0.239250572479966
"cellular amino acid biosynthetic process"	GO:0008652	3	Q21SE7	0.606826465211312
"cellular amino acid biosynthetic process"	GO:0008652	3	Q2G6R1	0.318248317718282
"cellular amino acid biosynthetic process"	GO:0008652	3	P95646	0.495861902206839
"cellular amino acid biosynthetic process"	GO:0008652	3	Q1LIA5	0.606826465211312
"cellular amino acid biosynthetic process"	GO:0008652	3	P00901	0.798561566150744
"cellular amino acid biosynthetic process"	GO:0008652	3	Q7WDY4	0.318248317718282
