name	term	lev	seq	value
"positive regulation of protein phosphorylation"	GO:0032147;GO:0045860;GO:0001934;GO:0033674;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0031325;GO:0051247;GO:0010562;GO:0009893;GO:0010604;GO:0051173;GO:0051347;GO:0043085;GO:0044093	5	P45985	0.609512054668951
"positive regulation of protein phosphorylation"	GO:0032147;GO:0045860;GO:0001934;GO:0033674;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0031325;GO:0051247;GO:0010562;GO:0009893;GO:0010604;GO:0051173;GO:0051347;GO:0043085;GO:0044093	5	P00442	0
"positive regulation of protein phosphorylation"	GO:0032147;GO:0045860;GO:0001934;GO:0033674;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0031325;GO:0051247;GO:0010562;GO:0009893;GO:0010604;GO:0051173;GO:0051347;GO:0043085;GO:0044093	5	P46734	0
"positive regulation of protein phosphorylation"	GO:0032147;GO:0045860;GO:0001934;GO:0033674;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0031325;GO:0051247;GO:0010562;GO:0009893;GO:0010604;GO:0051173;GO:0051347;GO:0043085;GO:0044093	5	P53767	0
"positive regulation of protein phosphorylation"	GO:0032147;GO:0045860;GO:0001934;GO:0033674;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0031325;GO:0051247;GO:0010562;GO:0009893;GO:0010604;GO:0051173;GO:0051347;GO:0043085;GO:0044093	5	P08228	0.479800107742477
"positive regulation of protein phosphorylation"	GO:0032147;GO:0045860;GO:0001934;GO:0033674;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0031325;GO:0051247;GO:0010562;GO:0009893;GO:0010604;GO:0051173;GO:0051347;GO:0043085;GO:0044093	5	Q4R562	0.9187685939738
"cellular macromolecule catabolic process"	GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361	6	P29341	0.944290423996919
"cellular macromolecule catabolic process"	GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361	6	Q08473	0.898974299883017
"cellular macromolecule catabolic process"	GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361	6	P46778	0.936930128911418
"cellular macromolecule catabolic process"	GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361	6	P23128	0.772467009500541
"cellular macromolecule catabolic process"	GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361	6	Q5E9B8	0.985495641379456
"cellular macromolecule catabolic process"	GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361	6	Q0VC92	0.925746221114021
