name	term	lev	seq	value
"DNA recombination"	GO:0000725;GO:0006281;GO:0006310;GO:0000724;GO:0006302	3	Q6BKC2	2.43859647523041
"DNA recombination"	GO:0000725;GO:0006281;GO:0006310;GO:0000724;GO:0006302	3	Q62724	3.14709430974503
"DNA recombination"	GO:0000725;GO:0006281;GO:0006310;GO:0000724;GO:0006302	3	P30666	0.630235151561954
"DNA recombination"	GO:0000725;GO:0006281;GO:0006310;GO:0000724;GO:0006302	3	Q502K2	3.26954267917163
"DNA recombination"	GO:0000725;GO:0006281;GO:0006310;GO:0000724;GO:0006302	3	P49717	2.08308695909207
"DNA recombination"	GO:0000725;GO:0006281;GO:0006310;GO:0000724;GO:0006302	3	Q9FT73	2.58518285801657
"DNA recombination"	GO:0000725;GO:0006281;GO:0006310;GO:0000724;GO:0006302	3	Q9QXE2	0.330304657659497
"DNA recombination"	GO:0000725;GO:0006281;GO:0006310;GO:0000724;GO:0006302	3	O75001	1.25110380684766
"DNA recombination"	GO:0000725;GO:0006281;GO:0006310;GO:0000724;GO:0006302	3	P0CN80	3.34891127916854
"DNA recombination"	GO:0000725;GO:0006281;GO:0006310;GO:0000724;GO:0006302	3	Q6AYJ1	2.48368087923812
"DNA recombination"	GO:0000725;GO:0006281;GO:0006310;GO:0000724;GO:0006302	3	O13762	0.666691531311707
"DNA recombination"	GO:0000725;GO:0006281;GO:0006310;GO:0000724;GO:0006302	3	O75417	2.91730684429274
"DNA recombination"	GO:0000725;GO:0006281;GO:0006310;GO:0000724;GO:0006302	3	Q9SL02	-0.621991986959958
"organelle fission"	GO:0048285	3	Q07DZ7	0.0435757624558187
"organelle fission"	GO:0048285	3	Q969V5	1.06055697403768
"organelle fission"	GO:0048285	3	Q9URZ5	1.39100122159055
"organelle fission"	GO:0048285	3	Q6NPL9	0.806965698519519
"organelle fission"	GO:0048285	3	Q7SXN5	0.766725107157967
"homeostatic process"	GO:0042592	2	Q8VI23	2.66268057277787
"homeostatic process"	GO:0042592	2	Q9Y485	2.73954848728258
"homeostatic process"	GO:0042592	2	Q8NI36	1.25511150257494
"homeostatic process"	GO:0042592	2	Q6NY74	1.52453980246949
"homeostatic process"	GO:0042592	2	Q9SL02	-0.621991986959958
"homeostatic process"	GO:0042592	2	Q657W3	1.88570393753925
"signal transduction"	GO:0000165;GO:0035556;GO:0007165	5	P42525	1.85791122458729
"signal transduction"	GO:0000165;GO:0035556;GO:0007165	5	Q99956	-1.25405045455985
"signal transduction"	GO:0000165;GO:0035556;GO:0007165	5	Q5SGD2	3.09440982252125
"signal transduction"	GO:0000165;GO:0035556;GO:0007165	5	P28072	0.529782739025269
"signal transduction"	GO:0000165;GO:0035556;GO:0007165	5	O00233	1.71064389882677
