name	term	lev	seq	value
"anatomical structure homeostasis"	GO:0000723;GO:0032200;GO:0060249	6	Q8VEE4	-0.0447091842328132
"anatomical structure homeostasis"	GO:0000723;GO:0032200;GO:0060249	6	Q6P9I7	0.134561046444541
"anatomical structure homeostasis"	GO:0000723;GO:0032200;GO:0060249	6	Q16X92	0.431151889053582
"anatomical structure homeostasis"	GO:0000723;GO:0032200;GO:0060249	6	Q0P9V4	-0.302017359276312
"anatomical structure homeostasis"	GO:0000723;GO:0032200;GO:0060249	6	Q5RC43	-0.478009102870742
"anatomical structure homeostasis"	GO:0000723;GO:0032200;GO:0060249	6	P23475	4.28731604055269
"anatomical structure homeostasis"	GO:0000723;GO:0032200;GO:0060249	6	O35923	-1.96080891542633
"anatomical structure homeostasis"	GO:0000723;GO:0032200;GO:0060249	6	P97789	-2.22677858628145
"anatomical structure homeostasis"	GO:0000723;GO:0032200;GO:0060249	6	Q9Y6F1	2.52184089608155
"anatomical structure homeostasis"	GO:0000723;GO:0032200;GO:0060249	6	Q8C7W7	-0.401706521440868
"anatomical structure homeostasis"	GO:0000723;GO:0032200;GO:0060249	6	Q8CG46	3.42220249919349
"anatomical structure homeostasis"	GO:0000723;GO:0032200;GO:0060249	6	Q5RCV3	-0.985627828999499
"anatomical structure homeostasis"	GO:0000723;GO:0032200;GO:0060249	6	Q61696	-1.50976947850092
"anatomical structure homeostasis"	GO:0000723;GO:0032200;GO:0060249	6	Q38CE9	0.157919049505302
"anatomical structure homeostasis"	GO:0000723;GO:0032200;GO:0060249	6	P13010	-0.748028967166429
"anatomical structure homeostasis"	GO:0000723;GO:0032200;GO:0060249	6	Q8QGX4	0.318616494346329
"anatomical structure homeostasis"	GO:0000723;GO:0032200;GO:0060249	6	P49005	-0.907723325211194
"anatomical structure homeostasis"	GO:0000723;GO:0032200;GO:0060249	6	P11103	-1.3388468854073
"anatomical structure homeostasis"	GO:0000723;GO:0032200;GO:0060249	6	Q8IY18	-0.528877437409563
"anatomical structure homeostasis"	GO:0000723;GO:0032200;GO:0060249	6	Q19546	-2.21172803135807
"anatomical structure homeostasis"	GO:0000723;GO:0032200;GO:0060249	6	Q62773	-2.24988933194606
"anatomical structure homeostasis"	GO:0000723;GO:0032200;GO:0060249	6	O88627	-1.13392326996055
"osteoblast differentiation"	GO:0001649	2	O94874	-0.447579245224752
"osteoblast differentiation"	GO:0001649	2	Q91WL8	-0.954114386597127
"osteoblast differentiation"	GO:0001649	2	P31750	-0.928200057611953
"osteoblast differentiation"	GO:0001649	2	P18406	-2.02472702129328
"osteoblast differentiation"	GO:0001649	2	O54775	-0.293260818884942
"osteoblast differentiation"	GO:0001649	2	Q9NR30	-1.43308065190613
"osteoblast differentiation"	GO:0001649	2	O75165	-0.218231164666631
"osteoblast differentiation"	GO:0001649	2	A5A6L1	-0.404855763684872
"osteoblast differentiation"	GO:0001649	2	Q99PP0	-0.291720930077297
"osteoblast differentiation"	GO:0001649	2	P49327	0.239420003911638
"osteoblast differentiation"	GO:0001649	2	Q9ES72	1.48260019052884
"osteoblast differentiation"	GO:0001649	2	Q9HBH5	-0.278070586795769
"osteoblast differentiation"	GO:0001649	2	Q7KZF4	-1.22156445796571
"osteoblast differentiation"	GO:0001649	2	P19336	-0.0705737562408485
"osteoblast differentiation"	GO:0001649	2	P55265	-0.688328080980499
"osteoblast differentiation"	GO:0001649	2	P63245	0.00711838595402186
"osteoblast differentiation"	GO:0001649	2	F1MLX5	1.90818110631252
"response to inorganic substance"	GO:0010035	3	P04179	-0.15741172874155
