name	term	lev	seq	value
"anatomical structure morphogenesis"	GO:0009653	2	Q68CP9	0.719862620499287
"anatomical structure morphogenesis"	GO:0009653	2	P79136	0.523067550672934
"anatomical structure morphogenesis"	GO:0009653	2	A4II29	0.687485941175493
"anatomical structure morphogenesis"	GO:0009653	2	P33450	0.283556183097123
"anatomical structure morphogenesis"	GO:0009653	2	M9MRI4	0.516728980293904
"anatomical structure morphogenesis"	GO:0009653	2	E7F9L8	0.592810577499547
"anatomical structure morphogenesis"	GO:0009653	2	Q8N584	0.32332513099199
"anatomical structure morphogenesis"	GO:0009653	2	P55160	0.183162975534405
"anatomical structure morphogenesis"	GO:0009653	2	A4QPB2	0.719862620499287
"anatomical structure morphogenesis"	GO:0009653	2	P17336	0.702685157633893
"anatomical structure morphogenesis"	GO:0009653	2	P56705	0.719862620499287
"anatomical structure morphogenesis"	GO:0009653	2	Q8N3R9	0.421165425928698
"anatomical structure morphogenesis"	GO:0009653	2	Q9CYT6	0.748187179079771
"anatomical structure morphogenesis"	GO:0009653	2	Q9NYQ6	0.983749253074856
"anatomical structure morphogenesis"	GO:0009653	2	Q91048	0.702685157633893
"anatomical structure morphogenesis"	GO:0009653	2	Q06890	0.782199419567916
"anatomical structure morphogenesis"	GO:0009653	2	Q9NHV9	0.289007264033043
"anatomical structure morphogenesis"	GO:0009653	2	Q62217	0.702685157633893
"anatomical structure morphogenesis"	GO:0009653	2	Q64727	0.719862620499287
"anatomical structure morphogenesis"	GO:0009653	2	Q15814	0.135862911748236
"anatomical structure morphogenesis"	GO:0009653	2	Q3SWY2	0.321062850188132
"anatomical structure morphogenesis"	GO:0009653	2	P11046	0.395083712379415
"anatomical structure morphogenesis"	GO:0009653	2	P10909	0.773626567361505
"anatomical structure morphogenesis"	GO:0009653	2	O35245	0.649574867540392
"anatomical structure morphogenesis"	GO:0009653	2	Q8VE09	0.748187179079771
"anatomical structure morphogenesis"	GO:0009653	2	Q8NEZ3	0.0985983233330371
"anatomical structure morphogenesis"	GO:0009653	2	Q13796	0.686720267967945
"anatomical structure morphogenesis"	GO:0009653	2	P60882	0.980663156026416
"anatomical structure morphogenesis"	GO:0009653	2	Q91VN0	0.900165260940399
"anatomical structure morphogenesis"	GO:0009653	2	P07207	0.802453250920323
"anatomical structure morphogenesis"	GO:0009653	2	Q8IQG1	0.700177445777842
"anatomical structure morphogenesis"	GO:0009653	2	Q9Y5P4	0.932351219271406
"anatomical structure morphogenesis"	GO:0009653	2	Q15678	0.844556268207531
"anatomical structure morphogenesis"	GO:0009653	2	Q5SQX6	0.51054206534091
"anatomical structure morphogenesis"	GO:0009653	2	O93574	0.813652853471456
"anatomical structure morphogenesis"	GO:0009653	2	A7YE96	0.635058651195703
"anatomical structure morphogenesis"	GO:0009653	2	Q9C0K7	0.889856862453917
"anatomical structure morphogenesis"	GO:0009653	2	E7FCN8	0.769882667541309
"anatomical structure morphogenesis"	GO:0009653	2	Q969X0	0.999312600173087
"anatomical structure morphogenesis"	GO:0009653	2	P58751	0.718997984350604
