name	term	lev	seq	value
"reproductive process"	GO:0022414	1	Q19967	-6.37774489949092
"reproductive process"	GO:0022414	1	Q96EP5	-4.28667559639955
"reproductive process"	GO:0022414	1	Q62865	-5.5310537180156
"reproductive process"	GO:0022414	1	Q95JX4	-5.59546595324732
"reproductive process"	GO:0022414	1	Q960Z0	-2.84895397953849
"reproductive process"	GO:0022414	1	Q2R2B4	-4.94909502172486
"reproductive process"	GO:0022414	1	Q07DZ7	-5.47691306003069
"reproductive process"	GO:0022414	1	Q3URY6	-4.70181507888338
"response to chemical"	GO:0042221	2	Q9ERU9	-1.98472387262817
"response to chemical"	GO:0042221	2	P0C0L0	-2.33087019737063
"response to chemical"	GO:0042221	2	P35700	-4.46453825320924
"response to chemical"	GO:0042221	2	O14717	-1.23584779792933
"response to chemical"	GO:0042221	2	Q9LKW9	-1.25141114632977
"response to chemical"	GO:0042221	2	Q4G073	-3.68274666048106
"response to chemical"	GO:0042221	2	O55055	-3.14049605500958
"regulation of protein kinase activity"	GO:0045859;GO:0043549;GO:0051338;GO:0065009;GO:0050790;GO:0071900	6	Q63184	-2.68223186509301
"regulation of protein kinase activity"	GO:0045859;GO:0043549;GO:0051338;GO:0065009;GO:0050790;GO:0071900	6	Q99ME9	-7.46083272919594
"regulation of protein kinase activity"	GO:0045859;GO:0043549;GO:0051338;GO:0065009;GO:0050790;GO:0071900	6	Q16644	-2.53847528730293
"regulation of protein kinase activity"	GO:0045859;GO:0043549;GO:0051338;GO:0065009;GO:0050790;GO:0071900	6	O80513	-2.83190906198242
"regulation of protein kinase activity"	GO:0045859;GO:0043549;GO:0051338;GO:0065009;GO:0050790;GO:0071900	6	Q99572	-3.59475058604658
"regulation of protein kinase activity"	GO:0045859;GO:0043549;GO:0051338;GO:0065009;GO:0050790;GO:0071900	6	Q9UII4	-4.93440223176719
"regulation of protein kinase activity"	GO:0045859;GO:0043549;GO:0051338;GO:0065009;GO:0050790;GO:0071900	6	Q9ZR37	-2.76349421032586
"regulation of protein kinase activity"	GO:0045859;GO:0043549;GO:0051338;GO:0065009;GO:0050790;GO:0071900	6	P05987	-4.6580342963825
"hematopoietic progenitor cell differentiation"	GO:0002244	3	F2Z461	-1.26430942086737
"hematopoietic progenitor cell differentiation"	GO:0002244	3	E9PYY5	-4.66018800372606
"hematopoietic progenitor cell differentiation"	GO:0002244	3	P57103	-2.85002933214937
"hematopoietic progenitor cell differentiation"	GO:0002244	3	Q3TFK5	-3.21934579985127
"hematopoietic progenitor cell differentiation"	GO:0002244	3	Q5U315	-7.38224864352574
"hematopoietic progenitor cell differentiation"	GO:0002244	3	Q9ERH3	-5.70935589301701
"organelle fission"	GO:0048285	5	Q6NPL9	-5.01011744429516
"organelle fission"	GO:0048285	5	Q9URZ5	-5.20792051109743
"organelle fission"	GO:0048285	5	Q969V5	-4.18156118368042
"organelle fission"	GO:0048285	5	Q7SXN5	-5.20203080153004
"organelle fission"	GO:0048285	5	Q07DZ7	-5.47691306003069
"regulation of gene expression"	GO:0010468	2	Q24491	-5.40490252186438
"regulation of gene expression"	GO:0010468	2	Q9C718	-5.08418333906961
"regulation of gene expression"	GO:0010468	2	Q9HGI7	-4.77020656961239
"regulation of gene expression"	GO:0010468	2	O94400	-7.45398926549698
"regulation of gene expression"	GO:0010468	2	Q6DE08	-4.09583925522279
"regulation of gene expression"	GO:0010468	2	P30771	-4.30868793443386
"regulation of gene expression"	GO:0010468	2	P07260	-2.24621169803662
"regulation of gene expression"	GO:0010468	2	F4IUX6	-3.71545205050656
"regulation of gene expression"	GO:0010468	2	Q08752	-2.59594110406122
"regulation of gene expression"	GO:0010468	2	Q5VQL1	-2.17862898938736
"regulation of gene expression"	GO:0010468	2	Q498K9	-3.01747953203601
"regulation of gene expression"	GO:0010468	2	Q9FJR0	-4.75301634922991
"regulation of gene expression"	GO:0010468	2	O75175	-5.38620550534159
"regulation of gene expression"	GO:0010468	2	Q6ZQ08	-1.60275496473542
"regulation of gene expression"	GO:0010468	2	Q8W4R3	-3.25668877655412
"regulation of gene expression"	GO:0010468	2	Q4PC17	-3.92890619090349
"regulation of gene expression"	GO:0010468	2	Q18409	-5.84392015572115
"regulation of gene expression"	GO:0010468	2	Q6DGG0	-2.80055090532377
"regulation of gene expression"	GO:0010468	2	Q9JKN6	-2.40505976136606
"regulation of gene expression"	GO:0010468	2	Q5QMN3	-5.98044636958074
"regulation of gene expression"	GO:0010468	2	P49756	-4.50989894850408
"regulation of gene expression"	GO:0010468	2	P14099	-1.25141114632977
"regulation of gene expression"	GO:0010468	2	B7FAL5	-6.10653515965808
"regulation of gene expression"	GO:0010468	2	Q5JKF2	-5.49969334223005
"regulation of gene expression"	GO:0010468	2	O65001	-2.65636464313701
"regulation of gene expression"	GO:0010468	2	Q59LU0	-5.3225008917824
"regulation of gene expression"	GO:0010468	2	Q54I89	-3.62008640823066
"regulation of gene expression"	GO:0010468	2	Q04637	-4.00880902906909
"regulation of gene expression"	GO:0010468	2	Q54BK0	-2.70245458817751
"regulation of gene expression"	GO:0010468	2	O95628	-4.5048139684128
"regulation of gene expression"	GO:0010468	2	Q99020	-4.37039837467882
"regulation of gene expression"	GO:0010468	2	Q9SEE9	-5.17249709952758
"regulation of gene expression"	GO:0010468	2	Q0DA50	-3.94445977157035
"regulation of gene expression"	GO:0010468	2	P43332	-5.6358618417599
"regulation of gene expression"	GO:0010468	2	P35251	-4.90558269307805
"regulation of gene expression"	GO:0010468	2	Q54P04	-7.73880573920845
"regulation of gene expression"	GO:0010468	2	P34117	-5.25854321450269
"regulation of gene expression"	GO:0010468	2	O48713	-5.1229136747539
"regulation of gene expression"	GO:0010468	2	A5YKK6	-2.26417766467061
"regulation of gene expression"	GO:0010468	2	Q1JQE0	-6.59431774375876
"regulation of gene expression"	GO:0010468	2	Q9LU44	-3.96140254646009
"regulation of gene expression"	GO:0010468	2	Q98TR3	-1.87863058807373
"regulation of gene expression"	GO:0010468	2	Q9LHP2	-4.15536445105039
"regulation of gene expression"	GO:0010468	2	Q0JGS5	-4.95418592807511
"regulation of gene expression"	GO:0010468	2	Q9HEH1	-3.62175840326517
"regulation of gene expression"	GO:0010468	2	Q7SBC6	-5.5560504813863
"regulation of gene expression"	GO:0010468	2	Q6A098	-4.00463245502189
"regulation of gene expression"	GO:0010468	2	Q9Y4C8	-4.58394836452876
"regulation of gene expression"	GO:0010468	2	Q9VYS3	-6.6740442130708
"regulation of gene expression"	GO:0010468	2	Q9BYK8	-2.18592072457314
"regulation of gene expression"	GO:0010468	2	Q6FLF3	-4.58883111245392
"regulation of gene expression"	GO:0010468	2	Q8K0V4	-6.29170538240803
"regulation of gene expression"	GO:0010468	2	Q9NX58	-3.16260519602556
"regulation of gene expression"	GO:0010468	2	Q9P7I2	-1.61918719368056
"spliceosomal tri-snRNP complex assembly"	GO:0000244	2	O35900	-6.04096506107007
"spliceosomal tri-snRNP complex assembly"	GO:0000244	2	Q5ZJ85	-6.9740996692268
"spliceosomal tri-snRNP complex assembly"	GO:0000244	2	P35123	-5.58113150416483
"spliceosomal tri-snRNP complex assembly"	GO:0000244	2	Q6P2Q9	-5.14858985892678
"spliceosomal tri-snRNP complex assembly"	GO:0000244	2	Q9ZT71	-6.7207722069264
"spliceosomal tri-snRNP complex assembly"	GO:0000244	2	Q99PV0	-4.19294945277883
"spliceosomal tri-snRNP complex assembly"	GO:0000244	2	Q2KJJ0	-3.94007656775303
"spliceosomal tri-snRNP complex assembly"	GO:0000244	2	Q5U5C5	-5.45805472010118
