"kMEblack"	"kMEblue"	"kMEbrown"	"kMEcyan"	"kMEpurple"	"kMEred"	"kMEsalmon"	"kMEyellow"
"TRINITY_DN88421_c0_g1_i1"	-0.328382636651325	-0.621321160672004	0.280342051655585	-0.173354279576391	-0.387421293913685	0.44976933626383	-0.369670867514651	0.942936631627088
"TRINITY_DN88418_c0_g1_i5"	-0.338572141465878	-0.599239898569671	0.231236660947049	-0.197456745914046	-0.342379727632257	0.407217162617435	-0.346901953929027	0.948371553937841
"TRINITY_DN88415_c0_g1_i2"	-0.427685297354964	-0.741381005376968	0.479745644062462	0.0385961603271693	-0.165030008179914	0.340607226322048	-0.414518919981297	0.870286219940392
"TRINITY_DN88474_c0_g1_i2"	0.88624183536166	0.918702126466497	-0.640371958314433	-0.222289669707	0.165417047042486	-0.444050637571957	0.26551268561206	-0.559913784324756
"TRINITY_DN88425_c0_g1_i2"	-0.582731706166389	-0.834397652443438	0.890543792886967	0.0636219127623557	-0.404105632379472	0.164770418307616	-0.420509478163546	0.752990501491337
"TRINITY_DN88476_c0_g2_i1"	-0.536226986456896	-0.608771016633685	0.889281487154549	0.268837232072673	-0.217790786539951	0.0610787115386719	-0.214735576015297	0.34855298387321
"TRINITY_DN88409_c0_g1_i3"	-0.0386841322495999	0.332259442604487	-0.152060790802709	-0.00833951115896152	-0.14318140751255	-0.266163900810723	0.596793625359294	-0.385232466484275
"TRINITY_DN21442_c0_g2_i1"	-0.339361176334309	-0.683439459454041	0.343421680902731	-0.0733268276088696	-0.24412004447998	0.442281528955467	-0.492484405761808	0.933409234395902
"TRINITY_DN21452_c2_g1_i8"	0.354540229221526	0.749912520362275	-0.426844563283581	0.223663315661543	0.430641087580857	-0.670582039823519	0.327100938735585	-0.540238992533831
"TRINITY_DN21434_c5_g1_i3"	0.578718462171335	0.914620770156259	-0.508724828648438	0.0690483103232237	0.33800905507779	-0.672438374559484	0.271319289276711	-0.674593907155615
"TRINITY_DN21454_c1_g1_i2"	0.772850344542717	0.673987092825308	-0.481703478442668	0.125690488897021	0.512954207548693	-0.457341225653519	0.371538857334082	-0.39437808615968
"TRINITY_DN21443_c0_g1_i2"	-0.62991307712077	-0.86410059243658	0.716395806197799	-0.0498404162415448	-0.407663489068352	0.34156660696189	-0.405159286508648	0.872563085215204
"TRINITY_DN21491_c1_g1_i1"	-0.448505023769566	-0.634187544254519	0.765406016361748	0.234959410651687	-0.194189904143838	0.0685650416290894	-0.166412619987356	0.305103990737861
"TRINITY_DN21406_c11_g1_i1"	0.555003090643172	0.934218185883855	-0.620574958085677	-0.00741764477046615	0.317178845664876	-0.610608775278868	0.255347178472516	-0.703867097648524
"TRINITY_DN21425_c2_g3_i2"	-0.47218529708195	-0.523965462215626	0.851008787620947	0.156019126289893	-0.307408540109824	-0.0102012779963861	-0.315700227566384	0.425234583380823
"TRINITY_DN21430_c0_g1_i1"	-0.229167429139451	-0.608988852022161	0.301381021950294	-0.184630915292067	-0.318730527100822	0.405077231178608	-0.391098716760775	0.925102435869384
"TRINITY_DN21410_c0_g1_i21"	-0.446564561352862	-0.531879767721763	0.765182959235647	0.333685661268011	-0.178651025391838	0.0685919200109421	-0.182457548520458	0.322715983916272
"TRINITY_DN21460_c0_g1_i36"	-0.370854657904489	-0.601804783532161	0.31757252644734	-0.0846119420986223	-0.325929935202681	0.418655170497511	-0.338351376261523	0.91341631077306
"TRINITY_DN21460_c0_g1_i38"	-0.525879683009941	-0.789330322514999	0.568923551255031	-0.10292615197822	-0.39806269609384	0.38391346624196	-0.39842995492448	0.971243951868779
"TRINITY_DN5656_c11_g1_i8"	0.339752200031076	0.806746000110953	-0.47060316684805	-0.042862376168436	0.158088529903776	-0.581513240381548	0.408399712434972	-0.674163825581548
"TRINITY_DN5644_c12_g1_i16"	0.660392837933148	0.943694257652229	-0.699380649441977	0.0267993585187385	0.408708557082284	-0.519323527540211	0.423627235150413	-0.780460537849031
"TRINITY_DN5644_c14_g1_i3"	0.600018116933415	0.8084308179532	-0.73286001479223	0.0891469151195905	0.464885489412823	-0.2730722215673	0.120110214411769	-0.623506052557886
"TRINITY_DN5644_c0_g1_i9"	0.60977355300654	0.923866666983018	-0.715947223166317	0.00777663825665145	0.377680677383201	-0.560151699419277	0.40989960052617	-0.763576803414878
"TRINITY_DN5644_c7_g1_i1"	0.774715177613497	0.897786299882463	-0.685570529983628	-0.0889397346109227	0.304232453927797	-0.491361506623835	0.235361727511177	-0.575486513664225
"TRINITY_DN5644_c10_g1_i4"	-0.485822853583662	-0.746686652423936	0.760443777201913	-0.0770392037267045	-0.475389631761871	0.138221260159606	-0.445341125674115	0.824354349467738
