name	term	lev	seq	value
"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	GO:0000463	4	Q9LYK7	-3.80324566430958
"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	GO:0000463	4	O74978	-3.26838999887148
"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	GO:0000463	4	Q09916	-5.71077002537875
"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	GO:0000463	4	A8IR43	-2.17665917650614
"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	GO:0000463	4	Q6BTA4	-5.20953027112606
"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	GO:0000463	4	A0JMQ0	-4.57978388470354
"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	GO:0000463	4	A7SWH1	-3.92373716836538
"organonitrogen compound catabolic process"	GO:1901565	2	Q5VST6	-2.9943915280306
"organonitrogen compound catabolic process"	GO:1901565	2	Q76KC2	-3.50028479156879
"organonitrogen compound catabolic process"	GO:1901565	2	Q6AY17	-0.479727640522394
"organonitrogen compound catabolic process"	GO:1901565	2	Q21221	0.278981126681616
"organonitrogen compound catabolic process"	GO:1901565	2	Q7ZVZ7	-4.24197372342649
"regulation of mRNA processing"	GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311	5	Q9SEE9	-3.03802405301722
"regulation of mRNA processing"	GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311	5	P49756	-4.54667571478055
"regulation of mRNA processing"	GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311	5	O48713	-4.89972479594244
"regulation of mRNA processing"	GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311	5	O65001	-1.76197955394962
"regulation of mRNA processing"	GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311	5	Q24491	-5.12009649402062
"regulation of mRNA processing"	GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311	5	Q9Y4C8	-4.13130393416971
"regulation of mRNA processing"	GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311	5	Q9LU44	-2.08785529665369
"regulation of mRNA processing"	GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311	5	Q0JGS5	-2.45224150116344
"regulation of mRNA processing"	GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311	5	P43332	-5.1049278126948
"regulation of mRNA processing"	GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311	5	Q18409	-5.46268401379112
