name	term	lev	seq	value
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q96QB1	0.269558839068704
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q9H2J4	0.873514747712061
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	P09601	0.910164205055749
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q9ER71	0.873514747712061
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q640P2	0.472267623933913
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q7TN31	0.744410867361963
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q8UVK2	0.299051117537389
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q5RB77	0.922694102354696
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q8R1Q3	0.857925931935483
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q8VHI3	0.70918893422337
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q9BUP3	0.660758278880681
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q2T9Q1	0.182471433940989
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q60838	0.873514747712061
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	P21956	0.833771144045391
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q922M3	0.804728190621905
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q9DBC7	0.637539658075697
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q8K2J0	0.939015257570898
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	P79795	0.373044018811026
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q9WTJ5	0.717976691348083
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q3ULM6	0.939015257570898
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q9H3S1	0.873514747712061
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	O15123	0.692918972023918
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q9Y2G5	0.978549882664602
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	O88839	0.472267623933913
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	P48026	0.873514747712061
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	P32921	0.692918972023918
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	A0A2R8QCI3	0.129889339487025
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q80U63	0.692918972023918
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q3UCV8	0.828830726684617
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q8VCC8	0.873514747712061
