name	term	lev	seq	value
"cellular catabolic process"	GO:0044248;GO:0009056	3	P30771	0.359249940111825
"cellular catabolic process"	GO:0044248;GO:0009056	3	Q8K0V4	0.513942814784023
"cellular catabolic process"	GO:0044248;GO:0009056	3	Q54Q05	0.143817595177463
"cellular catabolic process"	GO:0044248;GO:0009056	3	Q9HGI7	0.359249940111825
"cellular catabolic process"	GO:0044248;GO:0009056	3	Q6FLF3	0.694402791739662
"cellular catabolic process"	GO:0044248;GO:0009056	3	A9UMS3	0.694402791739662
"cellular catabolic process"	GO:0044248;GO:0009056	3	Q59LU0	0.900008896529766
"cellular catabolic process"	GO:0044248;GO:0009056	3	Q700X4	0.694402791739662
"cellular catabolic process"	GO:0044248;GO:0009056	3	Q54P04	0.930783675694184
"cellular catabolic process"	GO:0044248;GO:0009056	3	Q2HJ97	0.513942814784023
"cellular catabolic process"	GO:0044248;GO:0009056	3	Q9C718	0.694402791739662
"cellular catabolic process"	GO:0044248;GO:0009056	3	Q54I89	0.513942814784023
"cellular catabolic process"	GO:0044248;GO:0009056	3	Q76KC2	0.694402791739662
"cellular catabolic process"	GO:0044248;GO:0009056	3	Q7SBC6	0.677129176138549
"cellular catabolic process"	GO:0044248;GO:0009056	3	Q9FJR0	0.0768029524777171
"organic substance catabolic process"	GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361;GO:0009057;GO:1901575	4	P30771	0.359249940111825
"organic substance catabolic process"	GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361;GO:0009057;GO:1901575	4	Q8K0V4	0.513942814784023
"organic substance catabolic process"	GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361;GO:0009057;GO:1901575	4	Q9HGI7	0.359249940111825
"organic substance catabolic process"	GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361;GO:0009057;GO:1901575	4	Q6FLF3	0.694402791739662
