"178"	"359"	"463"
"TRINITY_DN21490_c0_g1_i1"	0	3.36989	9.09117
"TRINITY_DN5661_c0_g1_i4"	0	0	1.52842
"TRINITY_DN5661_c0_g4_i3"	0	0.857968	17.5141
"TRINITY_DN5671_c0_g1_i8"	0.21079	2.14517	3.6624
"TRINITY_DN5642_c0_g1_i1"	0	0.859723	10.0198
"TRINITY_DN5642_c0_g1_i3"	0	0.753436	2.47277
"TRINITY_DN12437_c0_g2_i1"	0.364187	1.76191	12.257
"TRINITY_DN12462_c0_g1_i1"	0	1.10068	6.84173
"TRINITY_DN12415_c2_g1_i4"	0	0	0.395328
"TRINITY_DN12405_c0_g2_i3"	0	0.935693	19.4762
"TRINITY_DN4706_c0_g4_i1"	11.6423	18.8506	29.0158
"TRINITY_DN4706_c1_g1_i3"	3.30479	10.815	32.5114
"TRINITY_DN4706_c0_g1_i1"	0	0.464361	3.84529
"TRINITY_DN4706_c0_g1_i2"	0.579591	0.620225	10.4488
"TRINITY_DN4718_c0_g1_i1"	1.15938	4.18867	77.3732
"TRINITY_DN4743_c0_g1_i14"	0.662719	1.74846	5.79226
"TRINITY_DN4714_c0_g1_i17"	2.72878e-05	15.321	132.404
"TRINITY_DN4730_c0_g2_i1"	0	1.07581	7.60378
"TRINITY_DN4744_c0_g1_i12"	0.210945	0.662516	10.6957
"TRINITY_DN4756_c1_g1_i3"	0	0	3.95631
"TRINITY_DN4712_c0_g1_i1"	0.989931	4.95308	7.68316
"TRINITY_DN4712_c0_g3_i3"	0.540952	0.539227	1.78847
"TRINITY_DN4712_c4_g1_i1"	0	0.981981	1.56072
"TRINITY_DN4783_c0_g1_i24"	0	0	7.4584
"TRINITY_DN4767_c0_g1_i1"	0.810001	0.681289	1.0249
"TRINITY_DN28946_c0_g1_i1"	8.71812	17.5043	23.7309
"TRINITY_DN19786_c0_g2_i1"	0	0.99031	4.65415
"TRINITY_DN0_c2_g1_i1"	8.06605	27.7355	52.972
"TRINITY_DN0_c2_g1_i2"	0	1.13707	4.49645
"TRINITY_DN0_c2_g1_i28"	2.66628	0	8.81852
"TRINITY_DN0_c2_g1_i35"	1.0564	6.87557	15.182
"TRINITY_DN0_c2_g1_i37"	0.84842	0.741584	10.2319
"TRINITY_DN0_c2_g1_i4"	3.15773	4.34081	23.6389
"TRINITY_DN0_c5_g3_i2"	0	0	12.7708
"TRINITY_DN0_c138_g1_i1"	0.583095	3.42127	18.332
"TRINITY_DN0_c13_g1_i4"	0.684219	6.15222	14.2374
"TRINITY_DN0_c2_g2_i1"	0.988249	6.12001	17.8815
"TRINITY_DN0_c5_g1_i15"	0.386056	0.685901	1.42971
"TRINITY_DN0_c36_g2_i1"	0.162939	0.533879	4.16834
"TRINITY_DN0_c1_g1_i11"	0	2.27818	5.42151
"TRINITY_DN0_c58_g1_i1"	6.53929	8.43553	11.133
"TRINITY_DN0_c23_g1_i1"	1.07053	7.04049	16.9853
"TRINITY_DN0_c378_g1_i1"	3.90037	14.2836	847.294
"TRINITY_DN0_c57_g1_i1"	1.1549	3.11995	23.6841
"TRINITY_DN0_c57_g1_i2"	0	0	22.7221
