baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN5522_c1_g2_i3	257.833278578552	-26.0456197925524	2.36608252690601	-11.0079084293863	3.5003550757054e-28	3.10426489635308e-24
TRINITY_DN916_c0_g3_i6	28.0838231467054	-22.930500995371	2.86850978316569	-7.99387233397019	1.30765171150722e-15	3.33995166137306e-13
TRINITY_DN12444_c0_g1_i7	10.114296970489	-22.864181139581	3.31719668336059	-6.89262148797813	5.47734783004239e-12	4.66431105543486e-10
TRINITY_DN12217_c0_g1_i37	18.8055753002369	-22.356412969264	3.14767960528154	-7.10250590045817	1.22514798058038e-12	1.27183882084363e-10
TRINITY_DN4881_c0_g1_i15	111.729391765013	-24.8881688458204	3.19691893570249	-7.78504846271663	6.96864902049553e-15	1.40914254900111e-12
TRINITY_DN46598_c1_g1_i2	109.826190389066	-10.5604937470109	2.33053906468632	-4.53135238410271	5.86072830562978e-06	0.000301431775049868
TRINITY_DN6043_c1_g1_i10	11.9300426559748	-21.8307156798505	3.17559695463346	-6.87452343345954	6.21974341018959e-12	5.22483695752584e-10
TRINITY_DN14184_c0_g1_i14	13.0995728757767	-21.5738350976432	3.12527794642752	-6.90301325752612	5.0910876474591e-12	4.37316422500146e-10
TRINITY_DN18998_c0_g1_i4	36.7965271435248	-23.3862045448596	2.6236810079986	-8.91350910174066	4.94423459890762e-19	3.88522961602007e-16
TRINITY_DN15262_c0_g1_i9	9.07393476808239	-21.4939371034891	3.13234308303043	-6.86193578855817	6.79336007960347e-12	5.60059761463086e-10
TRINITY_DN129_c0_g2_i1	18.470013478468	-22.4174960676255	2.71075909628605	-8.26982231594802	1.34158805849344e-16	4.4537136408136e-14
TRINITY_DN2024_c0_g1_i8	40.1532517783749	-23.5131861428243	3.02327570341795	-7.77738732734218	7.40376599077051e-15	1.47787263325094e-12
TRINITY_DN14184_c0_g1_i6	21.6257055468798	-20.111244550656	2.97127152206417	-6.76856504069493	1.30065916612503e-11	1.01309435851789e-09
TRINITY_DN26924_c0_g1_i8	13.9389695060664	-21.4547419410521	3.11990422349099	-6.8767309520308	6.12416149996261e-12	5.15151519994822e-10
TRINITY_DN379_c1_g1_i13	11.6314430837651	-21.8341134479139	3.32425168631615	-6.56812886274263	5.09514400847619e-11	3.27773518033361e-09
TRINITY_DN1631_c0_g1_i1	15.2391521542284	-22.1761546184141	3.13491737848873	-7.07391996056517	1.50617181020608e-12	1.5178837630809e-10
TRINITY_DN37246_c1_g1_i1	29.9728151219061	-23.0890248776131	2.87447995351876	-8.03241812465901	9.55700148722882e-16	2.56835106201592e-13
TRINITY_DN1190_c0_g1_i4	19.5431166753897	-22.4488336179833	3.0426634074307	-7.37802070487305	1.60659988544925e-13	2.17764441678612e-11
TRINITY_DN7822_c1_g1_i1	22.2220592074917	-20.0072434186385	3.15846468100543	-6.33448382024321	2.38137156976141e-10	1.37009421389452e-08
TRINITY_DN3210_c0_g1_i1	16.9763135251233	-22.1325383786392	3.15821649158948	-7.00792312293332	2.41881640387727e-12	2.25462017321767e-10
