"Transcript_ID"	"Accession_ID"
"TRINITY_DN1439_c0_g2_i1"	"Q9DCT2"
"TRINITY_DN31560_c0_g1_i1"	"Q9DCT2"
"TRINITY_DN11319_c0_g1_i1"	"Q9DCT2"
"TRINITY_DN32652_c0_g1_i1"	"Q9DCT2"
"TRINITY_DN39652_c0_g1_i1"	"A9CB25"
"TRINITY_DN5672_c0_g1_i2"	"Q9NBX4"
"TRINITY_DN5672_c0_g1_i5"	"Q9NBX4"
"TRINITY_DN5672_c0_g1_i7"	"Q9NBX4"
"TRINITY_DN0_c0_g1_i32"	"Q9NBX4"
"TRINITY_DN0_c0_g1_i39"	"Q9NBX4"
"TRINITY_DN44_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN44_c0_g1_i10"	"Q9NBX4"
"TRINITY_DN44_c0_g1_i14"	"Q9NBX4"
"TRINITY_DN44_c0_g1_i7"	"Q9NBX4"
"TRINITY_DN44_c0_g1_i9"	"Q9NBX4"
"TRINITY_DN70_c1_g1_i23"	"Q9NBX4"
"TRINITY_DN70_c1_g1_i26"	"Q9NBX4"
"TRINITY_DN11611_c0_g1_i11"	"Q9NBX4"
"TRINITY_DN11611_c0_g1_i2"	"Q9NBX4"
"TRINITY_DN11611_c0_g1_i4"	"Q9NBX4"
"TRINITY_DN11611_c0_g1_i5"	"Q9NBX4"
"TRINITY_DN11611_c0_g1_i7"	"Q9NBX4"
"TRINITY_DN2993_c0_g1_i2"	"Q9NBX4"
"TRINITY_DN2993_c0_g1_i3"	"Q9NBX4"
"TRINITY_DN35241_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN10863_c0_g4_i1"	"Q9NBX4"
"TRINITY_DN10863_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN10823_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN10823_c0_g1_i2"	"Q9NBX4"
"TRINITY_DN10823_c0_g1_i5"	"Q9NBX4"
"TRINITY_DN467_c0_g1_i10"	"Q9NBX4"
"TRINITY_DN467_c0_g1_i11"	"Q9NBX4"
"TRINITY_DN467_c0_g1_i19"	"Q9NBX4"
"TRINITY_DN467_c0_g1_i25"	"Q9NBX4"
"TRINITY_DN467_c0_g1_i30"	"Q9NBX4"
"TRINITY_DN1192_c1_g1_i13"	"Q9NBX4"
"TRINITY_DN1192_c1_g1_i21"	"Q9NBX4"
"TRINITY_DN1192_c1_g1_i31"	"Q9NBX4"
"TRINITY_DN6034_c0_g1_i11"	"Q9NBX4"
"TRINITY_DN6034_c0_g1_i2"	"Q9NBX4"
"TRINITY_DN6034_c0_g1_i8"	"Q9NBX4"
"TRINITY_DN32811_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN845_c0_g1_i31"	"Q9NBX4"
"TRINITY_DN14742_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN13876_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN13869_c4_g1_i4"	"Q9NBX4"
"TRINITY_DN13822_c0_g1_i2"	"Q9NBX4"
"TRINITY_DN13855_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN13855_c0_g1_i2"	"Q9NBX4"
"TRINITY_DN13855_c0_g1_i3"	"Q9NBX4"
"TRINITY_DN13855_c0_g1_i4"	"Q9NBX4"
"TRINITY_DN13855_c0_g1_i5"	"Q9NBX4"
"TRINITY_DN13855_c0_g1_i6"	"Q9NBX4"
"TRINITY_DN38302_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN5415_c0_g1_i12"	"Q9NBX4"
"TRINITY_DN5415_c0_g1_i21"	"Q9NBX4"
"TRINITY_DN5415_c0_g1_i4"	"Q9NBX4"
"TRINITY_DN5415_c0_g1_i9"	"Q9NBX4"
"TRINITY_DN5401_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN5401_c0_g1_i2"	"Q9NBX4"
"TRINITY_DN17729_c0_g1_i3"	"Q9NBX4"
"TRINITY_DN17729_c0_g1_i4"	"Q9NBX4"
"TRINITY_DN3608_c0_g1_i12"	"Q9NBX4"
"TRINITY_DN3608_c0_g1_i3"	"Q9NBX4"
"TRINITY_DN3608_c0_g1_i4"	"Q9NBX4"
"TRINITY_DN3608_c0_g1_i5"	"Q9NBX4"
"TRINITY_DN3608_c0_g1_i7"	"Q9NBX4"
"TRINITY_DN16943_c0_g1_i10"	"Q9NBX4"
"TRINITY_DN16943_c0_g1_i11"	"Q9NBX4"
"TRINITY_DN16943_c0_g1_i12"	"Q9NBX4"
"TRINITY_DN16943_c0_g1_i15"	"Q9NBX4"
"TRINITY_DN16943_c0_g1_i2"	"Q9NBX4"
"TRINITY_DN16943_c0_g1_i4"	"Q9NBX4"
"TRINITY_DN15128_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN6705_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN6705_c0_g1_i3"	"Q9NBX4"
"TRINITY_DN22643_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN22643_c0_g1_i2"	"Q9NBX4"
"TRINITY_DN22570_c0_g2_i1"	"Q9NBX4"
"TRINITY_DN13520_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN3924_c0_g2_i2"	"Q9NBX4"
"TRINITY_DN3924_c0_g2_i5"	"Q9NBX4"
"TRINITY_DN21772_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN36229_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN11920_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN11920_c0_g1_i3"	"Q9NBX4"
"TRINITY_DN7932_c5_g1_i1"	"Q9NBX4"
"TRINITY_DN15745_c0_g1_i2"	"Q9NBX4"
"TRINITY_DN2578_c0_g1_i13"	"Q9NBX4"
"TRINITY_DN2578_c0_g1_i2"	"Q9NBX4"
"TRINITY_DN2578_c0_g1_i4"	"Q9NBX4"
"TRINITY_DN2578_c0_g1_i6"	"Q9NBX4"
"TRINITY_DN14931_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN14931_c0_g1_i7"	"Q9NBX4"
"TRINITY_DN40315_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN3726_c0_g1_i10"	"Q9NBX4"
"TRINITY_DN3726_c0_g1_i11"	"Q9NBX4"
"TRINITY_DN3726_c0_g1_i16"	"Q9NBX4"
"TRINITY_DN3726_c0_g1_i17"	"Q9NBX4"
"TRINITY_DN3726_c0_g1_i3"	"Q9NBX4"
"TRINITY_DN3726_c0_g1_i8"	"Q9NBX4"
"TRINITY_DN2859_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN2859_c0_g1_i10"	"Q9NBX4"
"TRINITY_DN2859_c0_g1_i6"	"Q9NBX4"
"TRINITY_DN10774_c1_g1_i1"	"Q9NBX4"
"TRINITY_DN34297_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN33493_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN5911_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN15400_c0_g1_i14"	"Q9NBX4"
"TRINITY_DN15400_c0_g1_i4"	"Q9NBX4"
"TRINITY_DN15400_c0_g1_i5"	"Q9NBX4"
"TRINITY_DN4171_c2_g1_i8"	"Q9NBX4"
"TRINITY_DN1454_c0_g2_i2"	"Q9NBX4"
"TRINITY_DN1454_c0_g2_i4"	"Q9NBX4"
"TRINITY_DN19261_c0_g1_i3"	"Q9NBX4"
"TRINITY_DN8157_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN20180_c0_g1_i15"	"Q9NBX4"
"TRINITY_DN20180_c0_g1_i19"	"Q9NBX4"
"TRINITY_DN20180_c0_g1_i26"	"Q9NBX4"
"TRINITY_DN27484_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN11113_c0_g3_i1"	"Q9NBX4"
"TRINITY_DN11113_c0_g3_i2"	"Q9NBX4"
"TRINITY_DN18504_c0_g2_i2"	"Q9NBX4"
"TRINITY_DN6333_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN6333_c0_g1_i2"	"Q9NBX4"
"TRINITY_DN35787_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN10305_c1_g1_i4"	"Q9NBX4"
"TRINITY_DN10305_c1_g1_i8"	"Q9NBX4"
"TRINITY_DN10305_c3_g1_i1"	"Q9NBX4"
"TRINITY_DN2622_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN1742_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN1742_c0_g1_i10"	"Q9NBX4"
"TRINITY_DN1742_c0_g1_i14"	"Q9NBX4"
"TRINITY_DN1742_c0_g1_i17"	"Q9NBX4"
"TRINITY_DN1742_c0_g1_i20"	"Q9NBX4"
"TRINITY_DN1742_c0_g1_i24"	"Q9NBX4"
"TRINITY_DN1742_c0_g1_i30"	"Q9NBX4"
"TRINITY_DN1742_c0_g1_i37"	"Q9NBX4"
"TRINITY_DN14196_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN14196_c0_g1_i2"	"Q9NBX4"
"TRINITY_DN31544_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN19889_c0_g1_i3"	"Q9NBX4"
"TRINITY_DN19889_c0_g2_i1"	"Q9NBX4"
"TRINITY_DN19889_c0_g2_i2"	"Q9NBX4"
"TRINITY_DN11760_c1_g1_i1"	"Q9NBX4"
"TRINITY_DN3072_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN8808_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN8803_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN8803_c0_g1_i3"	"Q9NBX4"
"TRINITY_DN10925_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN10925_c0_g1_i2"	"Q9NBX4"
"TRINITY_DN25489_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN7043_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN990_c0_g1_i11"	"Q9NBX4"
"TRINITY_DN990_c0_g1_i20"	"Q9NBX4"
"TRINITY_DN990_c0_g1_i23"	"Q9NBX4"
"TRINITY_DN999_c0_g1_i21"	"Q9NBX4"
"TRINITY_DN999_c0_g1_i51"	"Q9NBX4"
"TRINITY_DN925_c1_g1_i16"	"Q9NBX4"
"TRINITY_DN925_c1_g1_i18"	"Q9NBX4"
"TRINITY_DN925_c1_g1_i9"	"Q9NBX4"
"TRINITY_DN16424_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN33799_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN3332_c1_g1_i1"	"Q9NBX4"
"TRINITY_DN3332_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN3332_c0_g1_i2"	"Q9NBX4"
"TRINITY_DN3332_c0_g1_i3"	"Q9NBX4"
"TRINITY_DN2484_c0_g1_i19"	"Q9NBX4"
"TRINITY_DN12117_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN11384_c0_g1_i7"	"Q9NBX4"
"TRINITY_DN18803_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN17971_c0_g2_i1"	"Q9NBX4"
"TRINITY_DN17919_c0_g2_i1"	"Q9NBX4"
"TRINITY_DN17919_c0_g3_i2"	"Q9NBX4"
"TRINITY_DN9597_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN9597_c0_g1_i2"	"Q9NBX4"
"TRINITY_DN8605_c0_g1_i2"	"Q9NBX4"
"TRINITY_DN8625_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN16017_c0_g1_i4"	"Q9NBX4"
"TRINITY_DN765_c0_g1_i10"	"Q9NBX4"
"TRINITY_DN765_c0_g1_i17"	"Q9NBX4"
"TRINITY_DN765_c0_g1_i4"	"Q9NBX4"
"TRINITY_DN791_c0_g1_i73"	"Q9NBX4"
"TRINITY_DN739_c0_g1_i16"	"Q9NBX4"
"TRINITY_DN739_c0_g1_i19"	"Q9NBX4"
"TRINITY_DN739_c0_g1_i2"	"Q9NBX4"
"TRINITY_DN739_c0_g1_i20"	"Q9NBX4"
"TRINITY_DN739_c0_g1_i7"	"Q9NBX4"
"TRINITY_DN739_c0_g1_i9"	"Q9NBX4"
"TRINITY_DN13649_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN13649_c0_g1_i2"	"Q9NBX4"
"TRINITY_DN13649_c0_g1_i3"	"Q9NBX4"
"TRINITY_DN31020_c0_g1_i1"	"Q9NBX4"
"TRINITY_DN12867_c0_g5_i1"	"Q9NBX4"
"TRINITY_DN12843_c0_g1_i2"	"Q9NBX4"
