name	term	lev	seq	value
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P29311	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P63165	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	Q08752	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P61286	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P62241	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	Q5R8F7	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P61313	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P62854	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P62081	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P62701	0.84886762751306
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	Q6DGG0	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P11940	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	O18640	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	Q06967	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P46781	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P62249	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P92177	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	Q9EPH8	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P34730	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P62244	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P62830	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P62851	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P83881	0.918985812815648
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P62277	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P61247	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P62987	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P15880	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P35268	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P47914	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P62266	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P62269	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P62891	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P18621	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P62829	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P29341	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P62888	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P0CG47	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P62831	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P50914	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P26882	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P62832	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	Q3T057	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	Q9CR16	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P62861	0
"negative regulation of biological process"	GO:0048519;GO:0010629;GO:0010468;GO:0010605;GO:0009892	3	P05387	0.9285993260287
"cellular response to DNA damage stimulus"	GO:0006974;GO:0033554;GO:0051716	4	P29311	0
"cellular response to DNA damage stimulus"	GO:0006974;GO:0033554;GO:0051716	4	Q06967	0
"cellular response to DNA damage stimulus"	GO:0006974;GO:0033554;GO:0051716	4	P92177	0
"cellular response to DNA damage stimulus"	GO:0006974;GO:0033554;GO:0051716	4	P34730	0
"cellular response to DNA damage stimulus"	GO:0006974;GO:0033554;GO:0051716	4	Q9SZI2	0
"cellular response to DNA damage stimulus"	GO:0006974;GO:0033554;GO:0051716	4	Q94K07	0
"spliceosomal snRNP assembly"	GO:0000387	7	Q3SZF8	0
"spliceosomal snRNP assembly"	GO:0000387	7	Q54NC5	0
"spliceosomal snRNP assembly"	GO:0000387	7	P62307	0
"spliceosomal snRNP assembly"	GO:0000387	7	A4FUI2	0
"spliceosomal snRNP assembly"	GO:0000387	7	Q24297	0
"spliceosomal snRNP assembly"	GO:0000387	7	Q7ZUG0	0
"spliceosomal snRNP assembly"	GO:0000387	7	P62321	0
"spliceosomal snRNP assembly"	GO:0000387	7	P62303	0
"spliceosomal snRNP assembly"	GO:0000387	7	Q18786	0
"spliceosomal snRNP assembly"	GO:0000387	7	Q9SUM2	0
"spliceosomal snRNP assembly"	GO:0000387	7	Q9VLV5	0
"spliceosomal snRNP assembly"	GO:0000387	7	A8XDT0	0
"spliceosomal snRNP assembly"	GO:0000387	7	P62306	0
"spliceosomal snRNP assembly"	GO:0000387	7	P62305	0
"spliceosomal snRNP assembly"	GO:0000387	7	Q3T0Z8	0
"spliceosomal snRNP assembly"	GO:0000387	7	Q9XTU6	0
"spliceosomal snRNP assembly"	GO:0000387	7	P62323	0
"spliceosomal snRNP assembly"	GO:0000387	7	A1XQR9	0
"spliceosomal snRNP assembly"	GO:0000387	7	P62317	0
"rRNA metabolic process"	GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660	6	P0CX37	0
"rRNA metabolic process"	GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660	6	P05755	0
"rRNA metabolic process"	GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660	6	Q9FIF3	0
"rRNA metabolic process"	GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660	6	Q42340	0
"rRNA metabolic process"	GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660	6	P62242	0
"rRNA metabolic process"	GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660	6	Q08069	0
"rRNA metabolic process"	GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660	6	P0CX30	0
"rRNA metabolic process"	GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660	6	P49199	0
"rRNA metabolic process"	GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660	6	Q93VG5	0
"rRNA metabolic process"	GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660	6	Q8MLY8	0
"rRNA metabolic process"	GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660	6	Q9M8X9	0
"rRNA metabolic process"	GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660	6	Q22054	0
"rRNA metabolic process"	GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660	6	P14131	0
"rRNA metabolic process"	GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660	6	Q5E958	0
"rRNA metabolic process"	GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660	6	Q9SK22	0
"rRNA metabolic process"	GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660	6	Q9W237	0
"rRNA metabolic process"	GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660	6	O14049	0
"rRNA metabolic process"	GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660	6	P0CX39	0
"rRNA metabolic process"	GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660	6	P0CX29	0
"rRNA metabolic process"	GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660	6	P0CX40	0
"rRNA metabolic process"	GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660	6	P46293	0
"rRNA metabolic process"	GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660	6	Q29201	0
"rRNA metabolic process"	GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660	6	P62243	0
"rRNA metabolic process"	GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660	6	Q0IQF7	0
"rRNA metabolic process"	GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660	6	P0CX38	0
