name	term	lev	seq	value
"positive regulation of cell-substrate adhesion"	GO:0001954;GO:0010811;GO:0045785	3	P46939	-1.04966555571009
"positive regulation of cell-substrate adhesion"	GO:0001954;GO:0010811;GO:0045785	3	Q8SPJ1	-0.430170205246882
"positive regulation of cell-substrate adhesion"	GO:0001954;GO:0010811;GO:0045785	3	Q9ERS5	-0.0994193789287838
"positive regulation of cell-substrate adhesion"	GO:0001954;GO:0010811;GO:0045785	3	P09603	-0.027522147434157
"positive regulation of cell-substrate adhesion"	GO:0001954;GO:0010811;GO:0045785	3	O70131	0.171164712840279
"positive regulation of cell-substrate adhesion"	GO:0001954;GO:0010811;GO:0045785	3	Q62165	-1.21160515115708
"positive regulation of cell-substrate adhesion"	GO:0001954;GO:0010811;GO:0045785	3	Q92982	-5.61179575730876
"lipid metabolic process"	GO:0044255;GO:0006629	2	O14975	-1.23421918339256
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q15067	-1.72610300076006
"lipid metabolic process"	GO:0044255;GO:0006629	2	P0ABZ5	-0.861828389618183
"lipid metabolic process"	GO:0044255;GO:0006629	2	P57093	1.66197791529176
"lipid metabolic process"	GO:0044255;GO:0006629	2	P34884	-4.58281604156233
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q00915	-3.59670573991813
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q9QYF1	-2.37352673939569
"lipid metabolic process"	GO:0044255;GO:0006629	2	O95573	-0.519485905121457
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q58CW5	-4.45728167190009
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q8TBF2	1.4461467479006
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q6AEY1	0
"lipid metabolic process"	GO:0044255;GO:0006629	2	P75919	0.629572216463076
"lipid metabolic process"	GO:0044255;GO:0006629	2	P41216	-0.129348543348729
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q9ULC5	-2.19178585804998
"lipid metabolic process"	GO:0044255;GO:0006629	2	B9RK42	-0.2474212934317
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q6AA89	0
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q14114	-1.2192073073127
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q9WU19	-1.51301963161005
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q9HAY6	-2.19568528273549
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q1HRV8	0.706461386958134
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q99424	0.171949828712002
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q6AAV8	2.83463514842324
"lipid metabolic process"	GO:0044255;GO:0006629	2	A3PJG0	2.08535719508582
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q1RMV0	-1.05860174722587
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q3JCS9	-8.53646797664094
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q7JUN3	-3.11272568093678
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q9VJK8	-7.83005195341525
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q44261	2.91184837298421
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q5XK03	0
"lipid metabolic process"	GO:0044255;GO:0006629	2	P0C1S9	0.408406529907723
"lipid metabolic process"	GO:0044255;GO:0006629	2	P22871	3.41305945466524
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q91WW7	0.171164712840279
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q8ZB47	1.4461467479006
"lipid metabolic process"	GO:0044255;GO:0006629	2	P51659	1.62860768181757
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q68F38	0.66197497431091
"lipid metabolic process"	GO:0044255;GO:0006629	2	P21687	3.43372267540153
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q8BWN8	0.781196437696293
"lipid metabolic process"	GO:0044255;GO:0006629	2	P50416	-1.14157041770224
"lipid metabolic process"	GO:0044255;GO:0006629	2	P51648	-1.21920744633911
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q8Z542	0.930095021324228
"lipid metabolic process"	GO:0044255;GO:0006629	2	P97742	-0.797952298690547
"lipid metabolic process"	GO:0044255;GO:0006629	2	P09110	-0.0807848318683324
"lipid metabolic process"	GO:0044255;GO:0006629	2	P12271	-0.411388383006236
"lipid metabolic process"	GO:0044255;GO:0006629	2	B6ISU5	1.16826601018873
"lipid metabolic process"	GO:0044255;GO:0006629	2	Q9VHX7	2.08535719508582
