name	term	lev	seq	value
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	P15541	0
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	O01346	0.967957084647071
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q6TEN1	0.932497570572823
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	P08648	0.900278822057561
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	P23467	0.888947778711272
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q17QE5	0.975271053026497
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q9H2J4	0.944436281351833
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	A2RRV9	0
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	P18572	0.969156819507129
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q8UVK2	0.937194041938465
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	Q96MC6	0.812630793793325
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	O42248	0.936844252461815
"catabolic process"	GO:1901575;GO:0009056	2	Q08473	0.960957919693358
"catabolic process"	GO:1901575;GO:0009056	2	Q5E9Z8	0.86691444158473
"catabolic process"	GO:1901575;GO:0009056	2	Q8H136	0
"catabolic process"	GO:1901575;GO:0009056	2	P50897	0.96194708233447
"catabolic process"	GO:1901575;GO:0009056	2	Q0VC92	0.97911864526153
"catabolic process"	GO:1901575;GO:0009056	2	Q9VM71	0.865472951372575
"catabolic process"	GO:1901575;GO:0009056	2	Q13231	0
"catabolic process"	GO:1901575;GO:0009056	2	Q99757	0.914444368001659
"catabolic process"	GO:1901575;GO:0009056	2	Q9W092	0
"catabolic process"	GO:1901575;GO:0009056	2	P34275	0.814339916468678
"catabolic process"	GO:1901575;GO:0009056	2	P49010	0
"catabolic process"	GO:1901575;GO:0009056	2	P46778	0.729204309108514
"catabolic process"	GO:1901575;GO:0009056	2	P23128	0.730464450796937
"catabolic process"	GO:1901575;GO:0009056	2	Q5QMN3	0
"catabolic process"	GO:1901575;GO:0009056	2	O61470	0.842699203528636
"catabolic process"	GO:1901575;GO:0009056	2	I6YCA3	0
"catabolic process"	GO:1901575;GO:0009056	2	P57093	0.975216759978411
"catabolic process"	GO:1901575;GO:0009056	2	Q2HJ97	0.974475034304076
"catabolic process"	GO:1901575;GO:0009056	2	Q9QX67	0.956017507223799
"catabolic process"	GO:1901575;GO:0009056	2	P29845	0.895786917707157
"anatomical structure development"	GO:0048856	2	O35643	0.77616504375967
"anatomical structure development"	GO:0048856	2	O01479	0.972665888568397
"anatomical structure development"	GO:0048856	2	Q06561	0.961368313013045
"anatomical structure development"	GO:0048856	2	O76080	0.975304217973007
"anatomical structure development"	GO:0048856	2	Q641X3	0
"anatomical structure development"	GO:0048856	2	P20042	0.889738888986907
"anatomical structure development"	GO:0048856	2	Q3TCH7	0
"anatomical structure development"	GO:0048856	2	Q9QZ03	0.972681126694153
"anatomical structure development"	GO:0048856	2	O35130	0
"anatomical structure development"	GO:0048856	2	Q99873	0.976049456269952
"anatomical structure development"	GO:0048856	2	P29410	0.816598539943226
"anatomical structure development"	GO:0048856	2	Q6PG34	0.948860023170662
"anatomical structure development"	GO:0048856	2	Q21086	0.929778900933962
"anatomical structure development"	GO:0048856	2	Q5EB77	0.864112771965752
"anatomical structure development"	GO:0048856	2	P80746	0.778046292274819
"anatomical structure development"	GO:0048856	2	P16110	0.89294043584412
"anatomical structure development"	GO:0048856	2	Q99KI0	0.975489867250141
"anatomical structure development"	GO:0048856	2	Q17800	0.953724986660988
"anatomical structure development"	GO:0048856	2	O35674	0.976965879853831
"anatomical structure development"	GO:0048856	2	O75844	0.788479632596416
"anatomical structure development"	GO:0048856	2	Q0V8R6	0.963182992008356
"anatomical structure development"	GO:0048856	2	Q9DFZ4	0
"anatomical structure development"	GO:0048856	2	Q92890	0.93467792737582
"anatomical structure development"	GO:0048856	2	Q99798	0.970626979342373
"anatomical structure development"	GO:0048856	2	O75096	0
"organelle assembly"	GO:0000045;GO:0070925;GO:1905037;GO:0007033	6	Q6PF93	0.771999886366638
"organelle assembly"	GO:0000045;GO:0070925;GO:1905037;GO:0007033	6	Q9D906	0.865834778504283
"organelle assembly"	GO:0000045;GO:0070925;GO:1905037;GO:0007033	6	Q9BXW4	0.771620283891827
"organelle assembly"	GO:0000045;GO:0070925;GO:1905037;GO:0007033	6	Q8NEB9	0.589083772335276
"organelle assembly"	GO:0000045;GO:0070925;GO:1905037;GO:0007033	6	Q0WWQ1	0
"organelle assembly"	GO:0000045;GO:0070925;GO:1905037;GO:0007033	6	Q99J83	0.886763941430067
"organelle assembly"	GO:0000045;GO:0070925;GO:1905037;GO:0007033	6	Q86YS6	0.975727671954325
"organelle assembly"	GO:0000045;GO:0070925;GO:1905037;GO:0007033	6	P62822	0.865667812696238
"organelle assembly"	GO:0000045;GO:0070925;GO:1905037;GO:0007033	6	Q9VCE1	0.811893925591464
"organelle assembly"	GO:0000045;GO:0070925;GO:1905037;GO:0007033	6	Q9GJW7	0.901274481938532
"organelle assembly"	GO:0000045;GO:0070925;GO:1905037;GO:0007033	6	Q96MC6	0.812630793793325
"protein modification by small protein conjugation or removal"	GO:0000209;GO:0016567;GO:0032446;GO:0070647	6	Q8LGF7	0
"protein modification by small protein conjugation or removal"	GO:0000209;GO:0016567;GO:0032446;GO:0070647	6	Q6P8D9	0.814523660897949
"protein modification by small protein conjugation or removal"	GO:0000209;GO:0016567;GO:0032446;GO:0070647	6	Q5U550	0.972675719375911
"protein modification by small protein conjugation or removal"	GO:0000209;GO:0016567;GO:0032446;GO:0070647	6	Q01820	0.797315148504364
"protein modification by small protein conjugation or removal"	GO:0000209;GO:0016567;GO:0032446;GO:0070647	6	P62253	0.950847505667062
"protein modification by small protein conjugation or removal"	GO:0000209;GO:0016567;GO:0032446;GO:0070647	6	P52478	0.872518815089408
"protein modification by small protein conjugation or removal"	GO:0000209;GO:0016567;GO:0032446;GO:0070647	6	Q8NHG8	0.858328521310359
"protein modification by small protein conjugation or removal"	GO:0000209;GO:0016567;GO:0032446;GO:0070647	6	Q712K3	0.96922839829522
"protein modification by small protein conjugation or removal"	GO:0000209;GO:0016567;GO:0032446;GO:0070647	6	P25867	0.967778141006358
"protein modification by small protein conjugation or removal"	GO:0000209;GO:0016567;GO:0032446;GO:0070647	6	P52485	0.868297117743423
"protein modification by small protein conjugation or removal"	GO:0000209;GO:0016567;GO:0032446;GO:0070647	6	P61085	0.853961414165786
"protein modification by small protein conjugation or removal"	GO:0000209;GO:0016567;GO:0032446;GO:0070647	6	Q9Y0H4	0.845388416340492
"protein modification by small protein conjugation or removal"	GO:0000209;GO:0016567;GO:0032446;GO:0070647	6	Q9UBW8	0.952489434500482
"protein modification by small protein conjugation or removal"	GO:0000209;GO:0016567;GO:0032446;GO:0070647	6	Q6NUC2	0.866841233835083
"mitotic cell cycle"	GO:0000278;GO:0007049	2	P29349	0.78495597731013
"mitotic cell cycle"	GO:0000278;GO:0007049	2	Q9VEN1	0.819120327976052
"mitotic cell cycle"	GO:0000278;GO:0007049	2	Q9V439	0.938573290855161
"mitotic cell cycle"	GO:0000278;GO:0007049	2	Q9V831	0.298807439512318
"mitotic cell cycle"	GO:0000278;GO:0007049	2	O60232	0.97258973382661
"positive regulation of macromolecule metabolic process"	GO:0010604;GO:0009893;GO:0032147;GO:0045860;GO:0001934;GO:0033674;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0031325;GO:0051247;GO:0010562;GO:0051173;GO:0051347;GO:0043085;GO:0044093	3	Q9VMU8	0.947703516657225
"positive regulation of macromolecule metabolic process"	GO:0010604;GO:0009893;GO:0032147;GO:0045860;GO:0001934;GO:0033674;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0031325;GO:0051247;GO:0010562;GO:0051173;GO:0051347;GO:0043085;GO:0044093	3	Q8HXQ3	0.933925273584009
"positive regulation of macromolecule metabolic process"	GO:0010604;GO:0009893;GO:0032147;GO:0045860;GO:0001934;GO:0033674;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0031325;GO:0051247;GO:0010562;GO:0051173;GO:0051347;GO:0043085;GO:0044093	3	Q9PU13	0.756837663338099
"positive regulation of macromolecule metabolic process"	GO:0010604;GO:0009893;GO:0032147;GO:0045860;GO:0001934;GO:0033674;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0031325;GO:0051247;GO:0010562;GO:0051173;GO:0051347;GO:0043085;GO:0044093	3	P45985	0.736956513087741
"positive regulation of macromolecule metabolic process"	GO:0010604;GO:0009893;GO:0032147;GO:0045860;GO:0001934;GO:0033674;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0031325;GO:0051247;GO:0010562;GO:0051173;GO:0051347;GO:0043085;GO:0044093	3	P53767	0.92758457415181
