name	term	lev	seq	value
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	Q8L7R3	0.0349319759425733
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	D3YTS9	1.93203027065698e-18
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	P07607	0.40249842206225
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	Q91790	0.340426253691281
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	P36616	0.115048858401129
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	Q4VRV8	0.00691434360379284
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	Q6MSP5	0.00466181456248516
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	Q9Y5B8	0.00151731708153296
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	P11966	0.0185422425583415
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	Q9BW91	0.811919206908272
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	Q9UT67	0.149213860582701
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	Q8N5Z0	0.0592163983017309
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	P36542	0.00023583721044764
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	Q86TV6	4.48159768479937e-14
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	P0C605	0.749678604016742
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	Q54J34	2.0023323673289e-15
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	P28583	0.567574155622347
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	Q6P6Z8	0.863209802637231
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	Q7XIM0	0.0484459348984095
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	O88763	3.86243983159942e-20
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	P53355	0.860272102902985
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	Q9M1K2	0.19884089370889
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	Q8BP78	0.0382579920339203
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	Q3T0V9	1.07303092366091e-15
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	Q08480	0.0452446362348747
"phosphorus metabolic process"	GO:0006796;GO:0006793	4	P0AC90	0.202034260873349
"anatomical structure morphogenesis"	GO:0009653	2	D3YTS9	1.93203027065698e-18
"anatomical structure morphogenesis"	GO:0009653	2	A3KPP3	0.083197219540289
"anatomical structure morphogenesis"	GO:0009653	2	Q9FHN8	0.0487965429568152
"anatomical structure morphogenesis"	GO:0009653	2	Q9V579	0.434446338854911
"anatomical structure morphogenesis"	GO:0009653	2	Q9SZD4	0.214225499153151
"anatomical structure morphogenesis"	GO:0009653	2	F4IDS7	2.20763626227853e-05
"anatomical structure morphogenesis"	GO:0009653	2	P48605	0.925213789818597
"anatomical structure morphogenesis"	GO:0009653	2	Q52T38	0.417375177115799
"anatomical structure morphogenesis"	GO:0009653	2	Q24174	0.984958949612916
"anatomical structure morphogenesis"	GO:0009653	2	Q9M1K2	0.19884089370889
"anatomical structure morphogenesis"	GO:0009653	2	P11584	0.948383716955139
"regulation of mitotic cell cycle"	GO:0007346;GO:1901990;GO:1901987	3	Q91790	0.340426253691281
"regulation of mitotic cell cycle"	GO:0007346;GO:1901990;GO:1901987	3	P54132	0.317492216443262
"regulation of mitotic cell cycle"	GO:0007346;GO:1901990;GO:1901987	3	P42232	0.981406827032588
"regulation of mitotic cell cycle"	GO:0007346;GO:1901990;GO:1901987	3	Q9NIV1	0.455658518457921
"regulation of mitotic cell cycle"	GO:0007346;GO:1901990;GO:1901987	3	Q9Z1M8	2.53365684212462e-15
"regulation of mitotic cell cycle"	GO:0007346;GO:1901990;GO:1901987	3	Q9STS3	0.538780605965599
"regulation of mitotic cell cycle"	GO:0007346;GO:1901990;GO:1901987	3	Q9R1K5	0.587395296453992
"DNA metabolic process"	GO:0006259	2	Q9C587	0.223015203067197
"DNA metabolic process"	GO:0006259	2	O01789	0.0262590680794629
"DNA metabolic process"	GO:0006259	2	P53187	5.37437845207719e-16
"DNA metabolic process"	GO:0006259	2	B8AEH3	0.0796442782136234
"DNA metabolic process"	GO:0006259	2	P54132	0.317492216443262
"DNA metabolic process"	GO:0006259	2	Q6R2W3	0.938529440712216
"DNA metabolic process"	GO:0006259	2	Q9R1K5	0.587395296453992
"DNA metabolic process"	GO:0006259	2	Q8LC68	1.44088468438624e-19
"DNA metabolic process"	GO:0006259	2	P38132	0.75398790124015
"DNA metabolic process"	GO:0006259	2	Q921I9	1.30547488738649e-05
"regulation of cell cycle"	GO:0051726;GO:0010564	2	Q91790	0.340426253691281
"regulation of cell cycle"	GO:0051726;GO:0010564	2	P54132	0.317492216443262
"regulation of cell cycle"	GO:0051726;GO:0010564	2	P42232	0.981406827032588
"regulation of cell cycle"	GO:0051726;GO:0010564	2	Q9R1K5	0.587395296453992
"regulation of cell cycle"	GO:0051726;GO:0010564	2	Q9NIV1	0.455658518457921
"regulation of cell cycle"	GO:0051726;GO:0010564	2	Q9Z1M8	2.53365684212462e-15
"regulation of cell cycle"	GO:0051726;GO:0010564	2	O88763	3.86243983159942e-20
"regulation of cell cycle"	GO:0051726;GO:0010564	2	Q9STS3	0.538780605965599
"sulfur compound metabolic process"	GO:0006790	3	Q92203	1.18216163480263e-15
"sulfur compound metabolic process"	GO:0006790	3	A8HYU5	0.000184948387096292
"sulfur compound metabolic process"	GO:0006790	3	P11966	0.0185422425583415
"sulfur compound metabolic process"	GO:0006790	3	P42232	0.981406827032588
"sulfur compound metabolic process"	GO:0006790	3	Q8N5Z0	0.0592163983017309
"sulfur compound metabolic process"	GO:0006790	3	Q6P6Z8	0.863209802637231
"sulfur compound metabolic process"	GO:0006790	3	P08010	0.311225842575147
"sulfur compound metabolic process"	GO:0006790	3	Q20117	0.225863749182619
"regulation of molecular function"	GO:0065009;GO:0050790	2	P35559	0.00574620451601326
"regulation of molecular function"	GO:0065009;GO:0050790	2	Q91790	0.340426253691281
"regulation of molecular function"	GO:0065009;GO:0050790	2	Q6U7I1	0.560212714635256
