"Transcript_ID"	"Accession_ID"	"species"
"TRINITY_DN485029_c0_g1_i1"	"P50284"	"TNR3_MOUSE"
"TRINITY_DN438226_c0_g1_i1"	"P50284"	"TNR3_MOUSE"
"TRINITY_DN578683_c0_g1_i1"	"P50284"	"TNR3_MOUSE"
"TRINITY_DN532134_c0_g1_i1"	"P50284"	"TNR3_MOUSE"
"TRINITY_DN56632_c1_g1_i2"	"P01602"	"KV105_HUMAN"
"TRINITY_DN56632_c1_g1_i5"	"P01602"	"KV105_HUMAN"
"TRINITY_DN56632_c1_g1_i3"	"P01602"	"KV105_HUMAN"
"TRINITY_DN14229_c0_g1_i31"	"P30379"	"1B01_GORGO"
"TRINITY_DN14229_c0_g1_i19"	"P30379"	"1B01_GORGO"
"TRINITY_DN14229_c0_g1_i17"	"P30379"	"1B01_GORGO"
"TRINITY_DN15956_c0_g1_i13"	"P30379"	"1B01_GORGO"
"TRINITY_DN1765_c1_g1_i10"	"P07996"	"TSP1_HUMAN"
"TRINITY_DN1765_c1_g1_i22"	"P07996"	"TSP1_HUMAN"
"TRINITY_DN1765_c1_g1_i2"	"P07996"	"TSP1_HUMAN"
"TRINITY_DN1765_c1_g1_i9"	"P07996"	"TSP1_HUMAN"
"TRINITY_DN590931_c0_g1_i1"	"P07996"	"TSP1_HUMAN"
"TRINITY_DN534436_c0_g1_i1"	"P07996"	"TSP1_HUMAN"
"TRINITY_DN533633_c0_g1_i1"	"P07996"	"TSP1_HUMAN"
"TRINITY_DN225676_c1_g1_i1"	"P01896"	"HA1Z_MOUSE"
"TRINITY_DN225676_c1_g1_i2"	"P01896"	"HA1Z_MOUSE"
"TRINITY_DN88363_c0_g1_i4"	"P22413"	"ENPP1_HUMAN"
"TRINITY_DN13251_c0_g1_i6"	"P22413"	"ENPP1_HUMAN"
"TRINITY_DN13251_c0_g1_i7"	"P22413"	"ENPP1_HUMAN"
"TRINITY_DN13251_c0_g1_i9"	"P22413"	"ENPP1_HUMAN"
"TRINITY_DN13251_c0_g1_i1"	"P22413"	"ENPP1_HUMAN"
"TRINITY_DN13251_c0_g1_i8"	"P22413"	"ENPP1_HUMAN"
"TRINITY_DN188390_c0_g1_i9"	"P22413"	"ENPP1_HUMAN"
"TRINITY_DN121203_c0_g1_i7"	"P22413"	"ENPP1_HUMAN"
"TRINITY_DN242956_c0_g1_i2"	"O95977"	"S1PR4_HUMAN"
"TRINITY_DN15956_c0_g1_i32"	"P16209"	"1A01_PANTR"
"TRINITY_DN15956_c0_g1_i25"	"P16209"	"1A01_PANTR"
"TRINITY_DN15956_c0_g1_i5"	"P16209"	"1A01_PANTR"
