"kMEblack"	"kMEgreenyellow"	"kMEmagenta"	"kMEpink"	"kMEpurple"
"TRINITY_DN21478_c0_g1_i1"	0.704075933551356	0.328726799513482	-0.117819606120437	-0.33057665968369	-0.366539646671826
"TRINITY_DN21505_c1_g1_i1"	-0.754960970774913	-0.163856804561211	0.250290331917348	0.292884687716939	0.822802233719144
"TRINITY_DN21499_c0_g1_i1"	-0.467608264187718	-0.0540560257949574	-0.058392340528224	0.611750164244472	0.675739101028606
"TRINITY_DN21444_c0_g2_i1"	0.843376098857423	0.121415586361075	-0.32944492569166	-0.358147195161205	-0.483602111653955
"TRINITY_DN21517_c0_g2_i1"	-0.883064562804826	-0.30620309187007	0.362450634603664	0.452637936263186	0.957002975653494
"TRINITY_DN21517_c0_g1_i1"	-0.871050104680809	-0.20639728493798	0.351805068370026	0.388846943751845	0.963691223492087
"TRINITY_DN21490_c0_g1_i1"	0.903990229806872	-0.0212404266060984	-0.511098496407263	-0.554638298504247	-0.785789659476439
"TRINITY_DN21494_c1_g1_i2"	-0.370513255519176	-0.370920665761496	0.367595233215608	0.161691118636381	0.46533231334203
"TRINITY_DN21470_c0_g1_i1"	-0.831487998897394	-0.294144287251082	0.362084958831281	0.565681043911078	0.916658442076341
"TRINITY_DN21470_c1_g1_i1"	-0.858936721606621	-0.310552969690032	0.351714251878956	0.590954797181275	0.91422635610879
"TRINITY_DN21504_c1_g1_i1"	-0.763360080926166	-0.205504661730224	0.33673543948926	0.770158969816296	0.568896240559431
"TRINITY_DN5656_c0_g1_i3"	0.383452056902773	0.486124560295343	-0.153567152888909	-0.152681279289971	-0.15868113387722
"TRINITY_DN5680_c0_g1_i1"	-0.774598443543011	-0.278595974021804	0.35037471887209	0.280451450696528	0.979496917257928
"TRINITY_DN5653_c0_g4_i1"	0.325830011544307	0.194713434458046	0.152902783974046	-0.494991173180821	-0.40111142180649
"TRINITY_DN5653_c0_g2_i1"	-0.132680440099028	-0.266579400906475	-0.204408054146446	0.728164582949953	0.114215527860161
"TRINITY_DN5653_c0_g2_i2"	-0.0306749356703047	-0.00714885973916791	-0.000595423094941039	-0.0280409175483283	0.267782475856837
"TRINITY_DN5653_c0_g2_i3"	0.0917067051658039	0.65037252962643	0.238414309789125	-0.40389507061357	-0.0313422542082552
"TRINITY_DN5633_c0_g1_i1"	-0.400527106189161	-0.0501362390741999	0.286927060206551	0.0251512273277902	0.733825889003621
"TRINITY_DN5633_c0_g1_i2"	-0.674994670562341	-0.162120478898123	0.509223390335615	0.540092958231026	0.391871791450417
"TRINITY_DN5661_c0_g1_i1"	0.872639185889623	0.0367854513617191	-0.398296596169731	-0.425120636608204	-0.509060561704031
"TRINITY_DN5661_c0_g1_i4"	0.957246974182515	0.180874378534633	-0.401100150482751	-0.432563120106818	-0.817648344588532
"TRINITY_DN5661_c0_g1_i5"	0.860107158225851	0.0408376976584515	-0.398842787841793	-0.424718650389515	-0.481763038221004
"TRINITY_DN5661_c0_g4_i3"	0.932255440534428	0.0682991790985287	-0.548465249928978	-0.594746177278891	-0.774130127734574
"TRINITY_DN5614_c0_g1_i1"	-0.396011335472274	-0.0112949029070818	0.0363165657672686	0.392908537428677	0.720017007180709
"TRINITY_DN5651_c0_g1_i1"	0.473364999990511	0.022410215591259	-0.537677749281328	-0.190796303553199	-0.141059296305772
"TRINITY_DN5692_c0_g1_i2"	-0.658926189917441	-0.239906614199162	0.363969443608593	0.210321309898822	0.948203713921655
"TRINITY_DN5654_c0_g1_i7"	-0.656829719179955	-0.126973921785421	0.0599567042745188	0.473977488217971	0.898143866985769
"TRINITY_DN5608_c0_g1_i1"	-0.772206450498346	-0.0530818517131773	0.383677806041904	0.254089982787227	0.972082924028278
"TRINITY_DN5697_c1_g2_i1"	-0.502269524285498	-0.26195332936252	0.12055544586639	0.331842282729264	0.820587138635672
"TRINITY_DN5695_c0_g2_i1"	-0.166332253797579	-0.170159716473346	-0.187708025827272	0.266722909798054	0.459763300025491
