target_id	length	eff_length	est_counts	tpm
TRINITY_DN21519_c0_g1_i1	304	190.917	0	0
TRINITY_DN21515_c0_g2_i1	205	101.855	6.12971	2.12007
TRINITY_DN21515_c0_g1_i1	449	333.351	1.1237	0.118752
TRINITY_DN21442_c1_g1_i1	203	100.42	0	0
TRINITY_DN21442_c0_g1_i1	283	170.722	0	0
TRINITY_DN21452_c0_g1_i1	332	218.116	0	0
TRINITY_DN21452_c0_g1_i10	429	313.449	0	0
TRINITY_DN21452_c0_g1_i11	414	298.664	0	0
TRINITY_DN21452_c0_g1_i2	401	285.932	0	0
TRINITY_DN21452_c0_g1_i3	486	370.068	0	0
TRINITY_DN21452_c0_g1_i4	313	199.62	0	0
TRINITY_DN21452_c0_g1_i5	328	214.203	0	0
TRINITY_DN21452_c0_g1_i7	226	119.199	0	0
TRINITY_DN21452_c0_g1_i8	294	181.239	0	0
TRINITY_DN21452_c0_g1_i9	218	112.416	0	0
TRINITY_DN21452_c0_g2_i1	230	122.475	0	0
TRINITY_DN21452_c1_g1_i1	217	111.536	0	0
TRINITY_DN21478_c0_g1_i1	292	179.403	9.37595	1.84111
TRINITY_DN21478_c0_g1_i2	720	602.814	0	0
TRINITY_DN21520_c0_g1_i1	217	111.536	0	0
TRINITY_DN21482_c0_g1_i1	215	109.939	0	0
TRINITY_DN21438_c0_g1_i1	357	242.516	2.01991	0.293417
TRINITY_DN21438_c1_g1_i1	232	124.267	0	0
TRINITY_DN21536_c1_g1_i1	201	98.8137	0	0
TRINITY_DN21536_c0_g2_i1	351	236.637	0	0
TRINITY_DN21536_c0_g1_i1	234	126.005	0	0
TRINITY_DN21536_c0_g1_i3	498	381.88	26	2.39851
TRINITY_DN21536_c0_g1_i4	231	123.397	0	0
TRINITY_DN21473_c0_g1_i1	313	199.62	4	0.705911
TRINITY_DN21528_c0_g1_i1	216	110.762	0	0
TRINITY_DN21528_c0_g1_i2	599	482.238	0	0
TRINITY_DN21463_c0_g1_i1	245	135.829	0	0
TRINITY_DN21483_c0_g1_i1	207	103.465	0	0
TRINITY_DN21483_c0_g1_i2	229	121.616	0	0
TRINITY_DN21454_c1_g1_i1	284	171.705	3.58329	0.735181
TRINITY_DN21481_c3_g1_i1	285	172.67	1.0055	0.205144
TRINITY_DN21513_c1_g1_i1	625	507.987	0	0
TRINITY_DN21513_c0_g1_i1	207	103.465	0	0
TRINITY_DN21513_c0_g2_i1	244	134.997	0	0
TRINITY_DN21513_c0_g2_i10	354	239.589	0	0
TRINITY_DN21513_c0_g2_i3	412	296.783	0	0
TRINITY_DN21513_c0_g2_i6	470	354.177	0	0
TRINITY_DN21513_c0_g2_i8	244	134.997	0	0
TRINITY_DN21505_c1_g1_i1	205	101.855	114.098	39.4628
TRINITY_DN21509_c0_g1_i1	319	205.477	0	0
TRINITY_DN21443_c0_g1_i1	220	114.09	32	9.88089
TRINITY_DN21487_c0_g1_i1	219	113.26	0	0
TRINITY_DN21499_c0_g1_i1	211	106.827	27	8.90382
TRINITY_DN21437_c1_g1_i1	214	109.186	0	0
TRINITY_DN21437_c2_g1_i1	234	126.005	0	0
TRINITY_DN21444_c0_g1_i1	237	128.739	0	0
TRINITY_DN21444_c0_g2_i1	354	239.589	19.2145	2.82525
TRINITY_DN21436_c0_g1_i1	969	851.113	0	0
TRINITY_DN21436_c0_g1_i2	628	510.987	0	0
TRINITY_DN21469_c0_g1_i1	204	101.077	0	0
TRINITY_DN21507_c0_g1_i1	262	151.147	5.03416	1.17334
TRINITY_DN21459_c0_g1_i1	262	151.147	0	0
TRINITY_DN21465_c0_g1_i1	213	108.432	0	0
TRINITY_DN21510_c1_g1_i1	234	126.005	0	0
TRINITY_DN21525_c0_g1_i1	257	146.62	0	0
TRINITY_DN21525_c0_g1_i2	324	210.331	0	0
TRINITY_DN21479_c0_g1_i1	258	147.515	0	0
TRINITY_DN21535_c0_g1_i1	214	109.186	0	0
TRINITY_DN21462_c0_g1_i1	464	348.248	0	0
TRINITY_DN21462_c0_g1_i2	545	428.471	1	0.0822191
TRINITY_DN21530_c0_g1_i1	281	168.826	0	0
TRINITY_DN21488_c0_g1_i1	274	162.264	0	0
TRINITY_DN21518_c0_g2_i1	537	420.514	2	0.16755
TRINITY_DN21518_c0_g1_i1	545	428.471	5	0.411095
TRINITY_DN21447_c0_g1_i1	298	185.127	0	0
TRINITY_DN21496_c0_g1_i1	239	130.536	0	0
TRINITY_DN21450_c0_g1_i1	225	118.35	0	0
TRINITY_DN21531_c0_g1_i1	283	170.722	2.0697	0.427082
TRINITY_DN21534_c0_g1_i1	416	300.664	0	0
TRINITY_DN21446_c0_g1_i2	1211	1093.11	0	0
TRINITY_DN21446_c0_g1_i4	1046	928.113	0	0
TRINITY_DN21517_c0_g2_i1	217	111.536	82	25.8996
TRINITY_DN21517_c0_g1_i1	245	135.829	37.7862	9.80024
TRINITY_DN21517_c2_g1_i1	246	136.687	0	0
TRINITY_DN21440_c0_g2_i1	213	108.432	0	0
TRINITY_DN21440_c0_g1_i1	315	201.559	0	0
TRINITY_DN21490_c0_g1_i1	260	149.332	0	0
TRINITY_DN21494_c1_g1_i1	323	209.331	0	0
TRINITY_DN21494_c1_g1_i2	232	124.267	11.1014	3.14714
TRINITY_DN21494_c1_g1_i3	220	114.09	15.6192	4.82286
TRINITY_DN21494_c1_g1_i4	233	125.111	0	0
TRINITY_DN21494_c2_g1_i1	213	108.432	0	0
TRINITY_DN21500_c0_g2_i1	261	150.224	0	0
TRINITY_DN21500_c0_g1_i1	225	118.35	0	0
TRINITY_DN21526_c0_g1_i1	328	214.203	2.02018	0.332246
TRINITY_DN21526_c0_g2_i1	298	185.127	0	0
TRINITY_DN21506_c0_g1_i1	337	222.915	0	0
TRINITY_DN21470_c0_g1_i1	394	278.988	308.095	38.904
TRINITY_DN21470_c1_g1_i1	381	266.262	108.128	14.3062
TRINITY_DN21470_c6_g1_i1	362	247.492	29.0683	4.13764
TRINITY_DN21470_c5_g1_i1	261	150.224	21.8401	5.12166
TRINITY_DN21470_c7_g1_i1	218	112.416	4	1.2535
TRINITY_DN21470_c4_g1_i1	237	128.739	27.5084	7.52748
TRINITY_DN21458_c0_g1_i1	232	124.267	0	0
TRINITY_DN21458_c1_g1_i1	265	153.928	0	0
TRINITY_DN21472_c2_g1_i1	216	110.762	0	0
TRINITY_DN21472_c0_g1_i1	202	99.5734	0	0
TRINITY_DN21456_c2_g1_i1	280	167.877	1.00314	0.210505
TRINITY_DN21456_c0_g1_i1	284	171.705	1.03305	0.211951
TRINITY_DN21497_c1_g1_i1	228	120.769	0	0
TRINITY_DN21504_c1_g1_i1	225	118.35	49.1506	14.6304
TRINITY_DN21475_c1_g1_i1	220	114.09	0	0
TRINITY_DN5656_c0_g1_i1	362	247.492	0	0
TRINITY_DN5656_c0_g1_i2	787	669.501	0	0
TRINITY_DN5656_c0_g1_i3	337	222.915	521.247	82.3757
TRINITY_DN5625_c0_g1_i1	449	333.351	1.05916	0.111932
TRINITY_DN5625_c0_g1_i2	446	330.418	0	0
TRINITY_DN5625_c0_g1_i3	285	172.67	0	0
TRINITY_DN5625_c0_g1_i4	521	404.72	0	0
TRINITY_DN5625_c0_g2_i1	265	153.928	0	0
TRINITY_DN5625_c0_g2_i2	265	153.928	9.85255	2.2549
TRINITY_DN5625_c0_g2_i3	303	189.975	0	0
TRINITY_DN5625_c0_g2_i4	303	189.975	0	0
TRINITY_DN5625_c2_g1_i1	250	140.257	0	0
TRINITY_DN5655_c0_g1_i1	1730	1612.11	7	0.152967
TRINITY_DN5655_c0_g1_i2	1781	1663.11	0	0
TRINITY_DN5680_c0_g1_i1	937	819.197	146	6.27854
TRINITY_DN5627_c0_g1_i1	238	129.644	0	0
TRINITY_DN5636_c1_g1_i1	208	104.295	0	0
TRINITY_DN5636_c0_g1_i1	399	283.96	0	0
TRINITY_DN5636_c0_g1_i11	1080	962.113	0	0
TRINITY_DN5636_c0_g1_i2	902	784.434	0	0
TRINITY_DN5636_c0_g1_i3	955	837.197	0	0
TRINITY_DN5636_c0_g1_i4	613	496.189	0	0
TRINITY_DN5636_c0_g1_i5	805	687.434	0	0
TRINITY_DN5636_c0_g1_i6	998	880.113	0	0
TRINITY_DN5636_c0_g1_i9	738	620.753	0	0
TRINITY_DN5653_c0_g3_i1	210	105.942	0	0
TRINITY_DN5653_c0_g1_i1	224	117.512	14.707	4.40895
TRINITY_DN5653_c1_g1_i1	247	137.588	6.23724	1.59701
TRINITY_DN5653_c0_g4_i1	206	102.577	0	0
