name	term	lev	seq	value
"negative regulation of protein metabolic process"	GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0051248;GO:0010563	6	Q13423	0.0513549355962891
"negative regulation of protein metabolic process"	GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0051248;GO:0010563	6	P23142	-0.399116557874236
"negative regulation of protein metabolic process"	GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0051248;GO:0010563	6	Q9D7X3	1.3306279277749
"negative regulation of protein metabolic process"	GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0051248;GO:0010563	6	Q9VQ30	2.37630657057811
"negative regulation of protein metabolic process"	GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0051248;GO:0010563	6	Q05923	-2.47788538050322
"negative regulation of protein metabolic process"	GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0051248;GO:0010563	6	P28562	-0.235264445693942
"negative regulation of protein metabolic process"	GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0051248;GO:0010563	6	O13997	0.241938128478311
"negative regulation of protein metabolic process"	GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0051248;GO:0010563	6	Q9BY84	2.53904151196964
"negative regulation of protein metabolic process"	GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0051248;GO:0010563	6	F1MH07	-2.53084432563739
"negative regulation of protein metabolic process"	GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0051248;GO:0010563	6	Q66JG9	2.40479883195702
"negative regulation of protein metabolic process"	GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0051248;GO:0010563	6	Q2KJ36	0.245925618670493
"negative regulation of protein metabolic process"	GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0051248;GO:0010563	6	Q13098	3.97344588565885
"negative regulation of protein metabolic process"	GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0051248;GO:0010563	6	Q9NS73	0.605210566262118
"negative regulation of protein metabolic process"	GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0051248;GO:0010563	6	Q9JM13	0.245925702668379
"negative regulation of protein metabolic process"	GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0051248;GO:0010563	6	Q6NN85	-2.02516616824051
"negative regulation of protein metabolic process"	GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0051248;GO:0010563	6	Q9CS00	-1.97626086642226
"negative regulation of protein metabolic process"	GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0051248;GO:0010563	6	Q9P2D0	1.68216389766085
"negative regulation of protein metabolic process"	GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0051248;GO:0010563	6	Q0IID7	-0.665107910214465
"negative regulation of protein metabolic process"	GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0051248;GO:0010563	6	P51452	2.12716902175963
"negative regulation of protein metabolic process"	GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0051248;GO:0010563	6	P42787	3.02037125710901
"negative regulation of protein metabolic process"	GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0051248;GO:0010563	6	Q00519	0.655542790112147
"negative regulation of protein metabolic process"	GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0051248;GO:0010563	6	O18640	0.735598031778052
"negative regulation of protein metabolic process"	GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0051248;GO:0010563	6	Q8R422	3.29039258017549
"negative regulation of protein metabolic process"	GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0051248;GO:0010563	6	Q8TDZ2	0.658363529021363
"chromosome organization"	GO:0051276	3	Q9P2S5	-2.41909419251944
"chromosome organization"	GO:0051276	3	Q2TBN6	3.20593679697675
"chromosome organization"	GO:0051276	3	Q0P9V4	-6.88246552137568
"chromosome organization"	GO:0051276	3	Q6PFD6	0.553140262631492
"chromosome organization"	GO:0051276	3	Q61696	2.57207813704861
"chromosome organization"	GO:0051276	3	P27641	-1.36909109949495
"chromosome organization"	GO:0051276	3	Q61666	-0.848996808030548
"chromosome organization"	GO:0051276	3	P13010	-1.01387663611933
"chromosome organization"	GO:0051276	3	Q7ZXV8	0.245925618670493
"chromosome organization"	GO:0051276	3	O60264	1.42737495644791
"chromosome organization"	GO:0051276	3	P49005	-1.59535410798337
"chromosome organization"	GO:0051276	3	Q5ZJJ2	-0.194175979953005
"chromosome organization"	GO:0051276	3	Q8C7W7	1.82726478340502
"chromosome organization"	GO:0051276	3	P15348	4.5369196875957
"chromosome organization"	GO:0051276	3	P97789	-0.894185222135348
"chromosome organization"	GO:0051276	3	Q8VEE4	-0.715851944049022
"chromosome organization"	GO:0051276	3	P83887	0.994349227492408
"chromosome organization"	GO:0051276	3	P53350	0.0675976761221109
"chromosome organization"	GO:0051276	3	P23258	-3.43370092807938
"chromosome organization"	GO:0051276	3	P78406	-1.83358282708069
"chromosome organization"	GO:0051276	3	Q9VHP0	2.86086606177772
"chromosome organization"	GO:0051276	3	Q9ULG1	0.562665209192725
"chromosome organization"	GO:0051276	3	Q5JVF3	-0.715851944049022
"chromosome organization"	GO:0051276	3	Q5ZLK6	-6.34835014530494
"chromosome organization"	GO:0051276	3	P42271	1.42737495644791
"chromosome organization"	GO:0051276	3	Q9BW19	-4.09926788909547
"chromosome organization"	GO:0051276	3	Q3ULW8	0.872701817887278
"chromosome organization"	GO:0051276	3	Q8C570	-0.894185222135348
"chromosome organization"	GO:0051276	3	Q802R8	1.53338856501241
"chromosome organization"	GO:0051276	3	Q16X92	0.978144037966763
"chromosome organization"	GO:0051276	3	Q5FVA9	-1.99575556219993
"chromosome organization"	GO:0051276	3	P53184	7.00272958272474
"chromosome organization"	GO:0051276	3	Q1JQB2	-0.735673700089029
"chromosome organization"	GO:0051276	3	Q91WD7	2.18108561722674
"chromosome organization"	GO:0051276	3	P35187	1.42737495644791
"chromosome organization"	GO:0051276	3	Q0VCD2	0.948089070247338
"chromosome organization"	GO:0051276	3	P60330	1.2781602488169
"chromosome organization"	GO:0051276	3	A4K436	0.936371130987271
"chromosome organization"	GO:0051276	3	Q13257	-1.69745469016865
"chromosome organization"	GO:0051276	3	Q8IY18	3.02572319153673
"chromosome organization"	GO:0051276	3	O14343	-1.74666147267364
"chromosome organization"	GO:0051276	3	Q8NI77	1.76011364911636
"chromosome organization"	GO:0051276	3	Q19546	-2.33464804872443
"chromosome organization"	GO:0051276	3	Q9DB85	3.06178497196639
"chromosome organization"	GO:0051276	3	Q26228	-3.96176741363542
"chromosome organization"	GO:0051276	3	Q14674	-1.8557367288067
"chromosome organization"	GO:0051276	3	P51587	0.0622234425940572
"chromosome organization"	GO:0051276	3	Q8VCK3	-0.715851917797368
"chromosome organization"	GO:0051276	3	Q9FJL0	0.850185330403885
"chromosome organization"	GO:0051276	3	O75694	1.76106118908323
"chromosome organization"	GO:0051276	3	Q07832	-0.715851917797368
"chromosome organization"	GO:0051276	3	Q5QJC4	-0.253696895531078
"chromosome organization"	GO:0051276	3	Q5RC43	1.71427563676242
"polysaccharide metabolic process"	GO:0005976	2	O35744	-3.44876519660251
"polysaccharide metabolic process"	GO:0005976	2	Q91XA9	-1.74607562133138
