name	term	lev	seq	value
"hematopoietic progenitor cell differentiation"	GO:0002244	4	F2Z461	0.652844152064731
"hematopoietic progenitor cell differentiation"	GO:0002244	4	Q7K486	0.724500808028672
"hematopoietic progenitor cell differentiation"	GO:0002244	4	Q04982	0.114679572150997
"hematopoietic progenitor cell differentiation"	GO:0002244	4	Q6PIY7	0.396513634061271
"hematopoietic progenitor cell differentiation"	GO:0002244	4	Q4V8G4	0.828331208988205
"hematopoietic progenitor cell differentiation"	GO:0002244	4	Q9Y4E6	0.652844152064731
"hematopoietic progenitor cell differentiation"	GO:0002244	4	E9PYY5	0.761732926731529
"hematopoietic progenitor cell differentiation"	GO:0002244	4	S4R2P9	0.313310645433935
"hematopoietic progenitor cell differentiation"	GO:0002244	4	Q9NUQ2	0.652844152064731
"hematopoietic progenitor cell differentiation"	GO:0002244	4	Q8BG07	0.599355328187811
"hematopoietic progenitor cell differentiation"	GO:0002244	4	Q1LY77	0.642688491575899
"hematopoietic progenitor cell differentiation"	GO:0002244	4	Q91YI6	0.784537580103962
"hematopoietic progenitor cell differentiation"	GO:0002244	4	P57103	0.9116824155995
"hematopoietic progenitor cell differentiation"	GO:0002244	4	Q3U492	0.754417856686506
"hematopoietic progenitor cell differentiation"	GO:0002244	4	Q8N999	0.599355328187811
"hematopoietic progenitor cell differentiation"	GO:0002244	4	P08567	0.582367906197862
"hematopoietic progenitor cell differentiation"	GO:0002244	4	Q80ZE3	0.828424344163647
"hematopoietic progenitor cell differentiation"	GO:0002244	4	Q9ERH3	0.652844152064731
"hematopoietic progenitor cell differentiation"	GO:0002244	4	Q9D1E8	0.692533003449445
"hematopoietic progenitor cell differentiation"	GO:0002244	4	Q5VTH9	0.667259164613891
"hematopoietic progenitor cell differentiation"	GO:0002244	4	Q3TLH4	0.396513634061271
"hematopoietic progenitor cell differentiation"	GO:0002244	4	Q96CW6	0.652844152064731
"hematopoietic progenitor cell differentiation"	GO:0002244	4	Q3TFK5	0.196322985276656
"hematopoietic progenitor cell differentiation"	GO:0002244	4	Q9JHK5	0.311547671411668
"hematopoietic progenitor cell differentiation"	GO:0002244	4	Q9D7P9	0.901849979510768
"hematopoietic progenitor cell differentiation"	GO:0002244	4	Q9Y520	0.662011927959662
"hematopoietic progenitor cell differentiation"	GO:0002244	4	Q13303	0.38519486442026
"hematopoietic progenitor cell differentiation"	GO:0002244	4	O88488	0.649969379114231
"hematopoietic progenitor cell differentiation"	GO:0002244	4	Q920I9	0.313310645433935
"mitochondrial genome maintenance"	GO:0000002	2	Q02078	0.952427016384142
"mitochondrial genome maintenance"	GO:0000002	2	Q9BUK6	0.977215242063439
"mitochondrial genome maintenance"	GO:0000002	2	Q84LK0	0.754417856686506
"mitochondrial genome maintenance"	GO:0000002	2	Q9H611	0.227584535331788
"mitochondrial genome maintenance"	GO:0000002	2	P19258	0.958363664122262
"mitochondrial genome maintenance"	GO:0000002	2	Q9BQP7	0.952427016384142
"mitochondrial genome maintenance"	GO:0000002	2	Q9D8P4	0.411212929851997
"mitochondrial genome maintenance"	GO:0000002	2	Q7ZV90	0.864350119474958
"mitochondrial genome maintenance"	GO:0000002	2	P12235	0.828331208988205
