TRINITY_DN17_c0_g1_i12	HBJU01001350.1_cds_1	75.340	515	117	8	809	1318	519	10	1.73e-60	239
TRINITY_DN61_c0_g1_i6	HBLK01034498.1_cds_CAE2923986.1_1	85.507	276	38	2	1321	1595	398	124	7.42e-75	287
TRINITY_DN8754_c1_g1_i1	HBLO01048875.1_cds_CAE3072170.1_1	73.904	456	108	9	268	719	656	208	1.29e-40	172
TRINITY_DN8756_c1_g1_i3	HBJK01013588.1_cds_CAE1088085.1_1	89.231	65	7	0	647	711	274	210	2.18e-13	82.4
TRINITY_DN43328_c0_g1_i10	HBLC01024351.1_cds_CAE2698820.1_1	100.000	32	0	0	631	662	277	308	1.20e-06	60.2
TRINITY_DN43328_c0_g1_i10	HBLC01024351.1_cds_CAE2698820.1_1	100.000	29	0	0	634	662	268	296	5.58e-05	54.7
TRINITY_DN431_c0_g2_i18	HBKY01019556.1_cds_1	72.336	1070	255	29	1730	2792	1103	68	6.00e-78	298
TRINITY_DN41764_c0_g1_i3	HBLO01010512.1_cds_CAE3048796.1_1	86.517	89	12	0	563	651	359	447	4.47e-18	99.0
TRINITY_DN883_c0_g1_i21	HBNJ01035065.1_cds_1	72.068	1407	356	34	147	1533	149	1538	1.28e-104	387
TRINITY_DN8273_c0_g1_i64	HBHF01001998.1_cds_1	100.000	28	0	0	20	47	297	270	4.49e-04	52.8
TRINITY_DN2792_c1_g1_i19	HBLO01018786.1_cds_CAE3053892.1_1	92.857	42	1	2	584	624	586	626	1.45e-06	60.2
TRINITY_DN16590_c3_g1_i4	HBLT01068936.1_cds_1	76.278	489	102	13	377	858	691	210	2.49e-63	248
TRINITY_DN2855_c0_g1_i3	HBHN01013596.1_cds_1	96.970	33	0	1	2117	2148	141	109	1.03e-04	54.7
TRINITY_DN5932_c0_g1_i5	HBGW01037287.1_cds_CAD9561318.1_1	79.730	814	140	16	103	896	1412	604	4.43e-159	566
TRINITY_DN5948_c0_g1_i16	HBNF01018415.1_cds_1	100.000	28	0	0	1224	1251	1315	1288	3.69e-04	52.8
TRINITY_DN1479_c0_g1_i62	HBLK01070987.1_cds_1	79.021	143	30	0	359	501	318	176	4.51e-18	99.0
TRINITY_DN8130_c0_g2_i15	HBLR01033241.1_cds_CAE3118268.1_1	74.900	502	120	6	4437	4935	499	1	1.77e-55	224
TRINITY_DN2669_c0_g1_i5	HBNG01078436.1_cds_1	73.333	435	103	10	1345	1771	485	914	4.62e-33	148
TRINITY_DN22418_c0_g1_i81	HBJI01040422.1_cds_CAE1111191.1_1	72.000	550	140	14	367	909	262	804	1.16e-33	150
TRINITY_DN2190_c0_g1_i10	HBNR01091848.1_cds_1	73.029	1053	232	40	101	1121	1034	2	4.14e-86	324
TRINITY_DN44385_c0_g1_i17	HBJL01104013.1_cds_CAE1396249.1_1	84.152	448	71	0	95	542	113	560	1.88e-119	435
TRINITY_DN44385_c0_g1_i8	HBJL01104013.1_cds_CAE1396249.1_1	84.152	448	71	0	95	542	113	560	1.93e-119	435
TRINITY_DN23877_c0_g1_i17	HBLO01003646.1_cds_CAE3044493.1_1	73.041	434	101	13	603	1028	909	484	1.84e-30	139
TRINITY_DN22089_c0_g1_i14	HBNL01015913.1_cds_CAE4369787.1_1	76.483	1837	404	26	745	2567	1844	22	0.0	974
TRINITY_DN7349_c0_g1_i12	HBNG01067452.1_cds_CAE4183099.1_1	100.000	28	0	0	993	1020	97	70	2.31e-04	52.8
TRINITY_DN5521_c0_g1_i18	HBHN01004754.1_cds_CAD9724281.1_1	100.000	31	0	0	1800	1830	209	239	6.81e-06	58.4
TRINITY_DN9536_c0_g1_i14	HBNG01047272.1_cds_CAE4170130.1_1	87.692	65	7	1	1950	2014	1279	1342	2.72e-10	75.0
TRINITY_DN16031_c0_g1_i1	HBLT01039911.1_cds_1	73.188	276	60	12	781	1046	795	524	5.75e-15	87.9
TRINITY_DN1098_c0_g1_i16	HBFQ01041402.1_cds_CAD8854982.1_1	92.593	54	4	0	525	578	486	539	2.33e-12	78.7
TRINITY_DN31675_c0_g1_i21	HBFQ01010291.1_cds_CAD8832858.1_1	83.444	151	25	0	577	727	377	227	3.36e-31	141
TRINITY_DN22669_c0_g1_i6	HBJL01083407.1_cds_1	100.000	30	0	0	6408	6437	187	216	1.21e-04	56.5
TRINITY_DN733_c3_g1_i3	HBNN01056543.1_cds_1	76.517	511	99	19	156	657	215	713	8.52e-67	259
TRINITY_DN739_c0_g2_i7	HBNF01091216.1_cds_CAE4154777.1_1	100.000	29	0	0	529	557	160	188	9.11e-05	54.7
TRINITY_DN12820_c0_g1_i7	HBNO01035224.1_cds_1	80.342	117	17	6	717	830	2483	2370	2.02e-13	84.2
TRINITY_DN18395_c0_g1_i21	HBHN01017329.1_cds_1	94.444	36	0	2	14	47	43	78	3.19e-05	54.7
TRINITY_DN6216_c0_g1_i1	HBLT01021640.1_cds_CAE3172136.1_1	70.722	1233	329	29	734	1950	1359	143	4.31e-63	248
TRINITY_DN15813_c0_g1_i5	HBLO01037668.1_cds_1	78.505	428	90	2	816	1242	1377	951	1.65e-72	279
TRINITY_DN1632_c0_g1_i9	HBLK01071820.1_cds_CAE2955376.1_1	72.837	832	190	33	1679	2489	2215	1399	6.38e-64	252
TRINITY_DN1698_c0_g1_i10	HBGQ01033567.1_cds_CAD9419484.1_1	80.723	83	16	0	2156	2238	2464	2546	1.70e-07	65.8
TRINITY_DN14032_c0_g1_i24	HBHN01012264.1_cds_CAD9725815.1_1	100.000	30	0	0	18	47	284	255	2.28e-05	56.5
TRINITY_DN55814_c0_g1_i3	HBGW01018838.1_cds_CAD9528400.1_1	77.419	155	34	1	2347	2501	384	231	1.03e-15	91.6
TRINITY_DN141416_c0_g1_i2	HBGW01047038.1_cds_CAD9575872.1_1	80.172	116	19	4	1003	1116	288	175	8.93e-14	84.2
TRINITY_DN381215_c0_g1_i18	HBJL01084863.1_cds_CAE1371333.1_1	70.516	892	219	42	788	1657	1178	309	1.20e-33	150
