"Day_0" "Day_2" "Day_17"
"TRINITY_DN21519_c0_g1_i1" 0 0 0
"TRINITY_DN21515_c0_g2_i1" 0 0.413087 0
"TRINITY_DN21515_c0_g1_i1" 0 0.117969 0
"TRINITY_DN21442_c1_g1_i1" 0 0 0
"TRINITY_DN21442_c0_g1_i1" 0 0 0
"TRINITY_DN21452_c0_g1_i1" 0 0 0
"TRINITY_DN21452_c0_g1_i10" 0 0.128483 0
"TRINITY_DN21452_c0_g1_i11" 0 0.56278 0
"TRINITY_DN21452_c0_g1_i2" 0 0 0
"TRINITY_DN21452_c0_g1_i3" 0 0 0
"TRINITY_DN21452_c0_g1_i4" 0 0.837427 0
"TRINITY_DN21452_c0_g1_i5" 0 0 0
"TRINITY_DN21452_c0_g1_i7" 0 0 0
"TRINITY_DN21452_c0_g1_i8" 0.506285 0 0
"TRINITY_DN21452_c0_g1_i9" 0 0.0332245 0
"TRINITY_DN21452_c0_g2_i1" 0 0.819782 1.31244
"TRINITY_DN21452_c1_g1_i1" 0 0 0
"TRINITY_DN21478_c0_g1_i1" 1.37182 2.57568 1.38058
"TRINITY_DN21478_c0_g1_i2" 0.156219 0.274202 0
"TRINITY_DN21520_c0_g1_i1" 0 0 0
"TRINITY_DN21482_c0_g1_i1" 0 0.30532 0
"TRINITY_DN21438_c0_g1_i1" 0.257225 0.278548 0
"TRINITY_DN21438_c1_g1_i1" 0.244148 0.270591 0
"TRINITY_DN21536_c1_g1_i1" 0.610919 0.681574 0
"TRINITY_DN21536_c0_g2_i1" 0 0.704549 0.41158
"TRINITY_DN21536_c0_g1_i1" 0.240628 0 0
"TRINITY_DN21536_c0_g1_i3" 5.5876 2.49634 0
"TRINITY_DN21536_c0_g1_i4" 0 0.884982 0
"TRINITY_DN21473_c0_g1_i1" 0 0 0
"TRINITY_DN21528_c0_g1_i1" 0 0 0
"TRINITY_DN21528_c0_g1_i2" 0 0 0
"TRINITY_DN21463_c0_g1_i1" 0 0 0
"TRINITY_DN21483_c0_g1_i1" 0 0 0
"TRINITY_DN21483_c0_g1_i2" 0.249044 0.275169 7.922
"TRINITY_DN21454_c1_g1_i1" 0.893163 0 0
"TRINITY_DN21481_c3_g1_i1" 0 0.194532 0
"TRINITY_DN21513_c1_g1_i1" 0.0598123 0.13027 0
"TRINITY_DN21513_c0_g1_i1" 0 0 0
"TRINITY_DN21513_c0_g2_i1" 0 0 0
"TRINITY_DN21513_c0_g2_i10" 0 0 0
"TRINITY_DN21513_c0_g2_i3" 0 0 3.55319
"TRINITY_DN21513_c0_g2_i6" 0 0 0
"TRINITY_DN21513_c0_g2_i8" 0 0 0
"TRINITY_DN21505_c1_g1_i1" 238.896 87.7729 0
"TRINITY_DN21509_c0_g1_i1" 0 0.325364 0
"TRINITY_DN21443_c0_g1_i1" 0.26551 0 0
"TRINITY_DN21487_c0_g1_i1" 0 0 0
"TRINITY_DN21499_c0_g1_i1" 1.41605 12.3914 0
"TRINITY_DN21437_c1_g1_i1" 0 0 0
"TRINITY_DN21437_c2_g1_i1" 0 0 0
"TRINITY_DN21444_c0_g1_i1" 0 0 0
"TRINITY_DN21444_c0_g2_i1" 1.00065 6.87062 4.89613
"TRINITY_DN21436_c0_g1_i1" 0.0355982 0.0775157 0
"TRINITY_DN21436_c0_g1_i2" 0 0 0
"TRINITY_DN21469_c0_g1_i1" 0 0 0
"TRINITY_DN21507_c0_g1_i1" 0 0.223939 0
"TRINITY_DN21459_c0_g1_i1" 0 0 0
"TRINITY_DN21465_c0_g1_i1" 0 0 0
"TRINITY_DN21510_c1_g1_i1" 0 0 0
"TRINITY_DN21525_c0_g1_i1" 0 0 0.102612
"TRINITY_DN21525_c0_g1_i2" 0 0 1.8205
"TRINITY_DN21479_c0_g1_i1" 0 0 0
"TRINITY_DN21535_c0_g1_i1" 0.277055 0 0
"TRINITY_DN21462_c0_g1_i1" 0.0876642 0.150536 0
"TRINITY_DN21462_c0_g1_i2" 0 0.109964 0.0406302
"TRINITY_DN21530_c0_g1_i1" 0 0 0
"TRINITY_DN21488_c0_g1_i1" 0 0 0.0942514
"TRINITY_DN21518_c0_g2_i1" 0 0.078806 0
"TRINITY_DN21518_c0_g1_i1" 0.426279 0.618591 0.0812604
"TRINITY_DN21447_c0_g1_i1" 0.165293 0.180785 0
"TRINITY_DN21496_c0_g1_i1" 0 0 0
"TRINITY_DN21450_c0_g1_i1" 0 0 0
"TRINITY_DN21531_c0_g1_i1" 0 0.206571 0
"TRINITY_DN21534_c0_g1_i1" 0.101777 0 0
"TRINITY_DN21446_c0_g1_i2" 0 0 0
"TRINITY_DN21446_c0_g1_i4" 0 0 0
"TRINITY_DN21517_c0_g2_i1" 26.0239 19.8328 0
"TRINITY_DN21517_c0_g1_i1" 18.3074 12.8382 0
"TRINITY_DN21517_c2_g1_i1" 0 0 0
"TRINITY_DN21440_c0_g2_i1" 0 0 0
"TRINITY_DN21440_c0_g1_i1" 0 0 0
"TRINITY_DN21490_c0_g1_i1" 0 3.36989 9.09117
"TRINITY_DN21494_c1_g1_i1" 1.31254 1.72878 0
"TRINITY_DN21494_c1_g1_i2" 4.99227 12.1621 0
"TRINITY_DN21494_c1_g1_i3" 5.69142 3.26908 0
"TRINITY_DN21494_c1_g1_i4" 0 0.451233 0
"TRINITY_DN21494_c2_g1_i1" 0 0.669451 0
"TRINITY_DN21500_c0_g2_i1" 0 0.223181 0
