name	term	lev	seq	value
"regulation of biological quality"	GO:0065008	2	Q10751	0.881472041867366
"regulation of biological quality"	GO:0065008	2	P23415	0.413150457455888
"regulation of biological quality"	GO:0065008	2	Q9JIS8	0.592382457724903
"regulation of biological quality"	GO:0065008	2	Q8QGX4	0.984094897738515
"regulation of biological quality"	GO:0065008	2	P27986	0.896239152828275
"regulation of biological quality"	GO:0065008	2	Q6GN42	0.552677540075865
"regulation of biological quality"	GO:0065008	2	Q94526	0.81146350374142
"regulation of biological quality"	GO:0065008	2	Q5RC43	0.805265053242813
"regulation of biological quality"	GO:0065008	2	Q27677	0.55437603863173
"regulation of biological quality"	GO:0065008	2	Q99808	0.896239152828275
"regulation of biological quality"	GO:0065008	2	Q921U8	0.392626736186155
"regulation of biological quality"	GO:0065008	2	P16615	0.714050878880731
"regulation of biological quality"	GO:0065008	2	P30926	0.346826679160078
"regulation of biological quality"	GO:0065008	2	Q8IY18	0.207163627523043
"regulation of biological quality"	GO:0065008	2	Q01063	0.698956838682456
"regulation of biological quality"	GO:0065008	2	Q6P7A9	0.66275500182328
"regulation of biological quality"	GO:0065008	2	Q59H18	0.85303666311972
"regulation of biological quality"	GO:0065008	2	Q9VGH7	0.974092117053445
"regulation of biological quality"	GO:0065008	2	P0C5H9	0.982387178044453
"regulation of biological quality"	GO:0065008	2	Q80YN4	0.684418193860797
"regulation of biological quality"	GO:0065008	2	Q5RCV3	0.574504815748575
"regulation of biological quality"	GO:0065008	2	O60543	0.400190804828249
"regulation of biological quality"	GO:0065008	2	Q6P9I7	0.840454318260726
"regulation of biological quality"	GO:0065008	2	Q9VIK2	0.937234776388792
"regulation of biological quality"	GO:0065008	2	Q0P9V4	0.928611150093038
"regulation of biological quality"	GO:0065008	2	P23475	0.097577052202023
"regulation of biological quality"	GO:0065008	2	Q8BZN6	0.566906430287884
"regulation of biological quality"	GO:0065008	2	Q8C7W7	0.319798737755516
"regulation of biological quality"	GO:0065008	2	Q96B67	0.745467495430912
"regulation of biological quality"	GO:0065008	2	P05023	0.785146163477853
"regulation of biological quality"	GO:0065008	2	P06685	0.590979465101357
"regulation of biological quality"	GO:0065008	2	P63102	0.822691601896529
"regulation of biological quality"	GO:0065008	2	Q9ES67	0.822387530577576
"regulation of biological quality"	GO:0065008	2	P28571	0.490354889627496
"regulation of biological quality"	GO:0065008	2	Q64018	0.922987690178371
"regulation of biological quality"	GO:0065008	2	O35904	0.48594346230593
"regulation of biological quality"	GO:0065008	2	Q92035	0.0144648625585651
"regulation of biological quality"	GO:0065008	2	Q61234	0.865276304623202
"regulation of biological quality"	GO:0065008	2	Q8BPN8	0.764939733955727
"regulation of biological quality"	GO:0065008	2	Q5PQN0	0.608036064434043
"regulation of biological quality"	GO:0065008	2	Q96BY6	0.714050878880731
"regulation of biological quality"	GO:0065008	2	O08908	0.922987690178371
"regulation of biological quality"	GO:0065008	2	Q7TPQ9	0.352230982990022
"regulation of biological quality"	GO:0065008	2	P70699	0.500254361377356
"regulation of biological quality"	GO:0065008	2	Q8VDN2	0.698956838682456
"regulation of biological quality"	GO:0065008	2	O88627	0.934485866127726
"regulation of biological quality"	GO:0065008	2	Q9TV66	0.922987690178371
"regulation of biological quality"	GO:0065008	2	O35923	0.619439999412221
"regulation of biological quality"	GO:0065008	2	P07948	0.698956838682456
"regulation of biological quality"	GO:0065008	2	Q26365	0.880434847370629
"regulation of biological quality"	GO:0065008	2	P48766	0.308180944643138
"regulation of biological quality"	GO:0065008	2	P19367	0.358678374416953
"regulation of biological quality"	GO:0065008	2	Q5R839	0.681928669916103
