name	term	lev	seq	value
"monocarboxylic acid metabolic process"	GO:0032787	2	Q9TSM4	4.764445131056e-09
"monocarboxylic acid metabolic process"	GO:0032787	2	Q9NR19	0.568360225685096
"monocarboxylic acid metabolic process"	GO:0032787	2	P11966	0.4747841052323
"monocarboxylic acid metabolic process"	GO:0032787	2	P52030	0.37072181015433
"monocarboxylic acid metabolic process"	GO:0032787	2	Q91WG5	0.946130705500741
"monocarboxylic acid metabolic process"	GO:0032787	2	Q5ZJG8	0.262703069694666
"monocarboxylic acid metabolic process"	GO:0032787	2	Q6P6Z8	7.87278624477789e-10
"positive regulation of transport"	GO:0051050	2	Q9TSM4	4.764445131056e-09
"positive regulation of transport"	GO:0051050	2	Q4R562	0.728400579689854
"positive regulation of transport"	GO:0051050	2	Q13148	0.675746488191163
"positive regulation of transport"	GO:0051050	2	P70531	0.642571502142462
"positive regulation of transport"	GO:0051050	2	Q99996	0.76781147294691
"positive regulation of transport"	GO:0051050	2	Q06124	0.975675418349719
"positive regulation of transport"	GO:0051050	2	Q9JI92	2.46674020902428e-09
"organic hydroxy compound metabolic process"	GO:1901615	3	Q9NR19	0.568360225685096
"organic hydroxy compound metabolic process"	GO:1901615	3	P15330	4.65985828004248e-11
"organic hydroxy compound metabolic process"	GO:1901615	3	P42867	0.748390483779565
"organic hydroxy compound metabolic process"	GO:1901615	3	Q14739	0.91894991458029
"organic hydroxy compound metabolic process"	GO:1901615	3	Q9DB73	0.512717986025154
"negative regulation of RNA biosynthetic process"	GO:0000122;GO:0045892;GO:1903507;GO:1902679	4	Q2KI95	6.66787092359834e-05
"negative regulation of RNA biosynthetic process"	GO:0000122;GO:0045892;GO:1903507;GO:1902679	4	A6H6W9	0.864942378180103
"negative regulation of RNA biosynthetic process"	GO:0000122;GO:0045892;GO:1903507;GO:1902679	4	Q6KC79	0.210059322884478
"negative regulation of RNA biosynthetic process"	GO:0000122;GO:0045892;GO:1903507;GO:1902679	4	P15330	4.65985828004248e-11
"negative regulation of RNA biosynthetic process"	GO:0000122;GO:0045892;GO:1903507;GO:1902679	4	Q8BK35	0.525156570621304
"negative regulation of RNA biosynthetic process"	GO:0000122;GO:0045892;GO:1903507;GO:1902679	4	P55853	7.24265645089213e-06
"negative regulation of RNA biosynthetic process"	GO:0000122;GO:0045892;GO:1903507;GO:1902679	4	Q9V460	7.25755330029272e-06
"negative regulation of RNA biosynthetic process"	GO:0000122;GO:0045892;GO:1903507;GO:1902679	4	P17141	0.93383455936809
"negative regulation of RNA biosynthetic process"	GO:0000122;GO:0045892;GO:1903507;GO:1902679	4	Q28G71	1.60961740064391e-09
"cellular process involved in reproduction in multicellular organism"	GO:0022412	2	Q92879	2.3126911475947e-14
"cellular process involved in reproduction in multicellular organism"	GO:0022412	2	Q03017	0.0603773146818647
"cellular process involved in reproduction in multicellular organism"	GO:0022412	2	Q95TJ9	0.0636520744375205
"cellular process involved in reproduction in multicellular organism"	GO:0022412	2	P0CG53	0.663363679349069
"cellular process involved in reproduction in multicellular organism"	GO:0022412	2	P17141	0.93383455936809
"ATP metabolic process"	GO:0046034	2	P52030	0.37072181015433
"ATP metabolic process"	GO:0046034	2	Q9D0M3	0.00477441246836349
"ATP metabolic process"	GO:0046034	2	Q6P6Z8	7.87278624477789e-10
"ATP metabolic process"	GO:0046034	2	Q25691	0.887737408199791
"ATP metabolic process"	GO:0046034	2	Q86W56	0.564881430370255
"developmental process involved in reproduction"	GO:0003006	2	Q92879	2.3126911475947e-14
"developmental process involved in reproduction"	GO:0003006	2	Q6KC79	0.210059322884478
"developmental process involved in reproduction"	GO:0003006	2	Q03017	0.0603773146818647
"developmental process involved in reproduction"	GO:0003006	2	Q06124	0.975675418349719
"developmental process involved in reproduction"	GO:0003006	2	Q23979	0.967908222677984
"developmental process involved in reproduction"	GO:0003006	2	P0CG53	0.663363679349069
"developmental process involved in reproduction"	GO:0003006	2	P54359	0.925257620269918
"developmental process involved in reproduction"	GO:0003006	2	Q8NF91	0.286520787026721
