name	term	lev	seq	value
"cellular component disassembly"	GO:0022411	3	Q14562	-0.354425349706535
"cellular component disassembly"	GO:0022411	3	A9UMS3	1.60143405525085
"cellular component disassembly"	GO:0022411	3	Q2HJ97	2.62868230417999
"developmental process involved in reproduction"	GO:0003006;GO:0022414	2	Q8L796	1.60143405525085
"developmental process involved in reproduction"	GO:0003006;GO:0022414	2	Q95JX4	4.81212134203718
"developmental process involved in reproduction"	GO:0003006;GO:0022414	2	Q96EP5	3.63727246708615
"developmental process involved in reproduction"	GO:0003006;GO:0022414	2	Q62865	4.22517921106366
"developmental process involved in reproduction"	GO:0003006;GO:0022414	2	Q19967	1.60143405525085
"developmental process involved in reproduction"	GO:0003006;GO:0022414	2	Q3URY6	3.96096137333589
"cellular protein modification process"	GO:0006464;GO:0036211	4	Q6VVB1	0.679376425835959
"cellular protein modification process"	GO:0006464;GO:0036211	4	Q6P8D9	5.73153356746854
"cellular protein modification process"	GO:0006464;GO:0036211	4	Q8W4D0	3.26275915548465
"cellular protein modification process"	GO:0006464;GO:0036211	4	Q9FI61	-2.19126801252296
"cellular protein modification process"	GO:0006464;GO:0036211	4	Q13356	4.90561443667811
"cellular protein modification process"	GO:0006464;GO:0036211	4	Q9ZVJ4	3.21933279090699
"cellular protein modification process"	GO:0006464;GO:0036211	4	A0PJN4	4.22517921106366
"cellular protein modification process"	GO:0006464;GO:0036211	4	P73789	-1.01338460895006
"cellular protein modification process"	GO:0006464;GO:0036211	4	Q9LSP7	2.62868230417999
"cellular protein modification process"	GO:0006464;GO:0036211	4	P25867	2.71989844530617
"cellular protein modification process"	GO:0006464;GO:0036211	4	Q4N927	-0.354425349706535
"cellular protein modification process"	GO:0006464;GO:0036211	4	Q8BZZ3	3.28253531853637
"cellular protein modification process"	GO:0006464;GO:0036211	4	Q4VBT5	1.66690930614186
"cellular protein modification process"	GO:0006464;GO:0036211	4	Q9JMJ4	4.36251900396401
"cellular protein modification process"	GO:0006464;GO:0036211	4	Q9P3X9	5.9663164611091
"cellular protein modification process"	GO:0006464;GO:0036211	4	Q9Y4L5	4.41871192391881
"cellular protein modification process"	GO:0006464;GO:0036211	4	Q8LGF7	3.1983326813922
"carbohydrate metabolic process"	GO:0005975	2	O09452	2.01643690143153
"carbohydrate metabolic process"	GO:0005975	2	Q40784	-0.354425349706535
"carbohydrate metabolic process"	GO:0005975	2	Q21K60	3.21933279090699
"biological process involved in interspecies interaction between organisms"	GO:0044419	1	P07087	-0.391496259526301
"biological process involved in interspecies interaction between organisms"	GO:0044419	1	Q05120	0.639664233121726
"biological process involved in interspecies interaction between organisms"	GO:0044419	1	Q50LG2	-0.354425349706535
"small molecule metabolic process"	GO:0044281	2	O09452	2.01643690143153
"small molecule metabolic process"	GO:0044281	2	Q76KC2	1.60143405525085
"small molecule metabolic process"	GO:0044281	2	Q12611	3.96096137333589
"negative regulation of macromolecule metabolic process"	GO:0010629;GO:0010605;GO:0009892;GO:0048519	5	P30771	3.63727246708615
"negative regulation of macromolecule metabolic process"	GO:0010629;GO:0010605;GO:0009892;GO:0048519	5	O94400	4.56808960308771
"negative regulation of macromolecule metabolic process"	GO:0010629;GO:0010605;GO:0009892;GO:0048519	5	Q8K0V4	2.62868230417999
"negative regulation of macromolecule metabolic process"	GO:0010629;GO:0010605;GO:0009892;GO:0048519	5	Q9HGI7	3.63727246708615
"negative regulation of macromolecule metabolic process"	GO:0010629;GO:0010605;GO:0009892;GO:0048519	5	Q6FLF3	1.60143405525086
"negative regulation of macromolecule metabolic process"	GO:0010629;GO:0010605;GO:0009892;GO:0048519	5	Q99020	1.60143405525085
"negative regulation of macromolecule metabolic process"	GO:0010629;GO:0010605;GO:0009892;GO:0048519	5	Q59LU0	-0.468864342507529
"negative regulation of macromolecule metabolic process"	GO:0010629;GO:0010605;GO:0009892;GO:0048519	5	B7FAL5	-2.75169730867106
"negative regulation of macromolecule metabolic process"	GO:0010629;GO:0010605;GO:0009892;GO:0048519	5	Q1JQE0	1.60143405525085
"negative regulation of macromolecule metabolic process"	GO:0010629;GO:0010605;GO:0009892;GO:0048519	5	Q54P04	-0.354425349706535
"negative regulation of macromolecule metabolic process"	GO:0010629;GO:0010605;GO:0009892;GO:0048519	5	Q9C718	1.60143405525085
"negative regulation of macromolecule metabolic process"	GO:0010629;GO:0010605;GO:0009892;GO:0048519	5	Q08752	3.63727246708615
"negative regulation of macromolecule metabolic process"	GO:0010629;GO:0010605;GO:0009892;GO:0048519	5	Q54I89	2.62868230417999
"negative regulation of macromolecule metabolic process"	GO:0010629;GO:0010605;GO:0009892;GO:0048519	5	Q6DGG0	2.62868230417999
"negative regulation of macromolecule metabolic process"	GO:0010629;GO:0010605;GO:0009892;GO:0048519	5	Q7SBC6	1.66666688517992
"negative regulation of macromolecule metabolic process"	GO:0010629;GO:0010605;GO:0009892;GO:0048519	5	Q9FJR0	-6.9180413466295
"mitochondrion organization"	GO:0007005	2	Q7SXN5	4.26599898892027
"mitochondrion organization"	GO:0007005	2	Q758S3	1.58626084673537
"mitochondrion organization"	GO:0007005	2	A9UMS3	1.60143405525085
"mitochondrion organization"	GO:0007005	2	Q2HJ97	2.62868230417999
"mitochondrion organization"	GO:0007005	2	Q9URZ5	4.44841738082535
"pseudouridine synthesis"	GO:0001522	2	Q9H0K6	-0.354425349706535
"pseudouridine synthesis"	GO:0001522	2	Q89AD9	1.60143405525085
"pseudouridine synthesis"	GO:0001522	2	O66829	4.64170245169703
"protein modification by small protein conjugation or removal"	GO:0000209;GO:0016567;GO:0032446;GO:0070647	5	Q6VVB1	0.679376425835959
"protein modification by small protein conjugation or removal"	GO:0000209;GO:0016567;GO:0032446;GO:0070647	5	Q6P8D9	5.73153356746854
"protein modification by small protein conjugation or removal"	GO:0000209;GO:0016567;GO:0032446;GO:0070647	5	Q9FI61	-2.19126801252296
